,city,company,location,salary,title
0,Philadelphia,Defined Clarity,"Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",$65 - $75 an hour,Data Analyst / Data Scientist
1,Philadelphia,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",No Salary,Data Scientist I
2,Philadelphia,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",No Salary,Supv DBHi Data Scientist
3,Philadelphia,Federal Reserve Bank of Philadelphia,"Philadelphia, PA",No Salary,Real Time Data Research Analyst
4,Philadelphia,"Pavone Marketing Group, Inc.","Philadelphia, PA 19136 (Mayfield area)",No Salary,Data Analyst
5,Philadelphia,Drexel University,"Philadelphia, PA",No Salary,Data Analyst
6,Philadelphia,Lockheed Martin,"King of Prussia, PA 19406",No Salary,Data Scientist Analyst Staff
7,Philadelphia,Comcast,"Philadelphia, PA 19103 (Belmont area)",No Salary,"Scientist 4, Entrprs Data & Anlytcs 1470"
8,Philadelphia,CSL Behring,"King of Prussia, PA",No Salary,Statistical Scientist
9,Philadelphia,Drexel University,"Philadelphia, PA",No Salary,Research Scientist
12,Philadelphia,Wuxi AppTec,"Philadelphia, PA",No Salary,Research Scientist
13,Philadelphia,Clarivate Analytics,"Philadelphia, PA",No Salary,Senior Data Scientist
14,Philadelphia,Community College of Philadelphia,"Philadelphia, PA",No Salary,Research & Data Analyst
15,Philadelphia,Vanguard,"Malvern, PA",No Salary,Data Scientist II
16,Philadelphia,IQVIA,"Plymouth Meeting, PA",No Salary,"Data Scientist, Advanced Analytics"
17,Philadelphia,Kinetica DB,"Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)",No Salary,Solutions Architect/Data Scientist
18,Philadelphia,Independence Blue Cross,"Philadelphia, PA",No Salary,Research Analyst
19,Philadelphia,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",No Salary,Research Assoc I
20,Philadelphia,Lockheed Martin,"Cherry Hill, NJ 08002",No Salary,Research Internship
21,Philadelphia,University of Pennsylvania,"Philadelphia, PA",No Salary,STATISTICAL ANALYST A/B
22,Philadelphia,Independence Blue Cross,"Philadelphia, PA",No Salary,Senior Research Scientist
23,Philadelphia,AIG,"Philadelphia, PA",No Salary,Senior Research Scientist
24,Philadelphia,Merck,"Upper Gwynedd, PA",No Salary,"Principal Scientist, Economic and Data Sciences"
25,Philadelphia,Temple University,"Philadelphia, PA",No Salary,Business Analyst - Institutional Research & Assessment
26,Philadelphia,PFM,"Philadelphia, PA",No Salary,Investment Research Analyst
27,Philadelphia,The Reinvestment Fund,"Philadelphia, PA 19103 (Belmont area)",No Salary,Research Analyst
28,Philadelphia,Wells Fargo,"Philadelphia, PA",No Salary,Senior Data Scientist / Analytic Consultant 5
29,Philadelphia,Thompson Building,"Philadelphia, PA 19107 (City Center East area)",No Salary,Research Analyst - Emergency Medicine Department - Full Time
33,Philadelphia,KPMG,"Philadelphia, PA",No Salary,"Senior Associate, Data Scientist/Statistics -- Financial Ser..."
35,Philadelphia,BAYADA Home Health Care,"Philadelphia, PA",No Salary,Marketing Research Analyst - Survey Tools
36,Philadelphia,"PeopleMetrics, Inc.","Philadelphia, PA 19103 (Belmont area)",No Salary,Research & Insights Analyst
37,Philadelphia,Vanguard,"Malvern, PA",No Salary,Data Engineer
38,Philadelphia,University of Pennsylvania,"Philadelphia, PA",No Salary,STATISTICAL ANALYSIS PROGRAMMER CALIFORNIA
39,Philadelphia,University of Pennsylvania,"Philadelphia, PA",No Salary,QUALITATIVE RESEARCH ANALYST
40,Philadelphia,Vanguard,"Malvern, PA",No Salary,Artificial Intelligence (AI) Machine Learning (ML) Engineer
41,Philadelphia,IMS Health,"Plymouth Meeting, PA 19462",No Salary,Data Science Software Developer
42,Philadelphia,Vanguard,"Malvern, PA",No Salary,Principal Data Scientist
43,Philadelphia,Wuxi AppTec,"Philadelphia, PA",No Salary,Senior Research Scientist - Analytical Development
44,Philadelphia,KPMG,"Philadelphia, PA",No Salary,Data Visualization Software Engineer
45,Philadelphia,Vanguard,"Malvern, PA",No Salary,Statistical Analyst
46,Philadelphia,Katalyst Healthcares & Life Sciences,"Philadelphia, PA 19019 (Somerton area)",No Salary,Statistical Programmer
47,Philadelphia,GlaxoSmithKline,"Upper Providence, PA",No Salary,Drug Discovery Data Scientist - In Silico Unit
48,Philadelphia,IMS Health,"Plymouth Meeting, PA 19462",No Salary,Big Data Engineer
49,Philadelphia,KPMG,"Philadelphia, PA",No Salary,"Senior Associate, Data Scientist -- ML/NLP"
50,Philadelphia,Air Liquide,"Conshohocken, PA",No Salary,Scientist- Optimization Research
52,Philadelphia,University of Pennsylvania,"Philadelphia, PA",No Salary,SENIOR STATISTICAL ANALYST
53,Philadelphia,Merck,"Upper Gwynedd, PA",No Salary,Statistical Programmer
54,Philadelphia,ECRI Institute,"Plymouth Meeting, PA 19462",No Salary,Research Analyst I
55,Philadelphia,Slalom Consulting,"Philadelphia, PA",No Salary,Advanced Analytics- Solution Principal
56,Philadelphia,Kantar Health,"Horsham, PA",No Salary,Market Research Analyst / Methodologist
57,Philadelphia,Comcast,"Philadelphia, PA 19103 (Belmont area)",No Salary,"Director, Data Science"
58,Philadelphia,Comcast,"Philadelphia, PA 19103 (Belmont area)",No Salary,"Executive Director, Data Science"
59,Philadelphia,ECRI Institute,"Plymouth Meeting, PA 19462",No Salary,Genetics Research Analyst
60,Philadelphia,The Dow Chemical Company,"Collegeville, PA 19426",No Salary,Analytical Research Associate
61,Philadelphia,Glenmede,"Philadelphia, PA",No Salary,"Impact Research Analyst, Public Markets"
