Item,Category,Price,Profit,Actual Profit,Calories
Beer,Beverages,4.0,0.50,2.0,200
Hamburger,Hot Food,3.0,0.67,2.0,320
Popcorn,Hot Food,5.0,0.80,4.0,500
Pizza,Hot Food,2.0,0.25,0.5,480
Bottled Water,Beverages,3.0,0.83,2.5,0
Hot Dog,Hot Food,1.5,0.67,1.0,265
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Soda,Beverages,2.5,0.80,2.0,120
Chocolate Bar,Candy,2.0,0.75,1.5,255
Hamburger,Hot Food,3.0,0.67,2.0,320
Beer,Beverages,4.0,0.50,2.0,200
Hot Dog,Hot Food,1.5,0.67,1.0,265
Licorice Rope,Candy,2.0,0.50,1.0,280
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Nachos,Hot Food,3.0,0.50,1.5,560
Pizza,Hot Food,2.0,0.25,0.5,480
Beer,Beverages,4.0,0.50,2.0,200
Soda,Beverages,2.5,0.80,2.0,120
Beer,Beverages,4.0,0.50,2.0,200
Hamburger,Hot Food,3.0,0.67,2.0,320
Gummy Bears,Candy,2.0,0.50,1.0,300
Popcorn,Hot Food,5.0,0.80,4.0,500
Hamburger,Hot Food,3.0,0.67,2.0,320
Nachos,Hot Food,3.0,0.50,1.5,560
Nachos,Hot Food,3.0,0.50,1.5,560
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Chocolate Bar,Candy,2.0,0.75,1.5,255
Hamburger,Hot Food,3.0,0.67,2.0,320
Beer,Beverages,4.0,0.50,2.0,200
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Soda,Beverages,2.5,0.80,2.0,120
Gummy Bears,Candy,2.0,0.50,1.0,300
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Licorice Rope,Candy,2.0,0.50,1.0,280
Nachos,Hot Food,3.0,0.50,1.5,560
Bottled Water,Beverages,3.0,0.83,2.5,0
Bottled Water,Beverages,3.0,0.83,2.5,0
Popcorn,Hot Food,5.0,0.80,4.0,500
Chocolate Bar,Candy,2.0,0.75,1.5,255
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Licorice Rope,Candy,2.0,0.50,1.0,280
Beer,Beverages,4.0,0.50,2.0,200
Hot Dog,Hot Food,1.5,0.67,1.0,265
Chocolate Bar,Candy,2.0,0.75,1.5,255
Pizza,Hot Food,2.0,0.25,0.5,480
Hamburger,Hot Food,3.0,0.67,2.0,320
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Licorice Rope,Candy,2.0,0.50,1.0,280
Nachos,Hot Food,3.0,0.50,1.5,560
Popcorn,Hot Food,5.0,0.80,4.0,500
Chocolate Bar,Candy,2.0,0.75,1.5,255
Hot Dog,Hot Food,1.5,0.67,1.0,265
Popcorn,Hot Food,5.0,0.80,4.0,500
Beer,Beverages,4.0,0.50,2.0,200
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Gummy Bears,Candy,2.0,0.50,1.0,300
Licorice Rope,Candy,2.0,0.50,1.0,280
Beer,Beverages,4.0,0.50,2.0,200
Licorice Rope,Candy,2.0,0.50,1.0,280
Beer,Beverages,4.0,0.50,2.0,200
Soda,Beverages,2.5,0.80,2.0,120
Hot Dog,Hot Food,1.5,0.67,1.0,265
Pizza,Hot Food,2.0,0.25,0.5,480
Soda,Beverages,2.5,0.80,2.0,120
Gummy Bears,Candy,2.0,0.50,1.0,300
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Soda,Beverages,2.5,0.80,2.0,120
Chocolate Bar,Candy,2.0,0.75,1.5,255
Beer,Beverages,4.0,0.50,2.0,200
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Beer,Beverages,4.0,0.50,2.0,200
Nachos,Hot Food,3.0,0.50,1.5,560
Nachos,Hot Food,3.0,0.50,1.5,560
Nachos,Hot Food,3.0,0.50,1.5,560
Gummy Bears,Candy,2.0,0.50,1.0,300
Hot Dog,Hot Food,1.5,0.67,1.0,265
Pizza,Hot Food,2.0,0.25,0.5,480
Bottled Water,Beverages,3.0,0.83,2.5,0
Hamburger,Hot Food,3.0,0.67,2.0,320
Chocolate Dipped Cone,Frozen Treats,3.0,0.50,1.5,300
Popcorn,Hot Food,5.0,0.80,4.0,500
Hot Dog,Hot Food,1.5,0.67,1.0,265
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Chocolate Bar,Candy,2.0,0.75,1.5,255
Licorice Rope,Candy,2.0,0.50,1.0,280
Beer,Beverages,4.0,0.50,2.0,200
Hot Dog,Hot Food,1.5,0.67,1.0,265
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Hot Dog,Hot Food,1.5,0.67,1.0,265
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Soda,Beverages,2.5,0.80,2.0,120
Chocolate Bar,Candy,2.0,0.75,1.5,255
Gummy Bears,Candy,2.0,0.50,1.0,300
Pizza,Hot Food,2.0,0.25,0.5,480
Hot Dog,Hot Food,1.5,0.67,1.0,265
Gummy Bears,Candy,2.0,0.50,1.0,300
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Licorice Rope,Candy,2.0,0.50,1.0,280
Beer,Beverages,4.0,0.50,2.0,200
Hamburger,Hot Food,3.0,0.67,2.0,320
Beer,Beverages,4.0,0.50,2.0,200
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Gummy Bears,Candy,2.0,0.50,1.0,300
Hamburger,Hot Food,3.0,0.67,2.0,320
Licorice Rope,Candy,2.0,0.50,1.0,280
Hamburger,Hot Food,3.0,0.67,2.0,320
Soda,Beverages,2.5,0.80,2.0,120
Bottled Water,Beverages,3.0,0.83,2.5,0
Hamburger,Hot Food,3.0,0.67,2.0,320
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Gummy Bears,Candy,2.0,0.50,1.0,300
Bottled Water,Beverages,3.0,0.83,2.5,0
Hot Dog,Hot Food,1.5,0.67,1.0,265
Soda,Beverages,2.5,0.80,2.0,120
Pizza,Hot Food,2.0,0.25,0.5,480
Popcorn,Hot Food,5.0,0.80,4.0,500
Popcorn,Hot Food,5.0,0.80,4.0,500
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Popcorn,Hot Food,5.0,0.80,4.0,500
Bottled Water,Beverages,3.0,0.83,2.5,0
Licorice Rope,Candy,2.0,0.50,1.0,280
Bottled Water,Beverages,3.0,0.83,2.5,0
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Pizza,Hot Food,2.0,0.25,0.5,480
Pizza,Hot Food,2.0,0.25,0.5,480
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Pizza,Hot Food,2.0,0.25,0.5,480
Gummy Bears,Candy,2.0,0.50,1.0,300
Chocolate Bar,Candy,2.0,0.75,1.5,255
Beer,Beverages,4.0,0.50,2.0,200
Ice Cream Sandwich,Frozen Treats,3.0,0.67,2.0,240
Nachos,Hot Food,3.0,0.50,1.5,560
Bottled Water,Beverages,3.0,0.83,2.5,0
Beer,Beverages,4.0,0.50,2.0,200
Hamburger,Hot Food,3.0,0.67,2.0,320
Chocolate Bar,Candy,2.0,0.75,1.5,255
Popcorn,Hot Food,5.0,0.80,4.0,500
Hamburger,Hot Food,3.0,0.67,2.0,320
Soda,Beverages,2.5,0.80,2.0,120
Pizza,Hot Food,2.0,0.25,0.5,480
Hot Dog,Hot Food,1.5,0.67,1.0,265
Hot Dog,Hot Food,1.5,0.67,1.0,265
Nachos,Hot Food,3.0,0.50,1.5,560
Hamburger,Hot Food,3.0,0.67,2.0,320
