critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Derek Adams,1,114709.0,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,9559.0,Toy story,24,so ingenious in concept design and execution that you could watch it on a postage stamp sized screen and still be engulfed by its charm
David Ansen,1,114709.0,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,9559.0,Toy story,13,a winning animated feature that has something for everyone on the age spectrum
Leonard Klady,1,114709.0,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,9559.0,Toy story,17,the film sports a provocative and appealing story thats every bit the equal of this technical achievement
Jonathan Rosenbaum,1,114709.0,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,9559.0,Toy story,14,an entertaining computer generated hyperrealist animation feature  thats also in effect a toy catalog
Michael Booth,1,114709.0,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,9559.0,Toy story,40,as lion king did before it toy story revived the art of american childrens animation and ushered in a set of smart movies that entertained children and their parents its a landmark movie and doesnt get old with frequent repetition
Geoff Andrew,1,114709.0,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,9559.0,Toy story,27,the film will probably be more fully appreciated by adults wholl love the snappy knowing verbal gags the vivid deftly defined characters and the overall conceptual sophistication
Janet Maslin,1,114709.0,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,9559.0,Toy story,26,children will enjoy a new take on the irresistible idea of toys coming to life adults will marvel at a witty script and utterly brilliant anthropomorphism
Kenneth Turan,1,114709.0,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,9559.0,Toy story,30,although its computer generated imagery is impressive the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue
Susan Wloszczyna,1,114709.0,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,9559.0,Toy story,21,how perfect that two of the most popular funny guys around tom hanks and tim allen speak for the lead boy toys
John Hartl,1,114709.0,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,9559.0,Toy story,19,disneys witty wondrously imaginative all computer generated cartoon is far and away the best of the new holiday movies in town
Peter Stack,1,114709.0,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,9559.0,Toy story,31,the script by lasseter pete docter andrew stanton and joe ranft is filled with clever gags that keep the two heroes at each others throats and the plot on fast  forward
Rita Kempley,1,114709.0,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,9559.0,Toy story,25,its a nice change of pace to see the studio draw magic from this modern tale about ordinary th century kid andy and his eager to please playthings
,1,114709.0,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559.0,Toy story,33,i can hardly imagine having more fun at the movies than i did at toy story the miraculous new disney feature thats the first full length animated film to be produced entirely on computer
Roger Moore,1,114709.0,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559.0,Toy story,15,the great voice acting the visual puns all added up to an animation game changer
Roger Ebert,0,113497.0,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,12436.0,Jumanji,12,a gloomy special effects extravaganza filled with grotesque images generating fear and despair
Richard Schickel,1,107050.0,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,10498.0,Grumpy Old Men,13,walter matthau and jack lemmon are awfully good at this sort of thing
