position,company,location,salary,summary
Data Analytics Intern - Advanced Degrees,AT&T,"Alpharetta, GA",,As a data. Of our Data Analytics Internship Program you will work in our Chief Data Office. Data Analytics Technical Internship II....
Junior Data Scientist - Mortgage & Housing,Equifax,"Atlanta, GA",,Review with Senior Data Scientist. Conduct statistical analysis under the supervision of a Senior Data Scientist. Function - Data and Analytics....
"Assistant Scientist - School of Medicine, Human Genetics",Emory University,"Atlanta, GA","$59,200 a year","Analysis of study data; Entering data into an electronic database; Collecting family, health, and medical history data;..."
Consultant - Data Science,Capgemini,"Atlanta, GA",,"0-2 year(s) professional work experience as a data scientist or on advanced analytics / statistics projects. Our team has worked with geospatial data, on social..."
Data Science - Consultant,Capgemini,"Atlanta, GA",,"0-2 year(s) professional work experience as a data scientist or on advanced analytics / statistics projects. Our team has worked with geospatial data, on social..."
Sr Data Scientist,McKesson,"Alpharetta, GA 30005",,"The Data Scientist for McKesson Data & Analytics (mDNA) will be based in our Alpharetta, GA office. The Data Scientist will perform the following:...."
Analytics Specialist- Operations Analysis & Performance Data Science,Delta Air Lines,"Atlanta, GA",,"Identify and develop high-impact insights and data models. Proficiency in Data Model building (Python, R, SAS and other machine learning platform)...."
Data Engineer Intern - New Ventures Campus,McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
BI Quantitative Analyst,Children's Healthcare of Atlanta,"Atlanta, GA 30329",,Works with statistical and/or data management software package(s) for data mining and complicated data analytical projects. Create analytic data sets....
Viral Hepatitis Statistical Analysis,Oak Ridge Associated Universities,"Atlanta, GA",,"Some issues are complex data manipulation, variable follow-up time, missing data, time-varying covariates, and correlated data...."
Associate Research Scientist - 6-month intern position,PreVisor,"Atlanta, GA",,"Knowledgeable in SPSS and data analysis programs. Contribute to the ongoing development, validation, revision, and management of assessments and solutions and..."
"Data Scientist (PYTHON, HADOOP)",SoftVision - TAMS,"Johns Creek, GA",,3-5 years of experience building large data sets from multiple sources to build algorithms for predicting future data characteristics....
Health Research Analyst,Northrop Grumman,"Atlanta, GA",,Are you interested in the opportunity to work for an industry-leading company whose work with cutting-edge technology is driven by something human: the lives...
Assistant Scientist (AR),Emory University,"Atlanta, GA","$59,200 a year","He/She will synthesize new molecules, utilize HPLC, NMR, and mass spectrometry to achieve results from experiments, collect and analyze data, draft scientific..."
Sr Data Scientist,Honeywell,"Atlanta, GA 30308 (Old Fourth Ward area)",,"As a Data Scientist with Honeywell, this is your opportunity to:. Provide data modeling, mining, pattern analysis, data visualization and machine learning..."
"Analyst, Research",Turner,"Atlanta, GA 30319",,"About Turner / Our Story TBS, Inc. is an American Media conglomerate and division of Time Warner along with our sister companies, HBO and Warner Brothers. We..."
Data Scientist,SimplePart,"Atlanta, GA","$75,000 - $110,000 a year",We are looking for an experienced Data Scientist to join our Business Analytics group and help us use data to tackle our most challenging questions....
Senior AI Data Scientist,Honeywell,"Atlanta, GA 30308 (Old Fourth Ward area)",,"Provide artificial intelligence, machine learning, deep learning, data modeling, data mining, pattern analysis, and data visualization solutions to address..."
Implementation Analyst,Turner,"Atlanta, GA 30319",,"Although this is not a technical position, this role will have frequent interaction with data scientists, development and engineering teams...."
Business Analyst (Data Analysis),Delta Air Lines,"Atlanta, GA 30320",,"Responsible for data augmentation, clean up and data quality issue resolution. 1+ years of data analysis...."
