position,company,location,salary,summary
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Research Data Analyst 1,Stanford University,"Stanford, CA 94305",,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause..."
"Data Analyst (Fixed Term, 18 months)",Stanford University,"Stanford, CA 94305",,"Clean large datasets of collected data, or publically available data in preparation for data analysis. The incumbent will work closely with senior statisticians..."
MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER,"GRAIL, Inc.","Menlo Park, CA",,"Experience with next generation sequencing data analysis (DNA, RNA, or epigenetic analysis.). Largely without exception these breakthroughs have been enabled by..."
Junior Data Scientist,SAP,"Palo Alto, CA",,"As a Data Scientist , you will work in a team of experience experienced researchers and data scientists taking on challenges posed by the SAP customers and..."
Network Quantitative Analyst,Facebook,"Menlo Park, CA",,"Build cross functional relationships with Data Scientists, Network Planners, Software Engineers and Network Engineers to understand their data needs...."
"Analyst, Access Network Planning",Facebook,"Menlo Park, CA",,"You will work closely with network operators, infrastructure providers and FB program managers, data scientists, engineers and product managers to analyze data..."
Sr. Data Scientist,YuMe,"Redwood City, CA 94063",,Join YuMe as a data scientist to be part of our efforts to build cutting edge digital advertising and marketing solutions....
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
Data Science Engineer,Salesforce,"Palo Alto, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
Senior Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Proficient with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning /..."
"Intern, Innovation Center Silicon Valley - Engineers & Data Scientists",SAP,"Palo Alto, CA",,"Experience with machine learning & artificial intelligence (computer vision, NLP, data science, etc.). The SAP Innovation Center Silicon Valley is looking for..."
"People Research Scientist, Diversity Analytics",Facebook,"Menlo Park, CA",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
