position,company,location,salary,summary
J1 Internaltional Intern - Machine Learning in Automation,Siemens AG,"Berkeley, CA",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 219792 Primary Location: United States-California-Berkeley Assignment...
Algorithms & Applications Researcher - Quantum Machine Learning,Rigetti Computing,"Berkeley, CA",,"As an Algorithms & Application Researcher at Rigetti Computing, you will research and develop algorithms and applications for our quantum hardware technology...."
Intern - Machine Learning,HERE Technologies,"Berkeley, CA",,We build the systems that collect HERE's own data. Our software provides data and interfaces that enable the monitoring and coordination of collection efforts....
Open Source Scientific Python Developer,University of California Berkeley,"Berkeley, CA",,"Bootcamps) to help train the next generation of data scientists, and support a growing. BIDS collaborates closely with the new Division of Data Sciences...."
Machine Learning Engineer/Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,Common data structures and algorithms. Passionate about working with large unstructured and structured data sets....
Data Engineer,Classy,"San Francisco, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Data Scientist,LeapYear,"Berkeley, CA",,"As a data scientist at LeapYear, you will be responsible for conceptualizing, developing, testing, and deploying machine learning products on customer data sets..."
Product Analyst (Data Science),Ancestry,"San Francisco, CA 94107 (South Of Market area)",,"Identify and understand various data sources; Build tools and services to improve analysis and experimentation throughput, and work with Data Warehouse team to..."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Research Data Analyst,University of California San Francisco,"San Francisco, CA",,The Research Data Analyst will join a collaborative and exciting team of researchers at the F.I. The individual will be asked to contribute to study design from...
Software Engineer – Machine Learning R&D,LeapYear,"Berkeley, CA",,"Experience in enterprise data science and data engineering. Unlike traditional methods which remove or obfuscate information, LeapYear enables analytics across..."
Principal Data Scientist,LeapYear,"Berkeley, CA",,"As a data scientist at LeapYear, you will be responsible for conceptualizing, developing, testing, and deploying machine learning products on customer data sets..."
Sr Data Scientist - 47178BR,Aetna,"San Francisco, CA",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Junior Data Scientist,Realogy Corporate,"Emeryville, CA",,"Junior Data Scientist. As a Junior Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to use it most..."
Data Science Generalist,Rainforest QA,"San Francisco, CA",,"We regularly send our data scientists to conferences, both to speak and just learn (e.g. Knowledge of common data science concepts:...."
Machine Learning,Twitter,"San Francisco, CA 94103 (South Of Market area)",,Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
