position,company,location,salary,summary
Machine Learning Data Analyst,Cognizant,"Denver, CO",,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments...."
Data Engineer,IMM,"Boulder, CO",,"Data pipeline/workflow management. You will work closely with our solutions architect, data scientists, and analysts to help build out our data aggregation and..."
Data Science Researcher,National Renewable Energy Laboratory,"Golden, CO",,"Design, implement, and document data workflows. Integrating multiple data sources, models, and software tools with scientific and engineering workflows for..."
"Faculty Positions in Data Science, Machine Learning, and Security",University of Colorado,"Boulder, CO",,"This is an interdisciplinary search in data science, machine learning, and security, conducted by the Departments of Computer Science, Electrical, Computer and..."
Data Engineer I,"UNAVCO, Inc.","Boulder, CO",,"The Data Engineer will also play an active role in the development of new data access and processing tools and interfaces, providing expertise on data and end..."
Sr. Data Engineer,"Pandora Media, Inc.","Boulder, CO",,"Experience collaborating with data scientists, exposure to machine learning algorithms and/or statistical modeling methods...."
"Research Analyst - Navigant Research - Energy- Boulder, CO",Navigant,"Boulder, CO",,Regularly uses close visual acuity and operates computer equipment to prepare and analyze and transmit data....
Principal Engineer - Machine Learning,Medtronic,"Boulder, CO",,ESSENTIAL DUTIES AND RESPONSIBILITIES: The principal development engineer in Technology Explorations role is responsible for the application of technology to...
High Dimensional Data Analysis,University of Colorado,"Boulder, CO",,"The position is in the area of high dimensional data analysis (big data), with possible areas of emphasis including nonlinear optimization, analysis in high..."
Research Associate,University of Colorado,"Boulder, CO",,And the ability to effectively interact with other scientists and students. Applicants must complete the Faculty/University Staff and EEO Data (application)...
2018 SOARS Internship Program,UCAR,"Boulder, CO",,Ability to analyze data and draw conclusions. Participates in technical and career seminars with peers and scientists....
Sr. Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Lead Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Data Engineer,Return Path,"Broomfield, CO 80021","Estimated salary: $86,000 - $109,000 a year","As a Data Engineer, you will collaborate with fellow engineers, data scientists and data analysts to support their needs and the needs of the business...."
Geodesist (Gravity Scientist) ZP-1372-04 (DE/CR),Department of Commerce,"Boulder, CO","$92,969 - $142,821 a year","Geodesist (Gravity Scientist), ZP-1372-04. Collect and process terrestrial and airborne gravity data. Ability to collect high quality terrestrial and airborne..."
Professional Research Asst,University of Colorado,"Boulder, CO",,Experience with modern particle detectors and data analysis techniques. Research Scientist Position on CMS at the University of Colorado Boulder....
