position,company,location,salary,summary
Machine Learning Data Analyst,Cognizant,"Denver, CO",,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments...."
Data Engineer,Return Path,"Broomfield, CO 80021",,"As a Data Engineer, you will collaborate with fellow engineers, data scientists and data analysts to support their needs and the needs of the business...."
Data Science Researcher,National Renewable Energy Laboratory,"Golden, CO",,"Design, implement, and document data workflows. Integrating multiple data sources, models, and software tools with scientific and engineering workflows for..."
Data Engineer,IMM,"Boulder, CO",,"Data pipeline/workflow management. You will work closely with our solutions architect, data scientists, and analysts to help build out our data aggregation and..."
Engineer I - Data Strategist (662144),Ball Aerospace,"Broomfield, CO",,"Technical data sourcing, management, and analysis. Open source data sourcing, management, and analysis. Our team of more than 3,000 engineers, scientists,..."
Sr. Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Software Development Engineer - Machine Learning,Conga,"Broomfield, CO 80021",,Knowledge of industry standards and trends in big data and machine learning. Bachelor’s Degree in Computer Science or equivalent experience and 3+ years of...
Lead Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
"Faculty Positions in Data Science, Machine Learning, and Security",University of Colorado,"Boulder, CO",,"This is an interdisciplinary search in data science, machine learning, and security, conducted by the Departments of Computer Science, Electrical, Computer and..."
Data Scientist Snr Manager,Oracle,"Broomfield, CO",,Data Scientist Snr Manager-1700142B. 3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with...
Junior Data Scientist/Software Engineer,CCRi,"Aurora, CO",,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills. Data Processing and Analytics:...."
Data Engineer I,"UNAVCO, Inc.","Boulder, CO",,"The Data Engineer will also play an active role in the development of new data access and processing tools and interfaces, providing expertise on data and end..."
"Research Analyst - Navigant Research - Energy- Boulder, CO",Navigant,"Boulder, CO",,Regularly uses close visual acuity and operates computer equipment to prepare and analyze and transmit data....
Sr. Data Engineer,"Pandora Media, Inc.","Boulder, CO",,"Experience collaborating with data scientists, exposure to machine learning algorithms and/or statistical modeling methods...."
Principal Engineer - Machine Learning,Medtronic,"Boulder, CO",,ESSENTIAL DUTIES AND RESPONSIBILITIES: The principal development engineer in Technology Explorations role is responsible for the application of technology to...
High Dimensional Data Analysis,University of Colorado,"Boulder, CO",,"The position is in the area of high dimensional data analysis (big data), with possible areas of emphasis including nonlinear optimization, analysis in high..."
Research Associate,University of Colorado,"Boulder, CO",,And the ability to effectively interact with other scientists and students. Applicants must complete the Faculty/University Staff and EEO Data (application)...
Business Intelligence Intern (661821),Ball Aerospace,"Lafayette, CO",,"Collect, integrate, analyze and visualize data using a variety of data analytics and visualization tools. Increasingly businesses understand that one of their..."
"Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Research Analyst,Denver Investments,"Denver, CO",,"Perform data collection, industry research, analysis, and report conclusions to aid in the investment decision-making process...."
