position,company,location,salary,summary
Data Analysis & QA Engineer Role,Sentient Science Corporation,"Buffalo, NY 14209 (Delaware-West Ferry area)",,Work closely with software engineering and data analytics team to define & automate data ingestion and data QA....
Research Scientist,University at Buffalo,"Buffalo, NY","$45,000 - $55,000 a year",Experience with managing large-scale data sets; Developing machine learning and mathematics methodologies to address the computational challenges of analyzing...
Wind Energy Data Scientist,Sentient Science Corporation,"Buffalo, NY 14209 (Delaware-West Ferry area)",,"We’re looking for a Wind Energy Data Scientist to expand our engineering data analytics team. A Data Scientist or Wind Turbine SME to curate, analyze and..."
CUBRC Machine Learning Software Engineer,CUBRC-AVARINT,"Buffalo, NY",,Familiarity with data manipulation packages such as Numpy and Pandas. CUBRC sits at the forefront of data science and multisource information fusion research by...
Research Intern,CUBRC-AVARINT,"Buffalo, NY",,And provides access to cutting edge research and testing laboratories staffed with outstanding scientists and engineers....
Research Scientist II- Screening by Mass Spectrometry,Albany Molecular Research,"Buffalo, NY 14203 (Willert Park area)",,"Experience interpreting mass spectrometry data. Research Scientist II, Screening By Mass Spectrometry. Record all appropriate data electronically in AMRI..."
Treasury Quantitative Analyst,M&T Bank,"Buffalo, NY",,"Minimum of 2 years’ proven quantitative or data-oriented experience, including on-the-job use of statistical data analysis and data management environment such..."
Engineer/Scientist Lead R&D,Honeywell,"Buffalo, NY 14210 (Valley area)",,"The core function of this role includes planning and running experiments or plant trials based on fundamental understanding of polymer dynamics, DOE,..."
Senior Treasury Quantitative Analyst,M&T Bank,"Buffalo, NY",,"Experience with data management environment, such as SQL Server Management Studio, including 2 years’ of on-the-job use...."
Research Scientist III- Screening by Mass Spec.,Albany Molecular Research,"Buffalo, NY 14203 (Willert Park area)",,"RESEARCH SCIENTIST III, SCREENING BY MASS SPECTROMETRY. Troubleshooting of automated equipment and data analysis templates...."
HRI Scientist,Health Research Inc. (HRI) Roswell Park Division,"Buffalo, NY",,"(HRI) Roswell Park Division is seeking a full-time HRI Scientist. Develops clinical and research databases, oversees data accuracy, entry and quality...."
Machine Learning Engineer,SelectOne,"Buffalo, NY","$100,000 a year",Train neural networks with TensorFlow on Google Cloud using data gathered from our vision and radar sensors installed on Lake Freighters and speedboats....
"Scientist, Breakthrough Innovation",Rich Products Corporation,"Buffalo, NY",,"Designs and executes experiments, analyzes, and interprets data to make sound technical recommendations for specific projects...."
