position,company,location,salary,summary
Junior Quantitative Researcher - Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)",,"Akuna’s Quantitative Trading and Research team is looking to add Junior Quant Researchers to a team of mathematicians, statisticians and technologists. This..."
Machine Learning Engineer,TransUnion,"Chicago, IL 60661 (Near West Side area)",,"Additional experience writing intermediate SQL queries for data extraction preferred. As a Consultant on our team, you will join a world class group of..."
Junior Quantitative Developer - Data Analysis,Akuna Capital,"Chicago, IL 60603 (Loop area)",,Comfortable developing intuitive ways to manipulate and display data. Write and optimize data analysis code and calculation intensive models....
Research Data Analyst,University of Chicago,"Chicago, IL",,"1 year of experience with conducting data analysis with analytic software (Stata, SPSS, or R); The Research Data Analyst will be responsible for analyzing..."
Marketing Analyst,Groupon,"Chicago, IL 60654 (Loop area)",,"You will develop new data requirements, maintain automated dashboards and reports, analyze marketing performance data and will support the implementation of new..."
Quantitative Researcher- Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)",,"Akuna’s Quantitative Trading and Research team is looking to add Quant Researchers to a team of mathematicians, statisticians and technologists. This team..."
Data Analytics Engineer Co-op Intern,Motorola Solutions,"Chicago, IL 60604 (Loop area)",,Data Engineering and Data Science skills and experience are required. This intern will work with data scientists and data engineers in the investigation and...
"Data Science Intern, Summer 2018",Groupon,"Chicago, IL 60654 (Loop area)",,"Modeling historical data to forecast demand, purchase propensity, merchant risk, etc. Marketing and CRM:...."
Data Analyst,BP,"Chicago, IL",,Data analysis to produce initial data cuts and define data extract patterns. This may include the creation of specialist interfaces and transformation routines...
"Data Engineer - ACRE, New Ventures",McKinsey & Company,"Chicago, IL",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
Intern - Econometrics & Statistical Modeling,Federal Reserve Bank of Chicago,"Chicago, IL",,"Data collection, data mining and profiling. Intern - Econometrics & Statistical Modeling-252624...."
Statistical Analyst,IRI,"Chicago, IL",,Investigate and resolve client production data issues. Proficiency using a 4GL ( e.g. SAS) programming language to access and manipulate data....
Quantitative Developer- Data Analysis,Akuna Capital,"Chicago, IL 60603 (Loop area)",,Demonstrated experience working with diverse data sets across multiple domains. Develop core data infrastructure used daily by stakeholders throughout the firm....
Quantitative Analyst,RBC,"Chicago, IL",,"Partner with GAM’s Data Governance Office and Technology Group to take advantage of, and contribute meaningfully to, GAM’s investment data sets, tools and..."
Machine Learning Expert (Intelligent Algorithms),JP Morgan Chase,"Chicago, IL 60603 (Loop area)",,"5+ years researching and practicing Machine Learning tools, like TensorFlow, Big data, and big data toolset experience...."
Quantitative Analyst,National Futures Association,"Chicago, IL 60606 (Loop area)",,Participate in quality assurance (QA) initiatives to facilitate the accurate reporting of regulatory data. The main purpose of the Quantitative Analyst within...
Quantitative Analyst,Neuberger Berman,"Chicago, IL",,Summary : We are seeking a highly motivated Quantitative Analyst to join our Fixed Income Division in Chicago. This position will focus on using Quantitative...
Data Developer,Cars.com,"Chicago, IL",,"Solid understanding of relational data structures and data integration techniques. Collaborate with product owners, data scientists or other developers in a..."
Statistical Reports Analyst,Federal Reserve Bank of Chicago,"Chicago, IL",,Routinely run queries to ensure data accuracy and compatibility with report data. Evaluates data and interprets principles and regulations to resolve accuracy...
Data Science Research & Development - Internship,at Civis Analytics,"Chicago, IL",,Do you want to learn from data scientists and have an immediate impact on our work? Experience working with imperfect data....
Data Science Research & Development - Internship,at Civis Analytics,"Chicago, IL",,Do you want to learn from data scientists and have an immediate impact on our work? Experience working with imperfect data....
"Associate, Data Scientist",KPMG,"Chicago, IL 60601 (Loop area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Computational Scientist,University of Chicago,"Chicago, IL",,"Fluency in data manipulation and analysis required. Experience with data visualization tools, such as D3 or GGplot preferred...."
Consumer Research & Data Analyst,Mintel Group,"Chicago, IL 60606 (Loop area)",,Gathering market data through secondary research such as industry or government data (eg Census data). Analyzing quantitative data:....
Research Analyst,Mintel Group,"Chicago, IL 60606 (Loop area)",,"Scoping, data pulls, data & creative analysis, and presentation development. Experience with digital data streams, such as clickstream, social media, SEO, or..."
Junior Variant Scientist,Tempus,"Chicago, IL 60654 (Loop area)",,We now have more data than ever before but providers don't have the infrastructure or expertise to make sense of this data....
Research Analyst,Mintel,"Chicago, IL",,"Scoping, data pulls, data & creative analysis, and presentation development. Experience with digital data streams, such as clickstream, social media, SEO, or..."
Quantitative Model Analyst,U.S. Bank,"Chicago, IL",,"The analyst assesses model risk through periodic validation and monitoring activities that independently challenge conceptual design/methodology, reference data..."
Senior Healthcare Data Scientist,Strata Decision Technology,"Chicago, IL 60601 (Loop area)",,Ability to install and configure tools needed for data analysis of large data sets. We are looking for a Senior Data Scientist with healthcare experience to...
Research Analyst,Market Track,"Chicago, IL 60606 (Loop area)",,"Combine multiple disparate data sets into a single, unified story for clients. Ability to manage and analyze large, complex data (SQL, Hive, SAS, R, MatLab, etc..."
Research Analyst,Market Track,"Chicago, IL 60606 (Loop area)",,"Combine multiple disparate data sets into a single, unified story for clients. Ability to manage and analyze large, complex data (SQL, Hive, SAS, R, MatLab, etc..."
Research Analyst,University of Chicago,"Chicago, IL",,"Ability to work discretely with sensitive and confidential data required. Cleans, merges, and matches data, and runs sampling and randomization across multiple..."
