position,company,location,salary,summary
Data Science/ Analytics Curriculum Developer,Qlik,"Radnor, PA",,Beginning level data scientist. The Data Scientist Curriculum Developer for the Data Literacy Program will have the opportunity to build and expand Qlik’s new...
Senior Data Scientist - Center for Analytics and Insights,Vanguard,"Malvern, PA",,"If you’re interested in being considered for future Data Scientist openings within Vanguard, please submit your information to Vanguard’s Senior Data Scientist..."
Data Science Developer - Intermediate,Vanguard,"Malvern, PA",,"Knowledge of data engineering and experience with big data. Experience in designing, developing, integrating and running business, big data and/or data science..."
R&D Scientist - Glass Expert,Heraeus Holding GmbH,"Conshohocken, PA",,R&D Scientist - Glass Expert 1. Location Conshohocken - Pennsylvania....
Data Engineer - Machine Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use your software development and data mining skills to build data sets, data quality metrics, and automation tools to enhance our research and system..."
Market Research & Portfolio Analyst,Johnson Matthey,"Conshohocken, PA",,Generates data for use in new product launch planning. Generates data that drives business-case analysis and which allows to make appropriate recommendations...
Data Scientist - Health Data Sciences,Symphony Health Solutions,"Conshohocken, PA",,HDS is hiring a Data Scientist to join our team. Experience in large volume data analysis and big data (RDBMS/HDFS)....
Statistical Programmer,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
Automation Informatics & Data Analyst,GlaxoSmithKline,"Collegeville, PA 19426",,Experience with imaging data analysis preferred. Experience with bioactivity data analysis and molecular profiling is desired....
Clinical Data Scientist (Manager),Pfizer,"Collegeville, PA",,Clinical Data Scientist Manager. Serve as Clinical Data Scientist for one or more clinical trials assuming responsibility for all DM&M activities including...
Data Scientist,QuintilesIMS,"Plymouth Meeting, PA",,"DATA SCIENTIST (PREDICTIVE ANALYTICS/ MACHINE LEARNING). Experience with patient-level, longitudinal data...."
Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience with large data sets and basic knowledge of SAS programming languages in both PC and mainframe environments is preferred....
"Business Analyst, Scientific Business Units",Merck,"West Point, PA",,"Understand of data flow relationships and experience with driving data stewardship initiatives. Experience with completing risk, regulatory, and data security..."
"Analyst 2, Mktg Research & Planning",Comcast,"West Conshohocken, PA 19428",,"And/or syndicated data (Scarborough, Experian, Polk, Kantar, etc.)- Understands fundamentals media measurement, research and local cable advertising.-..."
Quantitative Research Analyst,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"In this role, you will examine global markets, utilize terabytes of trading data, and leverage your statistical analytic skills to build models and strategies..."
Senior Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"West Chester, PA",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
Data Scientist,CSL Behring,"King of Prussia, PA",,The Data Scientist will accomplish this by utilizing processes and systems to extract knowledge or insights from either structure or unstructured data....
Data Scientist,Berkadia Commercial Mortgage,"Ambler, PA",,"Has data mining knowledge. Perform hands-on data exploration and statistical, analytic and predictive modeling using big data to analyze and understand the..."
Research Analyst I - Emerging Technologies,ECRI Institute,"Plymouth Meeting, PA 19462",,"Clinical data analysis; Perform basic statistical tests on study data, accept and appropriately implement peer review critiques;..."
Research Analyst I - Emerging Technologies,ECRI Institute,"Plymouth Meeting, PA 19462",,"Clinical data analysis; Perform basic statistical tests on study data, accept and appropriately implement peer review critiques;..."
"Sr. Analyst, Data Science Integration",Comcast,"Philadelphia, PA 19103 (Belmont area)",,"The Senior Analyst, Data Science Integration will join a growing team team of data scientists, data engineers, and software developers to create, operationalize..."
Research Scientist - Deep Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use data mining, statistical analysis, and deep learning methods to enhance our research and system development...."
"Associate, Data Scientist",KPMG,"Philadelphia, PA",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Statistical Programmer (Associate),Pfizer Inc.,"Collegeville, PA",,Working knowledge of clinical data. Will be learning in the space of programming and data standards. This role is a hands on statistical programmer supporting...
"Specialist, Regulatory Affairs (CMC Data Management)",Merck,"West Point, PA",,Support CMC scientists in collection of Health Registration Management information to support change assessments....
Data Scientist (Predictive Analytics/Machine Learning),QuintilesIMS,"Plymouth Meeting, PA",,"Experience using big data technology. Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry...."
Clinical Informatics Analyst,University of Pennsylvania Health System,"Philadelphia, PA",,Develop and maintain broad spectrum of analytic capabilities including data scientists. Work with IS across the system to design and develop needed data...
Data Scientist,AmerisourceBergen,"Chesterbrook, PA",,Data Scientist - 00001MQS. We are looking to hire a Data Scientist who is excited about working with a team who is passionate about finding business solutions...
Research & Data Analyst,Community College of Philadelphia,"Philadelphia, PA",,Process and interpret data from specified College data collection systems including predictive analytics. Experience with research statistical techniques and...
"Senior Scientist, Computational Chemistry",Johnson & Johnson Family of Companies,"Spring House, PA",,"Janssen Research & Development, a Johnson & Johnson Company is recruiting for a Senior Scientist, Computational Chemistry to be located Spring House,..."
"Senior Scientist, Computational Biology",Johnson & Johnson Family of Companies,"Spring House, PA",,A background in integrative data analysis approaches of high-dimensional biological data is preferred. Perform data analysis of a variety of omics platforms...
Research Analyst,Independence Blue Cross,"Philadelphia, PA",,"The Research Analyst is responsible for the following: Conducts research evaluation on medical devices, drugs, biologicals and procedures in order to evaluate..."
Data Engineer,Sidecar,"Philadelphia, PA 19107 (City Center East area)",,Support our data scientists by scaling EMR jobs. We’re looking for a Data Engineer to join our rapidly growing Data Engineering team....
Statistical Programmer - PL/SQL Developer,QuintilesIMS,"Plymouth Meeting, PA",,"Devoted to applying big data to clinical trials, this high-profile team aims to be a global leader in the application of big data within the drug development..."
Data Analyst - Medicine Program Development,Einstein Healthcare Network,"Philadelphia, PA 19115 (Bustleton area)",,Collaborating with data managers to obtain data; Collaborating with data managers to ensure data quality control. Identifying data needs;...
Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,"We are looking for a Senior Data Scientist to join our analytics team. Our team works cross-functionally with the program, product and engineering teams.The..."
"Scientist, Data Sciences",Johnson & Johnson Family of Companies,"Spring House, PA",,"There are many ways to explore and analyze data, and this drives the excitement and passion of data scientists at Janssen as many business units are eager to..."
Sr Statistical Modeler,Risk Solutions,"King of Prussia, PA",,"Experience processing large data sets. Develop, code, and implement analyses and models using medical claims data, as well as additional related databases such..."
Data Engineer,SAINT-GOBAIN,"Malvern, PA 19355",,"Working with Architects, business stakeholders, Data Visualization Specialists and/or Data Scientists, determine semantic data access requirements, design..."
Data Statistician,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,"Philadelphia, PA",,"Strong technical data analytical skills. Apply data management and statistical methods and the use of data management, computational, and analytic software...."
"Sr. Director, Data Science",Comcast,"Philadelphia, PA 19103 (Belmont area)",,Work closely with data warehouse architects and software developers to generate seamless data science solutions....
Senior Data Scientist,Sidecar,"Philadelphia, PA 19102 (City Center West area)",,We’re seeking an experienced Senior Data Scientist who likes to get deep in the trenches – tackling the hardest data processing problems and delivering the most...
2018 Image Data Scientist Intern,Merck,"West Point, PA",,"Knowledge in mathematical algorithms in areas such as machine learning, deep learning, pattern recognition, data mining, image processing, signal processing,..."
ANALYTICAL R&D SCIENTIST II (2 positions),Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST II (2 positions). Key responsibilities are to support the senior analytical scientists for method development, method..."
ANALYTICAL R&D SCIENTIST I,Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST I. Key responsibilities are to support the senior analytical scientists for daily analytical activities, including..."
STATISTICAL PROGRAMMER,University of Pennsylvania,"Philadelphia, PA",,"The programmer will work collaboratively and interface with faculty, research scientists, and trainees forming a diverse imaging and data science team that will..."
Senior Research Scientist,AIG,"Philadelphia, PA",,"Develop vulnerability functions for structural and non-structural components subjected to wind based on engineering analysis, information from the scientific..."
Bioinformatics Scientist I,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,"Data Analysis (10%):. Provides efficient data management support including file transfers, data formatting and manipulation, and basic integration of data from..."
Sr. Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Mentors and train junior team members.- Improve products and services or solve problems using best practice and knowledge of internal and or external business...
Summer Internship for Research Department - Data Sourcing Analyst,Federal Reserve Bank of Philadelphia,"Philadelphia, PA",,Summer Internship for Research Department - Data Sourcing Analyst-253288. Clean up the archival source data that trace the labor markets experiences of...
STATISTICAL ANALYST A/B,University of Pennsylvania,"Philadelphia, PA",,Statistical Analyst B will use advanced statistical methods to analyze the data. The Statistical Analyst A will use standard SAS and/or STATA programming skills...
UX Designer,Monetate,"Conshohocken, PA 19428",,"You’ll work closely with product managers, data scientists, and developers to help validate user needs and translate broad concepts into elegant user..."
Buy Side Research Analyst,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"Overview As an Analyst on SIG’s Research team, you will partner with our senior analysts and traders to identify investment opportunities in the equity and..."
DATA SCIENTIST,University of Pennsylvania,"Philadelphia, PA",,"Experience with data science a plus. Master’s degree or PhD in Bioinformatics, Biostatistics, Computer Science, Data Science, Informatics or equivalent strongly..."
Scientist / Research Scientist - Chromatography / Mass Spectrometry Job,Arkema Americas,"King of Prussia, PA",,"Analyze and interpret data, and perform additional experiments as needed. Based at Arkema's Corporate Offices and R&D Center in King of Prussia, PA, the..."
Sr. Principal Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Shares data with team. Review and evaluate data scientist programs enterprise level to determine appropriate use of algorithm-driven products and solutions....
Associate Research Scientist - Biopharm - cGMP - qPCR,PPD,"King of Prussia, PA",,Associate Research Scientist - Biopharm - cGMP - qPCR - 143465. You would often need to review and compile results for data comparison....
Associate Research Scientist,Charles River Laboratories,"King of Prussia, PA 19406",,"An Associate Research Scientist will serve as a scientist in the conduct of assigned nonclinical research studies of basic complexity, to include study..."
Principal Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Define enterprise data strategy and data monetization processes through analysis of rich streams of unstructured data to find correlations between events and...
Principal Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Define enterprise data strategy and data monetization processes through analysis of rich streams of unstructured data to find correlations between events and...
Research Scientist Sr Stf,Lockheed Martin,"King of Prussia, PA 19406",,"Manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources combined with empirical research and finding answers to hard..."
Ultimate Hoops Statistician,Life Time Fitness,"Fort Washington, PA",,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....
