position,company,location,salary,summary
Junior Quantitative Researcher - Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)",,"Akuna’s Quantitative Trading and Research team is looking to add Junior Quant Researchers to a team of mathematicians, statisticians and technologists. This..."
Principal Quantitative Analyst- Credit Risk,Capital One,"Rolling Meadows, IL",,"Panel data analysis; Manage large datasets to collect, organize, analyze, interpret, and summarize large econometric data sets...."
Machine Learning Engineer,TransUnion,"Chicago, IL 60661 (Near West Side area)",,"Additional experience writing intermediate SQL queries for data extraction preferred. As a Consultant on our team, you will join a world class group of..."
Data Analyst,Photon,"Deerfield, IL",,"Work with data scientists to identify data needs, sources, and structure to support client issues. Pull ELK metrics data...."
Research Data Analyst,University of Chicago,"Chicago, IL",,"1 year of experience with conducting data analysis with analytic software (Stata, SPSS, or R); The Research Data Analyst will be responsible for analyzing..."
Junior Quantitative Developer - Data Analysis,Akuna Capital,"Chicago, IL 60603 (Loop area)",,Comfortable developing intuitive ways to manipulate and display data. Write and optimize data analysis code and calculation intensive models....
Computational Biologist,LanzaTech,"Skokie, IL 60077",,Design and implement data analysis pipelines. Employ statistical computing to extract hypothesis and conclusions from these integrated data....
Marketing Analyst,Groupon,"Chicago, IL 60654 (Loop area)",,"You will develop new data requirements, maintain automated dashboards and reports, analyze marketing performance data and will support the implementation of new..."
Data Analyst,BP,"Chicago, IL",,Data analysis to produce initial data cuts and define data extract patterns. This may include the creation of specialist interfaces and transformation routines...
Scientist IV,ABBOTT LABORATORIES,"Des Plaines, IL",,"Applies analytical techniques to research findings, integrates data, synthesizes results, and evaluates the quality of the data and draws inferences based on..."
Quantitative Researcher- Machine Learning,Akuna Capital,"Chicago, IL 60603 (Loop area)",,"Akuna’s Quantitative Trading and Research team is looking to add Quant Researchers to a team of mathematicians, statisticians and technologists. This team..."
Data Analytics Engineer Co-op Intern,Motorola Solutions,"Chicago, IL 60604 (Loop area)",,Data Engineering and Data Science skills and experience are required. This intern will work with data scientists and data engineers in the investigation and...
"Data Engineer - ACRE, New Ventures",McKinsey & Company,"Chicago, IL","Estimated salary: $96,000 - $122,000 a year","As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
Intern - Econometrics & Statistical Modeling,Federal Reserve Bank of Chicago,"Chicago, IL",,"Data collection, data mining and profiling. Intern - Econometrics & Statistical Modeling-252624...."
"Data Science Intern, Summer 2018",Groupon,"Chicago, IL 60654 (Loop area)",,"Modeling historical data to forecast demand, purchase propensity, merchant risk, etc. Marketing and CRM:...."
Research Scientist,Tate & Lyle,"Hoffman Estates, IL",,Manage data in central data management system. This position is for a Research Scientist in the Tate & Lyle ICD New Product Development team;...
Senior Data Scientist,Grainger,"Buffalo Grove, IL",,"Senior Data Scientist. Data Scientists are key contributors to the development of the overall customer, product, eCommerce and pricing plans...."
Research Associate,LanzaTech,"Skokie, IL 60077",,Design experiments in conjunction with scientists across functional groups and support of senior scientist in project;...
Statistical Analyst,IRI,"Chicago, IL",,Investigate and resolve client production data issues. Proficiency using a 4GL ( e.g. SAS) programming language to access and manipulate data....
Quantitative Analyst,RBC,"Chicago, IL",,"Partner with GAM’s Data Governance Office and Technology Group to take advantage of, and contribute meaningfully to, GAM’s investment data sets, tools and..."
Research Associate,LanzaTech,"Skokie, IL 60077",,Design experiments in conjunction with scientists across functional groups and support of senior scientist in project;...
Quantitative Developer- Data Analysis,Akuna Capital,"Chicago, IL 60603 (Loop area)",,Demonstrated experience working with diverse data sets across multiple domains. Develop core data infrastructure used daily by stakeholders throughout the firm....
Data Developer,Cars.com,"Chicago, IL",,"Solid understanding of relational data structures and data integration techniques. Collaborate with product owners, data scientists or other developers in a..."
Scientist IV,ABBOTT LABORATORIES,"Des Plaines, IL",,"Applies analytical techniques to research findings, integrates data, synthesizes results, and evaluates the quality of the data and draws inferences based on..."
Machine Learning Expert (Intelligent Algorithms),JP Morgan Chase,"Chicago, IL 60603 (Loop area)",,"5+ years researching and practicing Machine Learning tools, like TensorFlow, Big data, and big data toolset experience...."
Statistical Reports Analyst,Federal Reserve Bank of Chicago,"Chicago, IL",,Routinely run queries to ensure data accuracy and compatibility with report data. Evaluates data and interprets principles and regulations to resolve accuracy...
Data Science Research & Development - Internship,at Civis Analytics,"Chicago, IL",,Do you want to learn from data scientists and have an immediate impact on our work? Experience working with imperfect data....
"Senior Manager, RWI Data Scientist",Astellas Pharmaceuticals,"Northbrook, IL",,"The Senior Manager, RWI Data Scientist reports to the Group Leader RWI Data Science. Astellas is announcing a Senior Manager, RWI Data Scientist opportunity in..."
Associate Data Scientist,Infogix,"Naperville, IL 60563",,"You should be able to create, configure, and monitor predictive data models and perform quantitative analyses to create valuable insights from data...."
"Scientist, R&D- Product Development",Kraft Heinz Company,"Glenview, IL",,"This includes basic understanding of the business need, designing and executing tests, analyzing data, drawing conclusions, documenting, communicating results,..."
Computational Scientist,University of Chicago,"Chicago, IL",,"Fluency in data manipulation and analysis required. Experience with data visualization tools, such as D3 or GGplot preferred...."
DATA SCIENTIST,Dynpro,"Oak Brook, IL",,"Advanced Data Mining Techniques (Decision Trees, Classification Modelling. This person also must be versed in big data and analytics programming and have..."
"Associate, Data Scientist",KPMG,"Chicago, IL 60601 (Loop area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Associate Data Scientist,Infogix,"Naperville, IL 60563",,"You should be able to create, configure, and monitor predictive data models and perform quantitative analyses to create valuable insights from data...."
"Scientist, R&D-Packaging Development",Kraft Heinz Company,"Glenview, IL",,"This includes basic understanding of the business need, designing and executing tests, analyzing data, drawing conclusions, documenting, communicating results,..."
Research Analyst,Mintel,"Chicago, IL",,"Scoping, data pulls, data & creative analysis, and presentation development. Experience with digital data streams, such as clickstream, social media, SEO, or..."
