position,company,location,salary,summary
Data Science Intern,CrowdStrike,"El Segundo, CA",,"Data Scientists, helping to create predictive machine learning models that help detect and stop today’s most sophisticated threats...."
Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience with data engineering, data science or machine learning techniques. Serve as data analyst with an emphasis on providing data science, natural..."
Research Analyst,TechStyle Fashion Group,"El Segundo, CA",,Analyze quantitative and qualitative research data results including pulling data and proofing data tables accurately....
Machine Learning Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Participation in extracurricular activities related to data science (e.g. Desire to learn the vast and expanding field of data science and machine learning....
Data Engineer,Classy,"Los Angeles, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Data Scientist,Clicktripz,"Manhattan Beach, CA",,"Clicktripz is looking for a skilled Data Scientist. Excellent communication skills - while the Data Science group is currently located in Los Angeles, we are a..."
Senior Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA",,"Big Data and Fast Data (i.e.:. Build innovative data products (e.g., Artificial Intelligence, real-time services, such as personalization and commerce graphing..."
Researcher,Riot Games,"Los Angeles, CA",,"As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and..."
Data Engineer,Chef'd,"El Segundo, CA 90245",,"Provide our data scientists needed data through ad hoc queries and data wrangling. As a data engineer, you will collect and transform data by building streaming..."
Principal Machine Learning Engineer,Raytheon,"El Segundo, CA",,"The ideal candidate will be an engineer, mathematician or physicist with experience in machine learning, neural networks, data analysis and modeling and..."
Principal Data Scientist,GoGuardian,"El Segundo, CA",,"7 years+ experience as Data Scientist (data analysis, visualization, ML) with relevant work experience. Building tooling to support related efforts such as data..."
Spacecraft Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Analyze data from spacecraft. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....
Sr. Data Scientist,SpaceX,"Hawthorne, CA",,"Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data..."
"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",,Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....
Data Scientist,Chef'd,"El Segundo, CA 90245",,"Data concepts (streaming, data modeling, data structures) a plus. Chef’d is looking for a data scientist to join the growing data team at Chef'd HQ in El..."
Senior Data Scientist,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience with complex data manipulation including data parsing, data extraction, and filtering. Hands on experience with data exploration toolsets such as:...."
Business Analyst,NBI Resources,"El Segundo, CA",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Junior Research Analyst,Sinclair Broadcast Group,"Santa Monica, CA",,"Aid in analysis and storytelling using qualitative and quantitative data gathered using Nielsen, Ipsos, comScore, MRI and other data sources...."
Data Engineer,Retention Science,"Santa Monica, CA 90405",,We are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models...
Summer Internship - Data Science,Tala,"Santa Monica, CA",,"We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set...."
Data Scientist,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience in collecting data from/exposing data to various data sources and services (API, XML, JSON, etc…)...."
Data Scientist,Sony Pictures Entertainment Inc.,"Culver City, CA 90232",,Must have experience with big data and standardizing/ appending variables across disparate data sets. Managing the ingestion and cleansing of large data sets...
Senior Data Scientist,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA SCIENCE ENGINEER will work in the Data Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster Computing at DSC..."
"Associate, Data Scientist",KPMG,"Los Angeles, CA 90071",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Software Engineer & Data Science Specialist,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience in collecting data from/exposing data to various data sources and services (API, XML, JSON, etc…)...."
Research Assistant,Exponent,"Los Angeles, CA 90066",,Collecting and managing data. Supporting data collection efforts for a large user study conducted on behalf of a Fortune 50 company....
Data Scientist I,Jet Propulsion Laboratory,"Pasadena, CA",,"Experience with cloud infrastructures for data processing, data management, and data movement. The EAO’s Engineering Tools and Data Management Group currently..."
Data Scientist / Senior Data Scientist,OpenX,"Pasadena, CA",,Senior Data Scientist:. OpenX seeks a Data Scientist / Senior Data Scientist to be responsible for executing critical R&D projects on a petabyte-scale dataset....
Entry Level Estimating & Pricing Specialist,BOEING,"Seal Beach, CA 90740",,Skilled scientists and thinkers. At least one (1) year experience performing data analysis and/or reporting....
Research Scientist,USC,"Playa Vista, CA",,Analyzes research data and provides interpretations. The opening is for a Research Scientist (with opportunity to become Research Assistant Professor in...
Sr. Data Engineer,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA ENGINEER will be a member of the Data Science & Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster..."
Principal Data Scientist,System1,"Venice, CA",,System1 is an organization centered around data and data products. System1 is hiring a Principal Data Scientist!...
"Research Scientist, 2018 Doctoral Intern",The Aerospace Corporation,"El Segundo, CA 90245",,"Experience analyzing scientific and/or technical data in Matlab, IDL, and/or Python. The Aerospace Corporation is seeking a Research Scientist, 2018 Doctoral..."
Quantitative Analyst I,Bank of Hope,"Los Angeles, CA",,"Data transformation (if needed) and interactive variables. An ability to analyze and interpret large data sets, identify insights, and synthesize how these..."
Research Analyst,BGC Partners,"Los Angeles, CA",,"Overseeing data collection, data input/verification, and review. For addressing issues of data quality and will maintain a policy of data...."
Research Associate I,CEDARS-SINAI,"Los Angeles, CA",,"Participation in laboratory meetings, keeping laboratory notebooks, performing calculations, tabulating data, summarizing methods and results of related..."
Lead Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA",,"Leading and managing a team of data scientists. In your role as the Lead Data Scientist at BCG Digital Ventures, you will:...."
Sr. Assoc Machine Learning Modeler / Data Scientist,ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Sr Data Scientist,tronc,"Los Angeles, CA",,"We are looking for a data scientist to join the data science and engineering team at tronc, Inc. As a senior data scientist at tronc you will have the chance to..."
Research Analyst,"TrueCar, Inc.","Santa Monica, CA",,"Collect, manipulate and analyze large data sets from primary research, secondary data suppliers and internal sources...."
Senior NLP Data Scientist,Capital Group,"Los Angeles, CA 90071","Estimated salary: $129,000 - $165,000 a year","Based in Irvine or Los Angeles, as a Senior Data Scientist, you will be experienced with and passionate about using data to drive business strategy, tactical..."
