position,company,location,salary,summary
Data Analytics Intern - Advanced Degrees,AT&T,"Plano, TX",,As a data. Of our Data Analytics Internship Program you will work in our Chief Data Office. Data Analytics Technical Internship II....
Statistical Programmer - Junior,STATinMED Research,"Plano, TX 75093",,"Provides data management, programming, descriptive tables, and data displays. Prepares and maintains data analytical files...."
"Consultant, Data Science",Toyota,"Plano, TX","Estimated salary: $96,000 - $122,000 a year",Proficiency with SQL and data warehouses. The TFS Consumer Credit Risk Analytics team is looking for a passionate and highly-motivated Data Scientist with a...
Jr Research Analyst,"Gartner, Inc.","Irving, TX",,Ability to construct sub-hypotheses around a given research topic and test it by gathering data from multiple secondary sources. Junior Research Analyst....
Statistical Analyst,STATinMED Research,"Plano, TX 75093",,"Develop study statistical analysis plans, final reports, and PowerPoint slide decks by providing statistical analyses of study data and prepare tables and data..."
Statistical Analyst,University of Texas at Dallas,"Dallas, TX",,"Will support assessment activity, program evaluation planning and implementation, as well as data analysis, interpretation, and reporting...."
"Associate, Data Scientist",KPMG,"Dallas, TX","Estimated salary: $93,000 - $119,000 a year","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
"Principal Associate, Data Science",Capital One,"Plano, TX","Estimated salary: $114,000 - $145,000 a year","Principal Associate, Data Science. Bachelor’s Degree plus 2 years of experience in data analytics, or Master’s Degree plus 1 year of experience in data..."
Research Scientist - Cancer Research - Simmons Cancer Center,UT Southwestern Medical Center,"Dallas, TX 75390 (Northeast Dallas area)",,Reviews and analyzes resulting research data. Research Scientist - Cancer Research - Simmons Cancer Center....
Data Scientist,IBM,"Dallas, TX 75202 (City Center District area)","Estimated salary: $105,000 - $134,000 a year",The ideal candidate is a well-rounded Data Scientist who can communicate with confidence on a wide range of subjects....
"Data Scientist (Python, C, Hadoop, Tensorflow)",Workbridge Associates,"Farmers Branch, TX","$100,000 - $120,000 a year",An established analytics and logistic solutions platform in Chicago is looking to add a Data Scientist to their team....
Senior-Data Scientist,AT&T,"Plano, TX",,Data discovery around new data sources or new uses for existing data. The Data Scientist will be responsible for designing and implementing....
Data Scientist,AT&T,"Plano, TX",,Competitive Programmer or Competitive Data Scientist. Perform data studies and data discovery around new data sources or new uses for existing data sources....
Senior Data Scientist,Cognizant,"Plano, TX 75024",,"The Advanced Analytics & Data Science expert will assess information from a range of data stored in disparate systems, integrating data and providing data..."
Data Scientist,Impetus Technologies,"Dallas, TX","Estimated salary: $109,000 - $139,000 a year",The Data Scientist will be responsible for modelling and analysis of big data for mining of useful patterns used for business and other purposes....
Data Scientist,"Analytical Mechanics Associates, Inc.","Dallas, TX","Estimated salary: $101,000 - $128,000 a year","We are seeking several Data Scientists for our Dallas, TX location! The Data Scientist is responsible for building the OLAP cubes, designing dimensional models,..."
Data Scientist,Neiman Marcus,"Dallas, TX","Estimated salary: $94,000 - $119,000 a year",Neiman Marcus Group has an immediate opening for a Data Scientist reporting to a Senior Data Scientist of Advanced Analytics....
"2018 Technical Intern - Innov & Tech- Irving, TX",Northrop Grumman,"Irving, TX 75063",,This role will support senior data scientists in identifying and answering questions that help us deliver the best service....
"Consulting - Senior Manager, Data Scientist",Hitachi Consulting Corporation US,"Dallas, TX","Estimated salary: $98,000 - $124,000 a year","The Data Scientist designs, builds and maintains analytical models that mine large sets of structured, semi-structured and unstructured data while looking for..."
Research Scientist II,Abbott,"Plano, TX",,"We are seeking an experienced, high caliber Research Scientist II to support product development efforts by performing engineering tasks such as investigating,..."
Data Scientist,Beyondsoft Consulting,"Dallas, TX",,"NoSQL, Data Warehouse. Regression, time-series forecasting, clustering, decision trees, exploratory data analysis methodology, simulation, scenario analysis,..."
Principal Data Scientist,Capital One,"Plano, TX",,"Principal Data Scientist. Big, undefined problems and petabytes of data don't frighten you. You have experience prototyping and implementing data science..."
Environmental Scientist - Dallas,ATC Group Services,"Farmers Branch, TX 75234",,"Possess excellent report writing skills to include compilation of quantitative and qualitative data, comparison of findings to industrial standards and..."
PT - Research Analyst,Collin College,"McKinney, TX 75069",$19.92 an hour,"Errors or inconsistencies in data. Reporting data on students, instructional offerings,. Lists, uploading and downloading of data files,...."
Associate Data Scientist - Machine Learning,Walmart,"Plano, TX 75086",,"As one of the largest companies in the world, Walmart data is a playground for Data Scientists. 1 year experience with big data analytics...."
Market Research Analyst,McAfee,"Plano, TX 75024",,"You can be an architect, scientist, threat researcher, or a coder as long as you design things that matters...."
Data Scientist,Citi,"Irving, TX",,"Perform data analysis and creating data mappings, including source, target and transformations on OTC Derivatives products for Basel/Daily Risk Management...."
Data Scientist,"InfoSpace, Inc.","Irving, TX",,"Knowledge of data warehouse architectures and data models. Design and communicate process improvement to our suppliers of data, including our internal Data..."
MEDC Research Analyst,"City of McKinney, TX","McKinney, TX 75069","$48,345 - $71,068 a year","Data pipelines, data tables, data dashboards. Census Data, etc. Proactively researches regional economic performance factors, including employment and workforce..."
Business Analyst,NBI Resources,"Dallas, TX",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Research Associate - Children's Research Institute,UT Southwestern Medical Center,"Dallas, TX 75390 (Northeast Dallas area)",,Performs computer programming for accumulation and analysis of research data. This would be an ideal position for a dedicated scientist who wishes to function...
