position,company,location,salary,summary
"Business Analyst, Scientific Business Units",Merck,"West Point, PA",,"Understand of data flow relationships and experience with driving data stewardship initiatives. Experience with completing risk, regulatory, and data security..."
"Head, Statistical Programming & Analysis",Johnson & Johnson Family of Companies,"Horsham, PA",,"Establishing Janssen Data Analysis team as an industry. High-end programming solutions for data exploration, design evaluation etc...."
Data Science/ Analytics Curriculum Developer,Qlik,"Radnor, PA",,Beginning level data scientist. The Data Scientist Curriculum Developer for the Data Literacy Program will have the opportunity to build and expand Qlik’s new...
Senior Data Scientist - Center for Analytics and Insights,Vanguard,"Malvern, PA",,"If you’re interested in being considered for future Data Scientist openings within Vanguard, please submit your information to Vanguard’s Senior Data Scientist..."
Statistical Programmer,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
"Specialist, Regulatory Affairs (CMC Data Management)",Merck,"West Point, PA",,Support CMC scientists in collection of Health Registration Management information to support change assessments....
Data Scientist,QuintilesIMS,"Plymouth Meeting, PA",,"DATA SCIENTIST (PREDICTIVE ANALYTICS/ MACHINE LEARNING). Experience with patient-level, longitudinal data...."
Data Science Developer - Intermediate,Vanguard,"Malvern, PA",,"Knowledge of data engineering and experience with big data. Experience in designing, developing, integrating and running business, big data and/or data science..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Supervisor of Applied Data Science,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",,"This may include, but is not limited to, efforts that provide feature extraction from unstructured data, information query and retrieval, data annotation and..."
"Sr. Analyst, Data Science Integration",Comcast,"Philadelphia, PA 19103 (Belmont area)",,"The Senior Analyst, Data Science Integration will join a growing team team of data scientists, data engineers, and software developers to create, operationalize..."
Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience with large data sets and basic knowledge of SAS programming languages in both PC and mainframe environments is preferred....
"Associate, Data Scientist",KPMG,"Philadelphia, PA",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Senior Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
"Senior Scientist, Computational Chemistry",Johnson & Johnson Family of Companies,"Spring House, PA",,"Janssen Research & Development, a Johnson & Johnson Company is recruiting for a Senior Scientist, Computational Chemistry to be located Spring House,..."
"Senior Scientist, Computational Biology",Johnson & Johnson Family of Companies,"Spring House, PA",,A background in integrative data analysis approaches of high-dimensional biological data is preferred. Perform data analysis of a variety of omics platforms...
2018 Image Data Scientist Intern,Merck,"West Point, PA",,"Knowledge in mathematical algorithms in areas such as machine learning, deep learning, pattern recognition, data mining, image processing, signal processing,..."
ANALYTICAL R&D SCIENTIST II (2 positions),Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST II (2 positions). Key responsibilities are to support the senior analytical scientists for method development, method..."
Research Analyst I - Emerging Technologies,ECRI Institute,"Plymouth Meeting, PA 19462",,"Clinical data analysis; Perform basic statistical tests on study data, accept and appropriately implement peer review critiques;..."
"Scientist, Data Sciences",Johnson & Johnson Family of Companies,"Spring House, PA",,"There are many ways to explore and analyze data, and this drives the excitement and passion of data scientists at Janssen as many business units are eager to..."
ANALYTICAL R&D SCIENTIST II (2 positions),Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST II (2 positions). Key responsibilities are to support the senior analytical scientists for method development, method..."
ANALYTICAL R&D SCIENTIST I,Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST I. Key responsibilities are to support the senior analytical scientists for daily analytical activities, including..."
"Scientist, Clinical Development & Pharmaceutical","DrugScan, Inc","Horsham, PA 19044",,Documentation of quality control data. Other data as prescribed by the SOP. The Scientists will also assist in clinical method development activities....
QC Analyst,NMS Labs,"Willow Grove, PA",,"Ability to read and interpret technical procedures and data. Ability to define problems, collect data, establish facts, and draw valid conclusions...."
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
Clinical Informatics Analyst,University of Pennsylvania Health System,"Philadelphia, PA",,Develop and maintain broad spectrum of analytic capabilities including data scientists. Work with IS across the system to design and develop needed data...
Data Scientist,CSL Behring,"King of Prussia, PA",,The Data Scientist will accomplish this by utilizing processes and systems to extract knowledge or insights from either structure or unstructured data....
Research & Data Analyst,Community College of Philadelphia,"Philadelphia, PA",,Process and interpret data from specified College data collection systems including predictive analytics. Experience with research statistical techniques and...
Data Scientist (Predictive Analytics/Machine Learning),QuintilesIMS,"Plymouth Meeting, PA",,"Experience using big data technology. Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry...."
Research Analyst,Independence Blue Cross,"Philadelphia, PA",,"The Research Analyst is responsible for the following: Conducts research evaluation on medical devices, drugs, biologicals and procedures in order to evaluate..."
Bioinformatics Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,Identify opportunities for improvement of analytical pipelines and data management tools that can enhance data analysis strategies....
Data Engineer,Sidecar,"Philadelphia, PA 19107 (City Center East area)",,Support our data scientists by scaling EMR jobs. We’re looking for a Data Engineer to join our rapidly growing Data Engineering team....
