position,company,location,salary,summary
Data Science Researcher,National Renewable Energy Laboratory,"Golden, CO",,"Design, implement, and document data workflows. Integrating multiple data sources, models, and software tools with scientific and engineering workflows for..."
Machine Learning Data Analyst,Cognizant,"Denver, CO",,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments...."
Postdoctoral Researcher – Data Science and Machine Learning,National Renewable Energy Laboratory,"Golden, CO",,"Experience monitoring, mining, synthesizing from and analyzing multiple sources of digital and/or event-based data, such as network traffic and IoT data, is a..."
Postdoctoral: Vehicle Data Analysis Engineer,National Renewable Energy Laboratory,"Golden, CO",,"Solid engineering and technical capabilities in experimental design, on-board data acquisition, data mining and data analysis. Vehicle Data Analysis:...."
Sr. Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Lead Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Environmental Technician/Entry Level Scientist,GHD,"Golden, CO",,"Environmental Technician/Entry Level Scientist - GOL00101. Perform sampling, site inspections and other data collection...."
Quantitative Analyst - IHS Command Center,DISH Network,"Littleton, CO",,"Collect, report on, model, analyze, and present large amounts of data with meticulous attention to detail. Conduct long-term and short-term data analysis with a..."
Research Analyst,Denver Investments,"Denver, CO",,"Perform data collection, industry research, analysis, and report conclusions to aid in the investment decision-making process...."
RESEARCH ANALYST,Kroenke Sports & Entertainment,"Denver, CO",,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....
Senior Data Scientist,Layer3 TV,"Denver, CO",,Layer3 TV is seeking a data scientist with exceptional technical aptitude and the ability to draw insights from data....
"Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Junior Data Scientist/Software Engineer,CCRi,"Aurora, CO",,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills. Data Processing and Analytics:...."
