position,company,location,salary,summary
Characterization & Development (C&D) Technologist,Chevron,"Houston, TX",,"Load new well data to Petra, GEOLOG and other applications. Provide team with well and seismic data management support for various projects as needed...."
Data Science Business Analyst,HP,"Houston, TX",,"Key Responsibilities Work with subject matter experts, data scientists, and data engineering to analyze data and drive insights Lead initiatives and drive..."
Data Engineer,National Oilwell Varco,"Houston, TX",,Transforming the data as per the requirements from the Data scientists. Work on moving data from different data systems and historians....
Faculty in Data Science,Rice University,"Houston, TX",,"Faculty in Data Science. (1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2)..."
Data Scientist,JP Morgan Chase,"Houston, TX 77002 (Downtown area)",,"In the role of Data Scientist, you will be responsible for:. Data Visualizations platforms. Plays a dual role of a data scientist and application developer...."
Statistical Analyst III,Harris County,"Houston, TX","$4,599 a month",Develops statistical data and reports to assist in the examination of divisional effectiveness and overall performance to increase unit command/management...
Quantitative Research Analyst,Invesco,"Houston, TX",,Experience in working with large data to perform statistical and quantitative analysis. Design and maintain procedures and tools that make data management and...
Postdoctoral Fellow I,The University of Texas Medical Branch,"Galveston, TX","$47,484 a year",Skills to interpret the data and presentation are required. Or Doctoral equivalent in any field and one (1) year of completed Postdoctoral Fellow research...
Director of Analytics and Machine Learning strategy,HP,"Houston, TX",,"Identify relevant data sources (from data warehouses, CRM, ERP, web logs, business intelligence, partner data sources, research reports, surveys, and interviews..."
Data Scientist,Burgeon IT Services,"Houston, TX",,A demonstrated ability to solve challenging business problems using a data science approach by developing novel and/or adapting existing computational methods....
Data Scientist,Houston Methodist,"Houston, TX",,The Data Scientist should leverage the information in HMH enterprise data warehouse and EPIC electronic medical record as well as adhere to data definition...
Senior Data Scientist,Waste Management,"Houston, TX",,Senior Data Scientist - (17003366). Applied experience working with large-scale data sets in an advanced data mining analytic role....
Statistician Intermediate,Rice University,"Houston, TX",,"Causal inference as it relates to regression modeling with observational data. Experience in data manipulation and analysis using SAS , R, Python, and/or STATA..."
Statistician,Occidental Petroleum,"Houston, TX",,"Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes...."
Statistician,alliantgroup,"Houston, TX",,Analyzes and interprets data from various sources. The Statistician will analyze and interpret data from various sources and provide expert opinions....
Sr. Data Engineer,Invesco,"Houston, TX",,"Serve as integrator between data architects, data scientists and other data consumers. Develop data set processes for data discovery, modeling, mining, and..."
Research Analyst,CBRE,"Houston, TX",,Ability to handle and manipulate large amounts of data. Reviews and evaluates data results collected by themselves and others within the research team to ensure...
Computational Sciences - Optimization Specialist,Exxon Mobil,"Houston, TX",,Research efforts may require analyzing complex heterogeneous spatial and temporal business data sets; The successful candidate will join a multi-disciplinary...
Enterprise Architect – AI/ML/Data Science,BP,"Houston, TX",,Understanding of Data Science techniques and experience of enabling Data Scientists through technology. Knowledge of datalake and data platform technologies and...
"Research Analyst I - Part time, Days",Memorial Hermann,"Houston, TX",,"Validates and analyzes environmental data, including competitor analysis and benchmarking. Refreshes internal data resources and tracks key statistical..."
Temporary Research Analyst ( 6 Month contract),"Berry, Appleman & Leiden","Houston, TX",,Overview Berry Appleman and Leiden's (BAL's) dedicated professionals share core values that support our mission to be the world’s most trusted resource for...
Business Systems Analysis/Data Steward,AIG,"Houston, TX",,"Foundational knowledge of Data Governance, Data Stewardship, and Data Quality best practices. The Data Steward will work closely with Business Data Owners, Data..."
Post-Doctoral Fellow,The University of Texas Medical Branch,"Galveston, TX","$47,484 - $50,316 a year",Analyzes and interprets data. Assures competence as a fully trained scientist in a specific discipline or area of expertise. The applicant will have a Ph.D....
Business Analyst II - Research Technology Development,Houston Methodist,"Houston, TX",,BI / Business Intelligence / Data Warehousing Knowledge:. Provides user education of business intelligence applications and helps ensure access to data with the...
Staff Scientist,Baylor College of Medicine,"Houston, TX","$60,000 a year","In addition, the Staff Scientist will work closely with other team members to identify and overcome research challenges...."
"Research Analyst, Lithium",IHS Markit,"Houston, TX",,Maintain lithium and key end-use application capacity data in the databases. About IHS Markit....
Research Analyst BAL071,"Berry, Appleman & Leiden","Houston, TX",,Overview Berry Appleman and Leiden's (BAL's) dedicated professionals share core values that support our mission to be the world’s most trusted resource for...
Research and Market Analyst,ENGIE,"Houston, TX",,"ENGIE North America Inc. ENGIE is a global energy company, a leading provider of electricity, natural gas, and energy services. With 154,950 employees in..."
Market Research Analyst (Digital Marketing Specialist),Blinds.com,"Houston, TX",,"Devise and evaluate methods and procedures for collecting data, own several digital advertising channels, and use technical, marketing and analytical skills to..."
Senior Staff Scientist,Baylor College of Medicine,"Houston, TX",,"Matlab ImageJ Osirix A high level programming language Biological Assays, Quantitative Analysis, Qualitative Analysis, Data Analysis, Technical Writing..."
Research Scientist - IMM,The University of Texas Health Science Center at H...,"Houston, TX",,The research scientist is also expected to participate in grant report writing and manuscript preparation. Evaluates and interprets data and provides results to...
Research Associate I in Electrophysiology Research Lab,Texas Heart Institute,"Houston, TX",,"Document all procedural steps and data in the approved scientific manner, and complete calculations and graphic/tabulation of data in a timely fashion...."
Data Scientist Analyst,Waste Management,"Houston, TX","Estimated salary: $102,000 - $130,000 a year",Data Scientist Analyst - (17006368). Applied experience working with large-scale data sets in an advanced data mining analytic role....
Campus Hiring Data Scientist I,Pros.,"Houston, TX",,"Supporting the Data Scientist is a high-performance team of professionals from Data Science, Engineering, Marketing, Product Management, and the Office of the..."
Investment Analyst Credit Research - Infrastructure,AIG,"Houston, TX",,"Functional Area: IN - Investment Estimated Travel Percentage (%): Relocation Provided: AIG Asset Management (U.S.), LLC Position Summary AIG Investments’..."
Hybrid Research Assistant,"RiceTec, Inc.","Houston, TX",,"Assist in operations related to yield trials including seed preparation, planting, field plot management, data collection, harvesting, and seed processing...."
Ultimate Hoops Statistician,Life Time Fitness,"Houston, TX",,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....
Science Consultant,alliantgroup,"Houston, TX",,"Assist in analysis and manipulation of client data (both financial and industry-specific). As a Science Consultant, you will work in a team environment..."
Credit Risk Research Analyst,BBVA Compass,"Houston, TX",,Integrate new data sources and solutions into credit risk strategies. Minimum 2+ years’ experience developing data driven strategies for a Retail Bank....
Lead Data Scientist,Invesco,"Houston, TX","Estimated salary: $101,000 - $128,000 a year","Lead Data Scientist, Disruptive Technologies Job Summary. Perform explanatory data analysis, generate and test working hypotheses, prepare and analyze..."
Digital Marketing Analyst,Blinds.com,"Houston, TX",,"Develop automated reporting that supports transparency and democratization of data. Leading through influence, you will creatively solve problems based on data...."
"Quantitative Analysis, Commodities Full Time Analyst (North America)",Citi,"Houston, TX",,"You're the brains behind our work. You’re ready to bring your knowledge from the classroom to the boardroom, and Citi wants to help you get there. Whether it..."
Simulation Scientist,National Oilwell Varco,"Houston, TX",,Have used experimental data for validation and verification of numerical results. NOV is seeking a qualified Simulation Scientist candidate for its Corporate...
Orbital Debris (OD) Radar Scientist,Jacobs,"Houston, TX",,"The Orbital Debris (OD) Radar Scientist will:. Experience analyzing and processing in-situ, optical, or radar data...."
Scientist,Houston Methodist,"Houston, TX",,"Analyzes data and interprets data. Demonstrates the ability to use computer technology to review and analyze data, plan and communicate...."
