position,company,location,salary,summary
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
Research Data Analyst 1,Stanford University,"Stanford, CA 94305",,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause..."
"Data Analyst (Fixed Term, 18 months)",Stanford University,"Stanford, CA 94305",,"Clean large datasets of collected data, or publically available data in preparation for data analysis. The incumbent will work closely with senior statisticians..."
Junior Data Scientist,SAP,"Palo Alto, CA",,"As a Data Scientist , you will work in a team of experience experienced researchers and data scientists taking on challenges posed by the SAP customers and..."
Machine Learning Engineer,AISense,"Los Altos, CA",,AISense is adding new life to conversations of all types. Our Ambient Voice Intelligence™ technology processes verbal conversations to derive usable text and...
Data Science Engineer,Salesforce,"Palo Alto, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
Senior Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Proficient with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning /..."
"Intern, Innovation Center Silicon Valley - Engineers & Data Scientists",SAP,"Palo Alto, CA",,"Experience with machine learning & artificial intelligence (computer vision, NLP, data science, etc.). The SAP Innovation Center Silicon Valley is looking for..."
MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER,"GRAIL, Inc.","Menlo Park, CA",,"Experience with next generation sequencing data analysis (DNA, RNA, or epigenetic analysis.). Largely without exception these breakthroughs have been enabled by..."
Lead Data Scientist - Jemstep,Invesco,"Los Altos, CA",,Are you a seasoned data expert well-versed in multiple data technologies? They must be hands-on data experts with the ability to lead initiatives across an...
Lead Data Scientist - Jemstep,Invesco,"Los Altos, CA",,Are you a seasoned data expert well-versed in multiple data technologies? They must be hands-on data experts with the ability to lead initiatives across an...
"2018 Summer Data Science Intern - Mountain View, CA",Atlassian bright blue button,"Mountain View, CA",,You will work closely with our Data Scientists to extract insights from our massive datasets to identify opportunities to develop new features to power the...
Product Scientist - R&D and Machine Learning,"23andMe, Inc.","Mountain View, CA 94041",,"Be a significant contributor on longer term R&D projects to develop, validate, and translate research data into novel consumer products...."
