position,company,location,salary,summary
"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",,Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....
Data Engineer,Classy,"Los Angeles, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Entry Level Estimating & Pricing Specialist,BOEING,"Seal Beach, CA 90740",,Skilled scientists and thinkers. At least one (1) year experience performing data analysis and/or reporting....
Researcher,Riot Games,"Los Angeles, CA",,"As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and..."
Junior Research Analyst,Sinclair Broadcast Group,"Santa Monica, CA",,"Aid in analysis and storytelling using qualitative and quantitative data gathered using Nielsen, Ipsos, comScore, MRI and other data sources...."
Data Scientist I,Jet Propulsion Laboratory,"Pasadena, CA",,"Experience with cloud infrastructures for data processing, data management, and data movement. The EAO’s Engineering Tools and Data Management Group currently..."
Summer Internship - Data Science,Tala,"Santa Monica, CA",,"We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set...."
Data Scientist / Senior Data Scientist,OpenX,"Pasadena, CA",,Senior Data Scientist:. OpenX seeks a Data Scientist / Senior Data Scientist to be responsible for executing critical R&D projects on a petabyte-scale dataset....
Data Science Intern,CrowdStrike,"El Segundo, CA",,"Data Scientists, helping to create predictive machine learning models that help detect and stop today’s most sophisticated threats...."
"Associate, Data Scientist",KPMG,"Los Angeles, CA 90071",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Research Analyst,"TrueCar, Inc.","Santa Monica, CA",,"Collect, manipulate and analyze large data sets from primary research, secondary data suppliers and internal sources...."
Sr. Data Scientist,SpaceX,"Hawthorne, CA",,"Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data..."
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
