position,company,location,salary,summary
Statistical Data Analyst,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
Associate Research Scientist,Bristol-Myers Squibb,"New Brunswick, NJ",,"The position involves a mixture of laboratory science and experimentation, modeling, data analysis, process documentation, and technical support during scale-up..."
Data Scientist,Intellect Design Arena,"Piscataway, NJ",,"Process, cleanse and verify integrity of data for the data analysis. Analyze, identify, and assess data attributes using R, Python, SQL, Hive, Tableau & D3.js...."
Clinical Data Associate III,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",,"Assisting in the developing the data transfer specifications, the data mapping specifications, the data quality review plan and the data validation..."
Research Internship,Lockheed Martin,"Arlington, NJ",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Jr Research Analyst,"Gartner, Inc.","New York, NY",,"Draw thoughtful conclusions from a cacophony of data, both from RB members and from secondary research. Junior Research Analyst...."
Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY",,"Two Sigma combines massive amounts of data, world-class computing power, and statistical expertise to develop sophisticated trading models...."
Data Clinic - Internship (Data Science for Good),"Two Sigma Investments, LLC.","New York, NY",,"Founded in 2014, the Two Sigma Data Clinic harnesses the power of data and technology to help nonprofits and charitable organizations better realize their..."
Junior Data Scientist M/F - VIE New York,SG CIB,"New York, NY",,"As Junior Data Scientist, you will:. The position of Junior Data Scientist is located in the Human Resources department...."
Senior Statistician,Bed Bath & Beyond,"Union, NJ 07083",,Experience with various data types (e.g. Answer key business questions by using analytical & statistical techniques on data....
eCommerce Data Science & Analytics Associate,PepsiCo,"New York, NY",,"Data Science, Data Engineer, Big Data, Data Insights & Analytics work environments Preferred. Accordingly, we are seeking a Data Scientist to manage data entry..."
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"Somerville, NJ",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
Machine Learning Engineer,Stackyork,"New York, NY",,Partner with Product teams and Data Scientists to complete business deep-dives. Build and maintain data pipelines for use in Machine Learning & Data mining....
Machine Learning Engineer,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",,"Engineers and Data Scientists. Engineering and data science; Mathematics, Operations Research, Data Science). Expertise in application, data and infrastructure..."
Sr Data Scientist - 47182BR,Aetna,"New York, NY 10016 (Gramercy area)",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
Senior Statistician,Bed Bath & Beyond,"Union, NJ 07083",,Experience with various data types (e.g. Answer key business questions by using analytical & statistical techniques on data....
Postdoctoral Research Fellow – Biologics Process Development,Merck,"Kenilworth, NJ",,"Strong skills in critical thinking, laboratory experimentation and data analysis. Experience with interpreting data generated from HPLC, NMR, mass spectroscopy,..."
Associate Data Scientist,ITL USA,"New York, NY",,Infosys – Analytics – Associate - Data Scientist – US. You will effectively communicate data-derived insights to non-technical audiences appropriately and...
Quantitative Researcher - Internship,"Two Sigma Investments, LLC.","New York, NY",,"Developing trading strategies, from idea generation and data collection to analysis and model creation;..."
Associate Data Scientist,Spirent Communications,"Holmdel, NJ 07733",,Big Data Technologies and Data Analysis. This position is for an entry level data scientist with experience working with and analyzing large data sets....
Associate Data Scientist,Spirent Communications,"Holmdel, NJ 07733",,Big Data Technologies and Data Analysis. This position is for an entry level data scientist with experience working with and analyzing large data sets....
Statistical Machine Learning Scientist,AIG,"New York, NY",,"Practical experience in preparing data for Machine Learning (e.g., using SQL and/or NoSQL technologies). For senior roles, lead, inspire and mentor junior..."
Machine Learning,Twitter,"New York, NY",,"Cortex is a team of software engineers, data scientists, and research scientists dedicated to developing state-of-the-art machine learning capabilities to..."
Statistician/Consult Predictive Analytics,Dun & Bradstreet,"Short Hills, NJ",,Drive timely retrieval of risk analytics data from existing systems to create algorithms that meet business needs....
Project Scientist,Weston Solutions,"Edison, NJ",,"Given results desired, determines best method of data gathering, data base management, and analysis of data to achieve goals...."
Data Analyst,NYU Langone Health,"New York, NY",,"Conduct data cleaning, data management, data restructuring, and data quality management. Provides expertise for data collection design, data organization, data..."
Research Scientist II,Amneal Pharmaceuticals,"Piscataway, NJ",,Support DPI and MDI formulation and process through data generation with in Amneal laboratories. The Research Scientist II will provide scientific and technical...
"Senior Scientist, Quantitative Pharmacology and Pharmacometrics",Merck,"Rahway, NJ",,"Data management and analysis. Senior Scientists work in collaborative teams with more experienced scientists, and are expected to have or develop expertise in..."
Data Science Engineer,Neuberger Berman,"New York, NY",,"Work closely with data scientists to understand the data analysis strategies, and construct efficient and scalable algorithms to implement those strategies...."
Data Science Summer Intern 2018,Grubhub,"New York, NY",,Desire to learn and grow as a data scientist. Eagerness to know the why’s and how’s of algorithms and keen interest in using them on relevant data sets and...
Data Science Intern,ZocDoc,"New York, NY 10012 (Little Italy area)",,"Courtney , Data Science. Learn data engineering best practices, like how to write clean, readable SQL and Spark data flows, interact with various data storage..."
Quantitative Analyst,RBC,"New York, NY",,"PURPOSE This is a front office quant role with the focus on developing and implementing new, and maintaining and/or enhancing existing swap pricing models and..."
Data Scientist,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",,"In the role of Data Scientist, you will be responsible for:. Data Visualizations platforms. Plays a dual role of a data scientist and application developer...."
Data Science Specialist,Prudential,"Newark, NJ",,"Prudential Financial is looking for a high-energy Data Scientist to join our diverse team of Engineers, Economists, Computer Scientists, Mathematicians,..."
"Senior Scientist, Quantitative Pharmacology and Pharmacometrics",Merck,"Rahway, NJ",,"Data management and analysis. Senior Scientists work in collaborative teams with more experienced scientists, and are expected to have or develop expertise in..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
Research Scientist II,Amneal Pharmaceuticals,"Piscataway, NJ",,Support DPI and MDI formulation and process through data generation with in Amneal laboratories. The Research Scientist II will provide scientific and technical...
Junior Data Scientist M/F - New York,SG CIB,"New York, NY",,"As Junior Data Scientist, you will:. The position of Junior Data Scientist is located in the Human Resources department...."
Clinical Data Analyst,NYU Langone Health,"New York, NY",,"Cardiac Markers Data monitoring:. Data processing and elementary statistics. The primary focus for this role is to monitor clinical data, review and query data..."
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Junior Data Scientist M/F - New York,SG CIB,"New York, NY",,"As Junior Data Scientist, you will:. The position of Junior Data Scientist is located in the Human Resources department...."
Statistical Programmer,Wuxi AppTec,"Plainsboro, NJ",,They also liaise with other departments to properly implement data models (e.g. Demonstrates a good understanding of tabulation and analysis data structure...
Clinical Data Analyst,NYU Langone Health,"New York, NY",,"Cardiac Markers Data monitoring:. Data processing and elementary statistics. The primary focus for this role is to monitor clinical data, review and query data..."
Quantitative Analyst,Balyasny,"New York, NY",,"Experience working with intraday financial data, building predictive models. As a Quantitative Researcher you will be responsible for the following:...."
Quantitative Analyst,UBS,"New York, NY",,"Are you interested in a career in financial modelling? Do you have a background in mathematics, science or engineering? We’re looking for someone like that..."
Quantitative Analyst,TransReach,"New York, NY",,"Must enjoy working with complex data, and compiling new datasets. Quantitative Analyst/US Equity and Quant Strategy-VP/DIR...."
Quantitative Analyst,Voya Financial,"New York, NY",,Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution. Proactively uncover and resolve data and calculation issues....
Quantitative Analyst,"Two Sigma Investments, LLC.","New York, NY",,Experience working with large data sets. We are seeking world-class researchers and engineers who are obsessive about data analysis and the pursuit of its...
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
"People Research Scientist, People Analytics",Facebook,"New York, NY",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
Machine Learning Software Engineer,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",,"Advanced knowledge of application, data and infrastructure architecture disciplines. In 14 technology hubs worldwide, our team of 40,000+ technologists design,..."
Associate Principal Scientist,Merck,"Kenilworth, NJ",,Present data at team and group meetings. Guide a team of scientists to ensure flawless execution of multiple programs in parallel....
Quantitative Research Analyst,Pacific Investment Management Company LLC,"New York, NY",,Analytics Platform and Delivery team is seeking a quantitative developer to develop a distributed computing platform to deliver analytics to various users and...
Entry-level Environmental Scientist,Wood,"Somerset, NJ",,"Responsibilities for this position include assisting with all aspects of environmental and natural resource investigations, including but not limited to data..."
HBO Sr. Data Scientist Programming Analytics,HBO,"New York, NY",,"As the Senior Programming Applied Scientist within Analytics, this individual will be responsible for the design and execution of analyses that inform content..."
Data Research Analyst,InventiveSMi,"Princeton, NJ",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
Senior Quantitative Researcher in Education - REMOTE,Pearson,"Hoboken, NJ",,"+ Proficiency in data processing, data mining, and data visualization. + Build data expertise and own data quality for allocated areas of efficacy data...."
Data Scientist,Wipro Limited,"East Brunswick, NJ",,"Skills - Hands On With Statistical Modeling, Data Prep, Soft Skills, Visualization Experience, Domain, Process Experience, R, Python, SAS, SQL, Data Scientist –..."
Lead Statistician,"Frontage Laboratories, LLC","Somerset, NJ",,"Have in depth knowledge of FDA, EMEA, and ICH guidelines and regulations and in industry data standards, e.g., CDISC SDTM and ADAM...."
Data Visualization Engineer - Machine Learning focus,Capital One,"New York, NY",,Data Visualization Engineer - Machine Learning focus. This entails immersing yourself in and exploring the data....
Associate Professional Specialist (Statistician/Quantitative Analyst),Princeton University,"Princeton, NJ",,"Familiarity with big data analysis, computational statistics, data mining, and/or econometrics is highly desirable...."
Data Scientist/Data Visualization/Web Developer - Multi Asset,Lazard Ltd.,"New York, NY",,"Work together with data scientists to develop new data, analytics, and visualizations. Lazard is seeking a Data Visualization Specialist/Web Developer to join..."
"Citi Research - US Equity Research, Data Analyst, VP/Director, NYC",Citi,"New York, NY",,At least 5 years of relevant data science/analytics experience; Originate ideas for data projects by coordinating with the Health Care team....
Quantitative Risk Analyst,AXA,"Jersey City, NJ",,"The mission of the Hedging team is to enable the company to deliver its promises to our policyholders, by mitigating the risks that arise from the economic..."
Bell Labs -Data Analytics and Machine Learning,NOKIA,"Murray Hill, NJ",,"Multiple positions are available for full time Research Scientists in the Data Science Research group in Nokia Bell Labs Research, Murray Hill, NJ...."
Associate Principal Scientist,Merck,"Kenilworth, NJ",,Present data at team and group meetings. Guide a team of scientists to ensure flawless execution of multiple programs in parallel....
Entrprse Data Gov Analyst,NYU Langone Health,"New York, NY",,Supports the data governance team in conducting moderately complex data analysis to help drive data quality improvement initiatives....
Data Analyst - Cardiology,Columbia University,"New York, NY",,"The successful candidate will play an integral role in cardiovascular precision medicine team science focused on the clinical data, electronic health record..."
Group Head Clinical Data Sciences Team (H/F),Sanofi US,"Bridgewater, NJ",,"Global Medical Affairs & Data Sciences team , The Head of the Clinical Data Sciences Team leads a team of clinical data scientists (France and US) working in..."
Statistician - TS/MS,Eli Lilly,"Branchburg, NJ",,"Interact with development scientists and molecule stewards, within and across Lilly sites. Develop statistical models and data analysis/visualization tools as..."
"Assoc, Sensory Scientist",Revlon,"Edison, NJ",,Set up and maintain panelist data collection system for each study. Assists in identifying and evaluating new products and consumer/sensory claims programs....
Pharmacovigilance scientist,Global Pharmatek,"New Brunswick, NJ 08901",,"Pharmacovigilance scientist ( PV Scientist). Entry includes medical history, laboratory data, and concomitant and co-suspect drug products...."
"Scientist, Claims",Revlon,"Edison, NJ",,Analyzes clinical and / or sensory data to support claims and innovation. Identifies and evaluates new products for strong clinical claims programs....
Associate Scientist-Instrumental Evaluation,L'Oreal USA,"Clark, NJ 07066",,"Experience in processing data and statistical analysis is required; Analyzes instrumental test data and prepares reports, memos, and presentations to clearly..."
Bell Labs -Data Analytics and Machine Learning,NOKIA,"Murray Hill, NJ",,"Multiple positions are available for full time Research Scientists in the Data Science Research group in Nokia Bell Labs Research, Murray Hill, NJ...."
Statistician,Global Pharmatek,"Jersey City, NJ 07302 (Downtown area)",,"Title: Statistician Duration: 06 Months Location: Durham, NC 27709 Job Description: Provide statistical support and conduct statistical analysis for Seed ..."
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
Machine Learning Engineer,Temboo,"New York, NY 10013 (Tribeca area)",,"Taking responsibility for maintaining our data collection, storage and processing infrastructure. Strong computer science fundamentals (notably algorithms and..."
Machine Learning Engineer,2U,"New York, NY",,Work with Data Scientists to import necessary data for modeling and coordinate data extraction across different database architectures....
SAS Programmer/Statistical Analyst,Insmed Incorporated,"Bridgewater, NJ 08807",,This position will be responsible for SAS programming and statistical analytics for clinical study and other data....
Data Scientist,Getty Images,"New York, NY",,The data scientist will help leadership understand how customers find content and interact with it. Demonstrated experience solving business problems with...
Data Scientist,Munich Re America,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Data Scientist,Hartford Steam Boiler,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Research Coordinator - Data Analyst,NYU Langone Health,"New York, NY",,"Coordination of all aspects of study design (such as conducting literature reviews, monitoring data collection, data entry , performance of statistical analyses..."
Decision Scientist,"Avis Budget Group, Inc.","Parsippany, NJ",,Translating data insights into actions and recommendations that will drive better revenue and fleet decisions. The Decision Scientist supports Revenue and Fleet...
Software Architect - Machine Learning,Siemens AG,"Princeton, NJ",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 200090 Primary Location: United States-New Jersey-Princeton Assignment...
Data Scientist / Sr. Data Scientist,EXL,"Jersey City, NJ",,"Data Scientist / Sr. We are looking for Data Scientists who can develop state of the art, scalable, and self-learning systems for enterprises...."
Data Scientist,Honeywell,"Morris Plains, NJ 07950",,Data science methods promotion. Understanding of best-in-class model and data configuration and development processes....
Fellowship - Real World Data Analytics - HEOR Job,Novo Nordisk,"Plainsboro, NJ 08536",,The Fellow works closely with MDA Data Scientists as a member of the study team on select research project....
"Assessment Science Partner, People Analytics",Facebook,"New York, NY",,Demonstrate judgment and discretion when dealing with highly sensitive people data. Experience managing and analyzing structured and unstructured data using...
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
Statistical Programmer,The Rockefeller University,"New York, NY",,"Data will include clinical research data and Hospital/ CCTS operational data. Will also help collect information from a variety of resources, design databases,..."
Business Intelligence – Data Analyst,Conduent,"Florham Park, NJ",,"To make this possible, they are looking for data analysts / data scientists to help answer questions across a broad range of business functions and industry..."
Research Analyst,Outdoor Sportsman Group,"New York, NY",,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....
