position,company,location,salary,summary
Research Analyst I (Part-Time)- The Herbert Wertheim College of Medicine,Florida International University,"Miami, FL",,Assists with data coding and the acquisition of new data sets. Coordinates data analysis management activities for the research scholarship course and...
Research Associate 1,University of Miami,"Coral Gables, FL","$32,900 - $59,100 a year","Record and evaluate data in accordance with methods requested. Animal Husbandry, maintenance of animal colony, breeding, weaning, tail clipping, genotyping..."
Research Analyst / SAS Programmer,University of Miami,"Coral Gables, FL","$32,900 - $59,100 a year",Conduct routine data checks to ensure data integrity and completeness. Develop and implement strategies for real-time data QC....
Research Analyst,University of Miami,"Coral Gables, FL","$32,900 - $59,100 a year",Ability to analyze data and formulate conclusions. The University of Miami is considered among the top tier institutions of higher education in the U.S....
"Adjunct/Lecturer, Dept of Math and Statistical Sciences",Florida International University,"Miami, FL",,The Department of Math and Statistical Sciences at FIU is seeking adjunct instructors to teach courses offered within the department curriculum. Minimum...
Part-Time Grant Research Analyst,Miami Dade College,"Miami, FL 33132 (Downtown area)",,Researches and circulates grant program priorities and relevant data. The Part-time Grant Research Analyst provides support to the Director and the Resource...
Lead Research Analyst - Pre-Award,University of Miami,"Coral Gables, FL","$77,600 - $139,600 a year","Collect information for proposals which includes follow up data on trainees, project write-ups, biographical sketches, resources, etc...."
Crew Resources Research & Analysis Analyst,Spirit Airlines,"Miramar, FL 33025",,Provide data analysis and research to help support industry-leading crew resource management. Track and analyze crewmember absenteeism rates and incorporate...
Assistant/Associate Scientist - Temp Assignment,Noven Pharmaceuticals,"Miami, FL 33186",,"Data acquisition software is required. Detailed observations, analyze data, and interpret. Develop and validate analytical methods for potency,...."
Senior Research Associate 1,University of Miami,"Coral Gables, FL","$32,900 - $59,100 a year","Processes, organizes and summarizes data. Present data in laboratory meetings and other venues. Solve problems in scientific and technical execution, interpret..."
Assistant Scientist (Cancer Research),University of Miami,"Coral Gables, FL",,The Assistant Scientist will already have completed considerable post Ph.D. The Department of Human Genetics at the University of Miami Miller School of...
Postdoctoral Associate (Viral Infections on the Brain Research),University of Miami,"Coral Gables, FL",,"The responsibilities of the position involves MR data acquisition, processing and analysis, including image segmentation, and analyses of cross-sectional and..."
Staff Development Scientist,Beckman Coulter - Life Sciences,"Miami, FL",,"Staff Development Scientist. Scientists use our life science research. Troubleshooting, extensive data analysis, and product development...."
Oncology Health Science Liaison - Southeast,Bristol-Myers Squibb,"Miami, FL",,"Developing peer-to-peer relationships with AIs, scientists and other healthcare professionals. The HSL role embodies our medical mission in becoming a trusted,..."
Data Scientist,Citrix,"Fort Lauderdale, FL",,"R9432 Data Scientist (Evergreen) (Open). Citrix is always looking for bright, enthusiastic Data Scientists who enjoy working in a dynamic, fast-paced..."
BIOLOGICAL SCIENTIST III,The State of Florida,"Fort Lauderdale, FL 33315 (River Oaks area)","$35,000 - $37,000 a year",BIOLOGICAL SCIENTIST III - 64080123. Ability to perform quantitative analysis of scientific data. Knowledge of the methods of data collection and analysis....
"Director, Data Science",Zimmerman Advertising,"Fort Lauderdale, FL",,We are looking for a motivated Data Scientist and analytical thought leader. 5-10 years experience in data and analytics field....
Sr Biomedical Engineer - (Cardiovascular Research),Miami Children’s Health System,"Miami, FL 33155",,"Ability to recruit and mentor entry level biomedical engineers, trainees, and other research scientists. Prepares applications, manuscripts, presentations,..."
Laboratory Assistant,AB Agri,"Fort Lauderdale, FL",,You'll record data from these tests and input results to our lab management system. Are you a Life Science field graduate looking for a Laboratory Assistant...
Financial Analyst (Research Analyst),University of Miami,"Coral Gables, FL","$32,900 - $59,100 a year",Prepares monthly income statements by consolidating accounting data and providing written interpretation of results;...
Senior Research Associate 1 (Enhancer RNA Therapy Research),University of Miami,"Coral Gables, FL",,"Recording and evaluating data in accordance with methods requested; Solving problems in scientific and technical execution, interpreting experimental data and..."
Laboratory Assistant,AB Agri,"Fort Lauderdale, FL",,You'll record data from these tests and input results to our lab management system. Are you a Life Science field graduate looking for a Laboratory Assistant...
Director of eCommerce Analytics,Chewy,"Fort Lauderdale, FL",,"Build and develop a high-performing team of analysts, data scientists, etc. to support the growing needs of the business...."
Senior Research Analyst,Sony Pictures Entertainment Inc.,"Miami, FL 33131 (Downtown area)",,"Must be numerate, have the ability to analyze audience research data and comfortable working with large data sets...."
Senior Psychometrician/Statistician,Ross University School of Medicine,"Miramar, FL",,"Ensures quality control of data compilation and analysis, results interpretation, and reporting deliverables...."
Assistant Research Scientist,Nova Southeastern University,"Fort Lauderdale, FL 33314",,"Develop and write and research proposals, research articles, research reports, research protocols and abstracts from data collected and analyzed...."
Staff Regulatory Affairs Specialist,Beckman Coulter - Diagnostics,"Miami, FL",,Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....
Postdoctoral Associate (Pathogenesis of Human Hematologic Malignancies),University of Miami,"Coral Gables, FL",,"Presenting data in laboratory meetings and other venues; Also includes solving problems in scientific and technical execution, interpret experimental data and..."
Project Scientist,Terracon,"Fort Lauderdale, FL",,Terracon is currently seeking a Project Scientist for our office in Ft. Evaluates complex laboratory and field data and assembles in written reports....
