position,company,location,salary,summary
Research Internship,Lockheed Martin,"Cherry Hill, NJ 08002",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Data Analytics Research Intern,Lockheed Martin,"Cherry Hill, NJ 08002",,"Exposure to advanced Informatics-relevant technologies such as Data Science, Artificial Intelligence, Machine Learning, Data Analytics, -Computational..."
Data Analyst / Data Scientist,Defined Clarity,"Cherry Hill, NJ",$65 - $75 an hour,We have a client that is looking for a data scientist to add to its team. Call Center or Customer care data experience a plus....
Quantitative Finance Analyst 2017,"Montgomery Investment Technology, Inc.","Cinnaminson, NJ 08077",,"Summary Montgomery Investment Technology, Inc., a leading financial software development and valuation consulting firm, has an opening for the position of..."
Robotics & Autonomy Research Intern,Lockheed Martin,"Cherry Hill, NJ 08002",,"These research scientists are a distributed team of scientists and engineers at ATL, other Lockheed Martin facilities, outside companies, and universities..."
Supervisor of Applied Data Science,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",,"This may include, but is not limited to, efforts that provide feature extraction from unstructured data, information query and retrieval, data annotation and..."
"Sr. Analyst, Data Science Integration",Comcast,"Philadelphia, PA 19103 (Belmont area)",,"The Senior Analyst, Data Science Integration will join a growing team team of data scientists, data engineers, and software developers to create, operationalize..."
"Associate, Data Scientist",KPMG,"Philadelphia, PA",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Clinical Informatics Analyst,University of Pennsylvania Health System,"Philadelphia, PA",,Develop and maintain broad spectrum of analytic capabilities including data scientists. Work with IS across the system to design and develop needed data...
Research & Data Analyst,Community College of Philadelphia,"Philadelphia, PA",,Process and interpret data from specified College data collection systems including predictive analytics. Experience with research statistical techniques and...
Research Analyst,Independence Blue Cross,"Philadelphia, PA",,"The Research Analyst is responsible for the following: Conducts research evaluation on medical devices, drugs, biologicals and procedures in order to evaluate..."
Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,"We are looking for a Senior Data Scientist to join our analytics team. Our team works cross-functionally with the program, product and engineering teams.The..."
Data Statistician,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,"Philadelphia, PA",,"Strong technical data analytical skills. Apply data management and statistical methods and the use of data management, computational, and analytic software...."
"Sr. Director, Data Science",Comcast,"Philadelphia, PA 19103 (Belmont area)",,Work closely with data warehouse architects and software developers to generate seamless data science solutions....
Senior Data Scientist,Sidecar,"Philadelphia, PA 19102 (City Center West area)",,We’re seeking an experienced Senior Data Scientist who likes to get deep in the trenches – tackling the hardest data processing problems and delivering the most...
Senior Research Scientist,AIG,"Philadelphia, PA",,"Develop vulnerability functions for structural and non-structural components subjected to wind based on engineering analysis, information from the scientific..."
Bioinformatics Scientist I,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,"Data Analysis (10%):. Provides efficient data management support including file transfers, data formatting and manipulation, and basic integration of data from..."
Sr. Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Mentors and train junior team members.- Improve products and services or solve problems using best practice and knowledge of internal and or external business...
STATISTICAL PROGRAMMER,University of Pennsylvania,"Philadelphia, PA",,"The programmer will work collaboratively and interface with faculty, research scientists, and trainees forming a diverse imaging and data science team that will..."
Summer Internship for Research Department - Data Sourcing Analyst,Federal Reserve Bank of Philadelphia,"Philadelphia, PA",,Summer Internship for Research Department - Data Sourcing Analyst-253288. Clean up the archival source data that trace the labor markets experiences of...
Research Analyst Manager,New Jersey Judiciary,"Trenton, NJ","$83,621 - $120,050 a year",Conduct statistical analysis of Probation Services and ISP related data. Preform simple to moderately complex statistical analysis of criminal justice and non...
STATISTICAL ANALYST A/B,University of Pennsylvania,"Philadelphia, PA",,Statistical Analyst B will use advanced statistical methods to analyze the data. The Statistical Analyst A will use standard SAS and/or STATA programming skills...
Sr. Principal Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Shares data with team. Review and evaluate data scientist programs enterprise level to determine appropriate use of algorithm-driven products and solutions....
DATA SCIENTIST,University of Pennsylvania,"Philadelphia, PA",,"Experience with data science a plus. Master’s degree or PhD in Bioinformatics, Biostatistics, Computer Science, Data Science, Informatics or equivalent strongly..."
Data Engineer,Sidecar,"Philadelphia, PA 19107 (City Center East area)",,Support our data scientists by scaling EMR jobs. We’re looking for a Data Engineer to join our rapidly growing Data Engineering team....
