position,company,location,salary,summary
Research Data Analyst 1,Stanford University,"Stanford, CA 94305",,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause..."
"Data Analyst (Fixed Term, 18 months)",Stanford University,"Stanford, CA 94305",,"Clean large datasets of collected data, or publically available data in preparation for data analysis. The incumbent will work closely with senior statisticians..."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Junior Data Scientist,SAP,"Palo Alto, CA",,"As a Data Scientist , you will work in a team of experience experienced researchers and data scientists taking on challenges posed by the SAP customers and..."
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER,"GRAIL, Inc.","Menlo Park, CA",,"Experience with next generation sequencing data analysis (DNA, RNA, or epigenetic analysis.). Largely without exception these breakthroughs have been enabled by..."
Data Science Engineer,Salesforce,"Palo Alto, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
"Junior Data Analyst - Performance Lens, New Ventures",McKinsey & Company,"San Jose, CA",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
"2018 Summer Data Science Intern - Mountain View, CA",Atlassian bright blue button,"Mountain View, CA",,You will work closely with our Data Scientists to extract insights from our massive datasets to identify opportunities to develop new features to power the...
"Intern, Innovation Center Silicon Valley - Engineers & Data Scientists",SAP,"Palo Alto, CA",,"Experience with machine learning & artificial intelligence (computer vision, NLP, data science, etc.). The SAP Innovation Center Silicon Valley is looking for..."
"Junior Data Analyst - Performance Lens, New Ventures",McKinsey & Company,"San Jose, CA",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
Summer Intern - Data Science,Roche,"Mountain View, CA",,"And will collaborate with imaging and data scientists to explore new applications of computer vision, data analysis and classification methods for advanced..."
Network Quantitative Analyst,Facebook,"Menlo Park, CA",,"Build cross functional relationships with Data Scientists, Network Planners, Software Engineers and Network Engineers to understand their data needs...."
"Analyst, Access Network Planning",Facebook,"Menlo Park, CA",,"You will work closely with network operators, infrastructure providers and FB program managers, data scientists, engineers and product managers to analyze data..."
Data Analyst,Walmart eCommerce,"Sunnyvale, CA",,"Organized when analyzing data and conducting research. O Experienced working with massive, messy data sets. We are hiring a partner to both Digital Marketing..."
Intern-Data Science,Palo Alto Networks,"Santa Clara, CA 95054",,"Define data needs, evaluate data quality, and extract/manipulate data in a ""Big Data"" environment. We are seeking intern for data science team who will work..."
Machine Learning Scientist,Adobe,"San Jose, CA",,We are seeking for a machine learning/ data scientist expert to help us develop analytical model to analyze the large quantities of live and historic data we...
Data Scientist,"23andMe, Inc.","Mountain View, CA 94041",,23andMe is seeking an experienced data scientist to join our Analytics team. Strong applied statistics and data visualization skills....
Senior Data Scientist,Sumeru Solutions,"Palo Alto, CA 94301 (Professorville area)",,"Proficient with R, Python or equivalent for data modeling and analysis. Solid understanding of statistical modeling / predictive analysis/ machine learning /..."
SEDA Research Data Analyst,Stanford University,"Stanford, CA 94305",,"Documenting data generating processes of SEDA data set for technical and non-technical audiences. Identifying potentially problematic data, make corrections,..."
Data Scientist,"23andMe, Inc.","Mountain View, CA 94041",,23andMe is seeking an experienced data scientist to join our Analytics team. Strong applied statistics and data visualization skills....
"People Research Scientist, Diversity Analytics",Facebook,"Menlo Park, CA",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
SEDA Research Data Analyst,Stanford University,"Stanford, CA 94305",,"Documenting data generating processes of SEDA data set for technical and non-technical audiences. Identifying potentially problematic data, make corrections,..."
"Statistician, Demand Planning",Tesla Motors,"Fremont, CA",,"ERP/WRP systems, SQL, and data visualization programs such as Tableau are preferred. Communicate with Production, Procurement, Logistics, Reliability..."
Data Analyst,McAfee,"Santa Clara, CA 95052",,"Comfortable manipulating and analyzing complex, high-volume, high-dimensional data from varying data sources...."
applied machine learning intern,light.io,"Palo Alto, CA",,Light is a team of creative technologists on a mission to reimagine the art and science of photography. We are a venture-backed startup creating a radically...
"Quantitative Scientist, People Analytics",Facebook,"Menlo Park, CA",,Facebook is seeking a Data Scientist to join our people analytics team. Collaborate with data engineering and visualization engineers to access and manipulate...
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
Machine Learning Engineer,AISense,"Los Altos, CA",,AISense is adding new life to conversations of all types. Our Ambient Voice Intelligence™ technology processes verbal conversations to derive usable text and...
Software Developer I-III (Machine Learning),Universities Space Research Association,"Mountain View, CA",,"Develop data pipeline and analytics using Autonomous Vehicle Sensors data (Images, LIDAR, etc.). The Software Development Engineer will develop data pipeline..."
Data Scientist/Software Engineer Intern 2018,IBM,"San Jose, CA",,The Data Scientist / Software Engineer Intern will design and implement Machine Learning systems and capabilities for IBM’s Unified Governance products under...
Data Scientist,Stanford University,"Stanford, CA 94305",,Industry experience as a data scientist. Implement data analysis through statistical programming. The Data Scientist (Biostatistician 2) will with some...
