position,company,location,salary,summary
Data Science Engineer,Pluvio,New York State,,About the Data Scientist position. Pluvio is a data driven tech company looking for an experienced Lead Data Scientist to help us scale our data science team....
Jr Research Analyst,"Gartner, Inc.","New York, NY",,"Draw thoughtful conclusions from a cacophony of data, both from RB members and from secondary research. Junior Research Analyst...."
Quantitative Researcher in Machine Learning,"Two Sigma Investments, LLC.","New York, NY",,"Two Sigma combines massive amounts of data, world-class computing power, and statistical expertise to develop sophisticated trading models...."
Data Clinic - Internship (Data Science for Good),"Two Sigma Investments, LLC.","New York, NY",,"Founded in 2014, the Two Sigma Data Clinic harnesses the power of data and technology to help nonprofits and charitable organizations better realize their..."
Junior Data Scientist M/F - VIE New York,SG CIB,"New York, NY",,"As Junior Data Scientist, you will:. The position of Junior Data Scientist is located in the Human Resources department...."
eCommerce Data Science & Analytics Associate,PepsiCo,"New York, NY",,"Data Science, Data Engineer, Big Data, Data Insights & Analytics work environments Preferred. Accordingly, we are seeking a Data Scientist to manage data entry..."
Machine Learning Engineer,Stackyork,"New York, NY",,Partner with Product teams and Data Scientists to complete business deep-dives. Build and maintain data pipelines for use in Machine Learning & Data mining....
Sr Data Scientist - 47182BR,Aetna,"New York, NY 10016 (Gramercy area)",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
DATA SCIENCE ANALYST III,Mount Sinai Health System,"New York, NY 10029 (Yorkville area)",,Data scientists that are passionate about developing a true system of care that. For high quality data. Identify necessary data and methodologies;...
Associate Data Scientist,ITL USA,"New York, NY",,Infosys – Analytics – Associate - Data Scientist – US. You will effectively communicate data-derived insights to non-technical audiences appropriately and...
Associate Data Scientist,ITL USA,"New York, NY",,Infosys – Analytics – Associate - Data Scientist – US. You will effectively communicate data-derived insights to non-technical audiences appropriately and...
Quantitative Researcher - Internship,"Two Sigma Investments, LLC.","New York, NY",,"Developing trading strategies, from idea generation and data collection to analysis and model creation;..."
Statistical Machine Learning Scientist,AIG,"New York, NY",,"Practical experience in preparing data for Machine Learning (e.g., using SQL and/or NoSQL technologies). For senior roles, lead, inspire and mentor junior..."
Postdoctoral Researcher in Machine Learning,Brookhaven National Laboratory,"Upton, NY 11973",,Must be able to work closely and communicate effectively with other domain scientist and infrastructure scientist....
Data Science Translator - TMT Sector,McKinsey & Company,"New York, NY 10022 (Midtown area)",,"Familiarity with social network data, dynamic data sets, Customer Lifecycle Management models, data lakes, subscription data, pricing practices & network..."
Machine Learning,Twitter,"New York, NY",,"Cortex is a team of software engineers, data scientists, and research scientists dedicated to developing state-of-the-art machine learning capabilities to..."
Data Analyst,NYU Langone Health,"New York, NY",,"Conduct data cleaning, data management, data restructuring, and data quality management. Provides expertise for data collection design, data organization, data..."
Data Analyst,ADMIN FOR CHILDREN'S SVCS,"Manhattan, NY","$70,286 - $83,784 a year","Provide coaching and support to staff at DCP for using the developed performance data and reports, including training of DCP staff who participate in Data..."
Data Science Engineer,Neuberger Berman,"New York, NY",,"Work closely with data scientists to understand the data analysis strategies, and construct efficient and scalable algorithms to implement those strategies...."
Data Science Summer Intern 2018,Grubhub,"New York, NY",,Desire to learn and grow as a data scientist. Eagerness to know the why’s and how’s of algorithms and keen interest in using them on relevant data sets and...
Data Science Summer Intern 2018,Grubhub,"New York, NY",,Desire to learn and grow as a data scientist. Eagerness to know the why’s and how’s of algorithms and keen interest in using them on relevant data sets and...
Assistant Scientist in Machine Learning,Brookhaven National Laboratory,"Upton, NY 11973",,CSI’s mission is to provide ‘Leadership in Data Driven Discovery’. DL research experience with large data sets in academia or industry....
Short Term Casual - Computational Technology,Columbia University,"New York, NY",$30 an hour,"These paid interns will be paired with Lamont scientists and will contribute to ongoing research projects involving scientific computing, machine learning, and..."
Quantitative Research Associate - Full-Time Campus Hire,"Two Sigma Investments, LLC.","New York, NY",,"Developing trading strategies, from idea generation and data collection to analysis and model creation;..."
Data Science Intern,ZocDoc,"New York, NY 10012 (Little Italy area)",,"Courtney , Data Science. Learn data engineering best practices, like how to write clean, readable SQL and Spark data flows, interact with various data storage..."
Quantitative Analyst,RBC,"New York, NY",,"PURPOSE This is a front office quant role with the focus on developing and implementing new, and maintaining and/or enhancing existing swap pricing models and..."
Junior Data Scientist M/F - New York,SG CIB,"New York, NY",,"As Junior Data Scientist, you will:. The position of Junior Data Scientist is located in the Human Resources department...."
Clinical Data Analyst,NYU Langone Health,"New York, NY",,"Cardiac Markers Data monitoring:. Data processing and elementary statistics. The primary focus for this role is to monitor clinical data, review and query data..."
Quantitative Analyst,Balyasny,"New York, NY",,"Experience working with intraday financial data, building predictive models. As a Quantitative Researcher you will be responsible for the following:...."
Quantitative Analyst,Intercontinental Exchange,"New York, NY 10022 (Midtown area)",,Collaborating with a team of skilled quantitative analysts and data scientists supporting our business development efforts with an exciting new set of products...
Quantitative Analyst,Intercontinental Exchange,"New York, NY 10022 (Midtown area)",,Collaborating with a team of skilled quantitative analysts and data scientists supporting our business development efforts with an exciting new set of products...
Quantitative Analyst,UBS,"New York, NY",,"Are you interested in a career in financial modelling? Do you have a background in mathematics, science or engineering? We’re looking for someone like that..."
Quantitative Analyst,TransReach,"New York, NY",,"Must enjoy working with complex data, and compiling new datasets. Quantitative Analyst/US Equity and Quant Strategy-VP/DIR...."
Quantitative Analyst,Voya Financial,"New York, NY",,Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution. Proactively uncover and resolve data and calculation issues....
Quantitative Analyst,"Two Sigma Investments, LLC.","New York, NY",,Experience working with large data sets. We are seeking world-class researchers and engineers who are obsessive about data analysis and the pursuit of its...
Strategist/Quantitative Analyst - Flow Equity Derivative Strat team,Morgan Stanley,"New York, NY 10032 (Washington Heights area)",,Work closely with traders to analyse large data sets with an aim to assist decision making & increase efficiency in trading....
"People Research Scientist, People Analytics",Facebook,"New York, NY",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
Quantitative Research Analyst,Pacific Investment Management Company LLC,"New York, NY",,Analytics Platform and Delivery team is seeking a quantitative developer to develop a distributed computing platform to deliver analytics to various users and...
Data Analyst,Albert Einstein College of Medicine,"Bronx, NY",,"The Student Trainee will assist with managing a database which incorporates study data, including participant, after-school staff, and school data...."
HBO Sr. Data Scientist Programming Analytics,HBO,"New York, NY",,"As the Senior Programming Applied Scientist within Analytics, this individual will be responsible for the design and execution of analyses that inform content..."
Fixed Income Quantitative Research Analyst,Susquehanna International Group,"New York, NY 10005 (Financial District area)",,"Projects will include work with high-performance algorithmic trading, volatility model backtesting, and statistical analysis of relevant market data...."
"Associate, Data Scientist",KPMG,"New York, NY 10154 (Midtown area)",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Data Visualization Engineer - Machine Learning focus,Capital One,"New York, NY",,Data Visualization Engineer - Machine Learning focus. This entails immersing yourself in and exploring the data....
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
"Big Data Developer, Machine Learning - Intelligent Solutions",JP Morgan Chase,"New York, NY 10001 (Chelsea area)",,Effectively partner with the Data Insights team to drive usage of the data asset that drives analytics within JPMIS and for our strategic partners....
Data Strategy Analyst,"Neustar, Inc.","New York, NY 10012 (Little Italy area)",,Data Strategy Analyst. Communicating with client data owners and media agency partners to understand data and identify data attributes critical to our modeling...
Data Scientist/Data Visualization/Web Developer - Multi Asset,Lazard Ltd.,"New York, NY",,"Work together with data scientists to develop new data, analytics, and visualizations. Lazard is seeking a Data Visualization Specialist/Web Developer to join..."
"Citi Research - US Equity Research, Data Analyst, VP/Director, NYC",Citi,"New York, NY",,At least 5 years of relevant data science/analytics experience; Originate ideas for data projects by coordinating with the Health Care team....
Data Scientist,JP Morgan Chase,"Brooklyn, NY 11245 (Downtown area)",,"In the role of Data Scientist, you will be responsible for:. Data Visualizations platforms. Plays a dual role of a data scientist and application developer...."
Entrprse Data Gov Analyst,NYU Langone Health,"New York, NY",,Supports the data governance team in conducting moderately complex data analysis to help drive data quality improvement initiatives....
Entrprse Data Gov Analyst,NYU Langone Health,"New York, NY",,Supports the data governance team in conducting moderately complex data analysis to help drive data quality improvement initiatives....
Data Analyst - Cardiology,Columbia University,"New York, NY",,"The successful candidate will play an integral role in cardiovascular precision medicine team science focused on the clinical data, electronic health record..."
Machine Learning Engineer,Temboo,"New York, NY 10013 (Tribeca area)",,"Taking responsibility for maintaining our data collection, storage and processing infrastructure. Strong computer science fundamentals (notably algorithms and..."
Machine Learning Engineer,2U,"New York, NY",,Work with Data Scientists to import necessary data for modeling and coordinate data extraction across different database architectures....
Associate Data & Research Analyst,Columbia University,"New York, NY",,"As an integral member of the team, the Associate Data & Research Analyst focuses on data mining; This includes working with large data sets, and understanding..."
Quantitative Analyst - Electronic Execution Equity Markets (New York),Macquarie Group Limited,"New York, NY",,"Experience with Python, KDB, and data science tools. Apply statistical and machine learning across large data sets...."
Project Assistant,NYU Langone Health,"New York, NY",,"Maintain databases and perform data entry. For 175 years, NYU School of Medicine has trained thousands of physicians and scientists who have helped to shape the..."
"Analyst, Data & Analytics",Casper,"New York, NY",,"Experienced as a Data Analyst, Data Scientist or Management Consultant, preferably at an e-commerce brand with a high volume of complex data (1-3 years..."
Data Scientist,Getty Images,"New York, NY",,The data scientist will help leadership understand how customers find content and interact with it. Demonstrated experience solving business problems with...
DATA ENGINEER,Mount Sinai Health System,"New York, NY 10029 (Yorkville area)",,"Developers, and Data Scientists. Of Big Data. The Data Engineer II focuses. Of big data software and technology...."
Research Coordinator - Data Analyst,NYU Langone Health,"New York, NY",,"Coordination of all aspects of study design (such as conducting literature reviews, monitoring data collection, data entry , performance of statistical analyses..."
Equity Core Strat Team Strategist/Quantitative Analyst,Morgan Stanley,"New York, NY 10032 (Washington Heights area)",,"Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth..."
Associate - Machine Learning,McKinsey & Company,"New York, NY 10022 (Midtown area)",,"Collect, clean and analyze quantitative data to develop critical insights and pragmatic data solutions for our clients’ issues...."
"Assessment Science Partner, People Analytics",Facebook,"New York, NY",,Demonstrate judgment and discretion when dealing with highly sensitive people data. Experience managing and analyzing structured and unstructured data using...
Statistical Programmer,The Rockefeller University,"New York, NY",,"Data will include clinical research data and Hospital/ CCTS operational data. Will also help collect information from a variety of resources, design databases,..."
Research Analyst,Outdoor Sportsman Group,"New York, NY",,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....
Research Analyst,Cision US,"New York, NY 10036",,Translating a brief into a detailed set of data requirements that can be used to specify a dashboard framework Building dashboards in Tableau and generating...
Research Analyst,MDRC,"New York, NY 10016 (Gramercy area)",,"Disseminate results to policymakers, practitioners, and social scientists. Travel to research sites and collect and analyze quantitative and qualitative data to..."
Research Analyst,"iHeartMedia, Inc.","New York, NY",,"Create insightful data driven presentations that meet the client’s objectives. Audience metrics, competitive advertising spending, media geography, competitive..."
Research Analyst,Cumulus Media,"New York, NY",,"Develop insights-driven analyses and reports that communicate complex data in clear, action-focused manners. New York City...."
Research Analyst,Coinbase,"New York, NY",,"Strong data analysis, strategic thinking, and written communication skills. Establish GDAX as the premier source for digital asset market data, research, and..."
Data Engineer,Columbia University,"New York, NY",,"Establishes pipelines for data sharing (e.g., of electrophysiological data from multielectrode arrays or 4D largescale calcium imaging microscopy data) across..."
Machine Learning Engineer - Intelligent Solutions,JP Morgan Chase,"New York, NY 10001 (Chelsea area)",,JP Morgan Intelligent Solutions (JPMIS) is a new group considering ways to transform our data assets into opportunities for JPMorgan Chase by leveraging the...
Data Engineer,Dailymotion,"New York, NY",,Work closely with data scientists to construct creative solutions for their analysis tasks Qualifications....
Portfolio Financing : Quantitative Analyst,"Two Sigma Investments, LLC.","New York, NY",,"Data analytics, creating and improving reports and working with modelers, engineers and portfolio managers to help analyze financing data...."
Interest Rate Quantitative Analyst,UBS,"New York, NY",,Does complex modeling excite you? Are you an innovative thinker? We’re looking for someone like that who can: – develop cutting edge models and algorithms for...
Quantitative Trading Analyst,Wolverine Trading,"New York, NY",,"Data mining / Statistical analysis. In particular he/she will help – among other things - in the elaboration of new strategies from a mathematical standpoint,..."
"Quantitative Analyst, High Frequency Trading","Two Sigma Investments, LLC.","New York, NY",,Applying tick-level data analysis and real-world trading experimentation to define strategy decision-making. We are seeking world-class quantitative researchers...
Statistical Reporting Coordinator,Odyssey Reinsurance Company,"New York, NY 10005 (Financial District area)",,"Maintains confidentiality of company-sensitive data. Responsible for pulling the data, coding the data according to the statistical reporting agents..."
Data Scientist/ Sr./Lead/Principal Data Scientist,NATIONAL GRID CO USA (NE POWER),"Brooklyn, NY",,"1-5+ years of experience as a Data Scientist. Identify, extract, and integrate data sets ranging in size from spreadsheets to big data...."
Data Engineer,Match,"New York, NY",,We're a team of engineers and data scientists that manage all aspects of OkCupid's BI and data stack. OkCupid is looking to hire a Data Engineer!...
Fixed Income/Credit Quantitative Analyst,RBC,"New York, NY",,"Knowledge of multi variants regression, machine learning, data visualization and big data tools is highly desirable...."
Data Scientist/ Sr./Lead/Principal Data Scientist,NATIONAL GRID CO USA (NE POWER),"Brooklyn, NY",,"1-5+ years of experience as a Data Scientist. Identify, extract, and integrate data sets ranging in size from spreadsheets to big data...."
Quantitative Finance Analyst,TransReach,"New York, NY",,"Required Skills/Experience: Depth and a breadth of knowledge of financial markets and derivative products – particularly in Equities, Commodities, Rates,..."
Data Engineer,Weight Watchers International,"New York, NY","Estimated salary: $137,000 - $174,000 a year",Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....
Quantitative Analyst (Contract),"Nomura Holdings, Inc.","New York, NY",,"Process will involve deep understanding of underlying logic, formulas and data. Is an Asia-based financial services group with an integrated global network...."
Sr Data Scientist,Pamten,"New York, NY",,"Sr Data Scientist New York, NY 12 months Financial experience or and a PHD is a must: Requirements M.S in Computer Science, Statistics, Machine learning,..."
"Senior Data Scientist, Senior Associate",New York Life Insurance Co,"New York, NY",,"Is this not why we became data scientists? We work with data ranging from demographics, credit and geo data to detailed medical data (medical test results,..."
Automated Intelligence Business Analyst- Global Research,UBS,"New York, NY",,"Experience working with data science teams is beneficial. Do you have a passion for automated intelligence, working with big data, and research?..."
"Senior Data Scientist, Business Funnel Optimization",Newsela,"New York, NY",,This role reports up through the Chief Data Scientist. Proven expertise in Data Visualization and Storytelling....
"Senior Data Scientist, Personalization",HelloFresh,"New York, NY",,A data junkie:. HelloFresh is seeking a Senior Data Scientist to help spearhead our personalization initiative....
Senior Data Scientist,Arena,"New York, NY 10013 (Tribeca area)",,"Mentor junior data scientists. We seek an inventive, collaborative, methodologically-grounded, experienced, socially-minded data scientist to join our team...."
Senior Data Scientist,SiriusXM,"New York, NY 10104 (Midtown area)",,"And types (web and application traffic data, domain-specific metadata, customer data, transactional data, product data, etc.)...."
"Solution Analyst - Healthcare Analytics & Delivery, New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. As one of the fastest-growing parts of our firm, New..."
"Research Staff, Center for Automation Technologies and Systems",Rensselaer Polytechnic Institute,"Troy, NY 12180",,"Computer literacy, including ability to use a variety of software packages to analyze data. Ability to collect, record, analyze and interpret data using..."
Data Scientist / Engineer,OUTFRONT media,"New York, NY",,"Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as curation and geo..."
Data Scientist,WebMD,"New York, NY",,"To manipulate data and draw insights from large data sets. The Data Scientist, Outcomes Research will utilize data captured from online surveys, electronic..."
Data Scientist,Payfone,"New York, NY 10003 (Greenwich Village area)",,The Data Scientist will:. The Data Scientist will work with large data sets and will derive client insights from that data....
Data Scientist,"Two Sigma Investments, LLC.","New York, NY",,"Identifying timely and unique data sets, diving deep into a diverse set of data domains, visualizing and exploring underlying data drivers, and developing data..."
Data Scientist,StreetEasy,"New York, NY",,"StreetEasy is seeking a Data Scientist to join our growing research team. We literally sit between StreetEasy’s engineering, product, strategy, and..."
Data Scientist,StreetEasy,"New York, NY",,"StreetEasy is seeking a Data Scientist to join our growing research team. We literally sit between StreetEasy’s engineering, product, strategy, and..."
Data Scientist,Microsoft,"New York, NY",,Collaborate with subject matter experts and data scientists to inform your analytical approaches. Identify and define appropriate data for analysis....
Data Scientist,Digital Reasoning,"New York, NY",,"As a Data Scientist, you’ll solve a wide range of unstructured data (text/NLP, audio, image) problems our customers have by first understanding them, designing..."
Data Scientist,Celonis,"New York, NY",,"You are excited about Big Data, Data Mining and Process Mining. Data Scientists run the newest proof-of-concept projects and fill our software with the real..."
Data Scientist,Newsela,"New York, NY",,Collaborate with data managers and engineers to specify requirements for data infrastructure and storage. We’re looking to drive unprecedented gains in student...
Data Scientist,Invesco,"New York, NY 10036",,"Data requirements and management:. Experience linking multiple data platforms (social media, open, etc) and with data visualization tools (e.g., Tableau)...."
Data Scientist,Knewton,"New York, NY",,We are seeking a Data Scientist to join the Data Science team. Familiarity with linear algebra and manipulating data using matrix algorithms....
Data Scientist,Cuebiq,"New York, NY",,Data Scientist (NYC). We are looking to add a skilled and passionate Data Scientist to our team in New York....
Data Scientist,Conde Nast,"New York, NY 10007 (Financial District area)",,We are seeking an experienced and highly motivated data scientist to join our team in New York. Experience with big data technologies:....
Data Scientist,2U,"New York, NY",,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development...."
Data Scientist,Vettery,"New York, NY",,"We’re looking to add a Data Scientist to work on decision support, product optimization, and operation scaling projects across these areas...."
Data Scientist,Celmatix,"New York, NY 10005 (Financial District area)",,"We seek a Data Scientist with deep expertise working with large datasets to join our growing scientific team. Reporting to the Data Science Lead, you will work..."
Data Scientist,"Jefferies & Company, Inc.","New York, NY",,Problem Solver and able to tell business story using data. This role will involve a close collaboration with our team of passionate and innovative data...
Data Scientist,Loadsmart,"New York, NY",,3+ years of experience as a data scientist. Develop and improve product features within the data science and data engineering team....
Data Scientist,Foot Locker,"New York, NY",,"We are searching for a forward thinking Data Scientist to drive data mining, build data products, and communicate findings to key stakeholders...."
Data Scientist,Pamten,"New York, NY",,"Data Scientist New York, NY 12 Months Financial experience or and a PHD is a must:. Requirements M.S in Computer Science, Statistics, Machine learning, Applied..."
Data Scientist,Capital One,"New York, NY",,"Writing software to clean and investigate large, messy data sets of numerical and textual data. Big, undefined problems and petabytes of data don't frighten you..."
Data Scientist,MealPal,"New York, NY",,"As a Data Scientist at MealPal, you will focus on using data to drive business strategy and take our company to the next level...."
