position,company,location,salary,summary
J1 Internaltional Intern - Machine Learning in Automation,Siemens AG,"Berkeley, CA",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 219792 Primary Location: United States-California-Berkeley Assignment...
Data Analyst I,ABBOTT LABORATORIES,"Alameda, CA",,"Assisting the Data Scientist role in activities (which are not limited to), extraction of big data, data manipulation and cleaning of data, and continuous..."
"Data Engineer, Data Sciences",Change Healthcare,"Emeryville, CA",,"Our data engineering team works very closely with Product Managers, Data Scientists.  Interface with data scientists, engineers and product managers to..."
"Statistician, Demand Planning",Tesla Motors,"Fremont, CA",,"ERP/WRP systems, SQL, and data visualization programs such as Tableau are preferred. Communicate with Production, Procurement, Logistics, Reliability..."
Data Scientist I,Big Fish Games,"Oakland, CA 94612 (Northgate area)",,"2-3 years of prior data analysis experience. Perform data discovery, collection and integration of game and player data from multiple source systems to arrive..."
Machine Learning Engineer/Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,Common data structures and algorithms. Passionate about working with large unstructured and structured data sets....
Data Engineer,Classy,"San Francisco, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
Junior Data Scientist,Realogy Corporate,"Emeryville, CA",,"Junior Data Scientist. As a Junior Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to use it most..."
Research Data Analyst,University of California San Francisco,"San Francisco, CA",,The Research Data Analyst will join a collaborative and exciting team of researchers at the F.I. The individual will be asked to contribute to study design from...
Algorithms & Applications Researcher - Quantum Machine Learning,Rigetti Computing,"Berkeley, CA",,"As an Algorithms & Application Researcher at Rigetti Computing, you will research and develop algorithms and applications for our quantum hardware technology...."
Sr Data Scientist - 47178BR,Aetna,"San Francisco, CA",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
Junior Data Scientist,Realogy Corporate,"Emeryville, CA",,"Junior Data Scientist. As a Junior Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to use it most..."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Data scientist,Even,"Oakland, CA",,You have spent at least three years working as a data scientist. A remarkably talented and supportive team of peers to help you grow as a data scientist....
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
Data Science Generalist,Rainforest QA,"San Francisco, CA",,"We regularly send our data scientists to conferences, both to speak and just learn (e.g. Knowledge of common data science concepts:...."
Machine Learning,Twitter,"San Francisco, CA 94103 (South Of Market area)",,Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
Sr. Data Scientist,Dictionary.com,"Oakland, CA",,The Data Scientist will have a tremendous impact on the usability and profitability of dictionary.com as well as play a critical role in bringing new innovative...
Intern - Machine Learning,HERE Technologies,"Berkeley, CA",,We build the systems that collect HERE's own data. Our software provides data and interfaces that enable the monitoring and coordination of collection efforts....
Sr IT Consultant - Data Scientist,Kaiser Permanente,"Oakland, CA",,Recommends and advocates for additional data and/or services needed to address key business issues related to process or solutions design....
Machine Learning,Twitter,"San Francisco, CA 94103 (South Of Market area)",,Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
Research Scientist II Investigator,Kaiser Permanente,"Oakland, CA",,"Mentors/supervises junior level research scientists and technical staff. Provides consultation and data interpretation to TPMG, KFH/P managers and committees...."
Intern: Data Science (Spatial Agronomic Modeling),The Climate Corporation,"San Francisco, CA",,"Collaborate fluidly with a diverse team of data scientists, agronomic domain experts, and software engineers in order to ensure the best possible research..."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
Open Source Scientific Python Developer,University of California Berkeley,"Berkeley, CA",,"Bootcamps) to help train the next generation of data scientists, and support a growing. BIDS collaborates closely with the new Division of Data Sciences...."
Data Science Engineer,Desk.com,"San Francisco, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
"Scientist, Content Science","Pandora Media, Inc.","Oakland, CA",,"Experience developing big data solutions in Java. As an example, algorithms developed by Content Scientists power the Artist Audio Message targeting through our..."
Data Analyst,Doximity,"San Francisco, CA",,"Collaborate with a team of product managers, analysts, data scientists, and other developers to define and complete data projects...."
Data Scientist,LeapYear,"Berkeley, CA",,"As a data scientist at LeapYear, you will be responsible for conceptualizing, developing, testing, and deploying machine learning products on customer data sets..."
Product Analyst (Data Science),Ancestry,"San Francisco, CA 94107 (South Of Market area)",,"Identify and understand various data sources; Build tools and services to improve analysis and experimentation throughput, and work with Data Warehouse team to..."
Quantitative Analyst,Wish,"San Francisco, CA",,"Experience with data visualization. Experience manipulating data sets through statistical software (ex. Apply your expertise in quantitative analysis, data..."
Analyst,Exponent,"Oakland, CA",,Performing preliminary data processing and data analytics. Performing initial schedule review for data quality and schedule integrity....
Machine Learning Intern,Betterview,"San Francisco, CA",,Betterview is a data collection and analytics platform for inspecting buildings and properties using drones....
"Machine Learning / AI Engineer, Data Stream",Workday,"San Francisco, CA 94105 (Financial District area)",,If you have industry experience working on a range of anomaly/outlier detection including data streams we want to talk to you right away!...
Machine Learning Research Scientist,Sentient,"San Francisco, CA",,"We are seeking an exceptional Machine Learning Research Scientist to join our Artificial Intelligence team. Combining evolutionary computation, deep learning..."
Software Engineer – Machine Learning R&D,LeapYear,"Berkeley, CA",,"Experience in enterprise data science and data engineering. Unlike traditional methods which remove or obfuscate information, LeapYear enables analytics across..."
"AI / Machine Learning Researcher, Financial Services",Sentient,"San Francisco, CA",,Sentient Investment Management is a Hedge Fund firm developing and applying quantitative trading and investment strategies built using the world’s most...
Institutional Research & Planning Analyst 4 (student),University of California Office of the President,"Oakland, CA 94607 (Acorn-Acorn Industrial area)",,"Work on student issues using complex data sets such as:. UC student privacy regulations and practices, campus registrar practices as they relate to corporate..."
Principal Data Scientist,LeapYear,"Berkeley, CA",,"As a data scientist at LeapYear, you will be responsible for conceptualizing, developing, testing, and deploying machine learning products on customer data sets..."
"Research Scientist, Motion Tracking and Machine Learning",Fitbit,"San Francisco, CA 94105 (Financial District area)",,"You will do a lot of experiments, often involving data collection from humans. We investigate a big set of problems from hardware development to embedded signal..."
"Scientist, Computational Biology","23andMe, Inc.","San Francisco, CA",,Experience developing robust data analysis software. Linear and nonlinear modeling of statistical data. Extend existing target discovery efforts to incorporate...
Algorithm Engineer/Data Scientist,Motiv,"San Francisco, CA",,We are hiring an Algorithm Engineer/Data Scientist that is passionate about taking wearable technology to the next level....
Machine Learning Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)",,"You’re an relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues...."
Machine Learning Engineer,Fathom Health,"San Francisco, CA",,"Work with a range of structured and unstructured data sources. Managing large-scale crowd-sourcing data labelling and acquisition (Amazon Turk, Crowdflower, etc..."
Machine Learning Engineer,CodeFights,"San Francisco, CA",,"CodeFights is one of the fastest growing technology startups in the heart of San Francisco on a mission to discover, develop and promote technical talent. We..."
Machine Learning Engineer,Castle Global,"San Francisco, CA",,"Hive Data is the world’s largest two-sided marketplace for machine learning data labeling. Hive Data, Hive Predict, and Hive Enterprise...."
Machine Learning Engineer,Angle Technologies,"San Francisco, CA",,"We use ML to help populate our worlds in a way that feels organic and handmade. Design, build and own Novel uses of texture synthesis and style transfer...."
Machine Learning Engineer,Credit Karma,"San Francisco, CA",,2+ years of Big Data experience. You’ll be working on the machine learning infrastructure to help data scientists develop models which will be used to improve...
Data Scientist - Engineer II,Seagate,"Fremont, CA",,Perform hands-on data analysis and modeling with huge data sets. Process manufacturing data to establish correlation between tool data and metrology....
Data Scientist - Engineer II,Seagate,"Fremont, CA",,Perform hands-on data analysis and modeling with huge data sets. Process manufacturing data to establish correlation between tool data and metrology....
Technical Data Analyst,YuMe,"Redwood City, CA 94063",,Work closely with Data Scientists to analyze user data and develop new audience segmentation approaches. Advanced working knowledge of data analysis using...
Data Scientist I,Big Fish Games,"Oakland, CA 94612 (Northgate area)",,"2-3 years of prior data analysis experience. Perform data discovery, collection and integration of game and player data from multiple source systems to arrive..."
Statistical Programmer,Exelixis Inc.,"South San Francisco, CA 94080",,May partner with biostatisticians and clinical data management staff in checking and reporting on data....
Supply Chain Business & Data Analyst,Shutterfly,"Redwood City, CA",,"5+ years experience as a business analyst, data scientist or similar job function, including 2+ years of relevant experience with data mining, SQL, building..."
Research Analyst,Intercontinental Exchange,"Dublin, CA",,"Identifying data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services...."
Research Analyst,AXA Funds Management,"Orinda, CA",,Constructing and working with large data sets. In addition they will assist with data management and sign-off processes related to the research team....
Data Engineer,Zipcar,"San Mateo, CA",,Data pipelines (e.g. Data processing frameworks (e.g. Contribute to data architecture and technology decisions with expert understanding of data engineering...
Data Engineer,Dropbox,"San Francisco, CA",,Develop and manage data pipelines at enterprise scale Build data expertise and own data quality for various data flows Launch and support new data models that...
Data Engineer,Reflektive,"San Francisco, CA",,Enhance and further develop Big Data processing pipelines for data sources containing structured and unstructured data....
"Software Engineer/Data Scientist, NLP",Twitter,"San Francisco, CA 94103 (South Of Market area)",,"Common data structures and algorithms. You’re an information retrieval engineer, applied data scientist or machine-learning engineer who wants to work on..."
Data Analyst,Zapier,"San Francisco, CA",,"We're looking for a Data Analyst to join the data team at Zapier. Regardless of how well you feel you fit our description, we encourage you to apply if you love..."
Data Engineer,Collective Health,"San Francisco, CA",,You'll also work collaboratively with health data scientists and actuaries to productize insights derived from their analysis....
Data Engineer,Doximity,"San Francisco, CA",,"You will join a small team of data infrastructure engineers (4) to build and maintain all aspects of our data pipelines, ETL processes, data warehousing,..."
"Data Analyst, Business Insights",Doximity,"San Francisco, CA",,"Collaborate with a team of product managers, analysts, data scientists, and other developers to define and complete data projects. Data storage solutions:...."
Data Scientist,Splunk,"San Francisco, CA 94107 (South Of Market area)",,You understand various types of data. You will advocate for data science and machine learning through engaging with the external data science community and/or...
Senior Quantitative Researcher in Education - REMOTE,Pearson,"San Francisco, CA",,"+ Proficiency in data processing, data mining, and data visualization. + Build data expertise and own data quality for allocated areas of efficacy data...."
"Computational Biologist, Data Science Research",Counsyl,"South San Francisco, CA 94080",,We are seeking a computational biologist—anywhere in the spectrum from the mathematically inclined molecular biologist to the software savant with basic...
Machine Learning Engineer,Hired,"San Francisco, CA",,Strong understanding of all the data in the company and champion data collection from all sources. Generate innovative new features using external and internal...
Sr Data Scientist,Esurance,"San Francisco, CA",,Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....
Lead Data Scientist - 47179BR,Aetna,"San Francisco, CA",,Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
"Senior Data Scientist, Maps",Uber,"San Francisco, CA 94103 (South Of Market area)",,Moving the needle in our most competitive markets through predictive modeling and end-to-end ownership of impact assessmentDevelopment of novel machine learning...
"Senior Data Scientist, Central Strategic Analytics",Zynga,"San Francisco, CA",,"Data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling, data visualization...."
Senior Data Scientist - Automatic Labs,SiriusXM,"San Francisco, CA 94110 (Mission area)",,"Strong Data Exploration and Data Mining Skills (data visualization, feature reduction, and identification)...."
"Data Scientist / Senior Data Scientist, User Acquisition",Zynga,"San Francisco, CA",,"Senior Data Scientist, User Acquisition. Data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling, data..."
Lecturer - Statistics,University of California Berkeley,"Berkeley, CA",,Concepts in Computing with Data. Introduction to Data Science STATISTICS 20:. Introduction to Probability & Statistics for Life Scientists STATISTICS 133:....
Data Scientist,King.com,"San Francisco, CA",,2 years experience in data science or marketing analytics role. We have a new opportunity for a brilliant Data Scientist to join the Platform Partnerships...
Data Scientist,Wikimedia Foundation,"San Francisco, CA",,The Wikimedia Foundation is looking for a seasoned data scientist to join the Contributors team. Data Scientists at the Wikimedia Foundation are key members of...
Data Scientist,Twitter,"San Francisco, CA 94103 (South Of Market area)",,"You’re a data scientist with a track record of delivering results. The small teams of talented, passionate people in which you’ll work will include engineers..."
Data Scientist,Castle Global,"San Francisco, CA",,"Data Science Team. In order to execute our vision, we are looking to expand our team of data scientists. Our ideal candidate has experience working with massive..."
Data Scientist,Dropbox,"San Francisco, CA",,Partner closely with data scientists to develop internal and external data sources to be used in propensity modeling and predictive analytics....
Data Scientist,HotelTonight,"San Francisco, CA",,"As the only Data Scientist on the Data & Strategy team, you will be responsible for implementing and fostering an environment that thrives on advanced analysis...."
Data Scientist,Collective Health,"San Francisco, CA",,"Proficient skills in statistics and data modeling (regression, significance testing, multivariate statistics, dirty data, sparse data...."
Data Scientist,Esurance,"San Francisco, CA",,Extensive experience in data management and data scrubbing. Data scientists in the group develop tangible and actionable recommendations that are then...
Data Scientist,Wish,"San Francisco, CA",,Wish is looking for an exceptional Pricing Data Scientist to join our Product Engineering team. Experience with Tableau or data visualization software a plus....
Data Scientist,Medic Mobile,"San Francisco, CA",,Diverse data analysis and data visualization experience. The Data Scientist will also conduct targeted and exploratory data analyses on strategic projects and...
Data Scientist,Womply San Francisco,"San Francisco, CA",,"We want people who love data. Analyze, process, evaluate, and document large data sets. Strong grasp of Python for data manipulation and analysis (including..."
Data Scientist,Avani Tech Solutions,"San Francisco, CA",,Performs collaborative work on data science problems and mentor junior data scientists. We are seeking an experienced Data Scientist in the Digital Catalyst...
Data Scientist,Opendoor,"San Francisco, CA",,As a Data Scientist you will:. We’re seeking an exceptional Data Scientist to join us in building data products at the core of the company....
Data Scientist,Ancestry,"San Francisco, CA",,"We’re looking for a Data Scientist to join and help grow this exciting team. By joining this data science team, you will be a member of the global Data Science..."
Data Scientist,Ancestry,"San Francisco, CA",,"We’re looking for a Data Scientist to join and help grow this exciting team. By joining this data science team, you will be a member of the global Data Science..."
Data Scientist,Womply,"San Francisco, CA",,"Our team is comprised of Data Scientists, Engineers, and Analysts that use Womply’s vast and growing data to drive better decision-making...."
Data Scientist,Databricks,"San Francisco, CA",,"As a data scientist in the data team you will use Databricks to process and analyze Databricks customer usage data, and define correct user engagement metrics..."
Data Scientist,Thumbtack,"San Francisco, CA",,"We're looking for data scientists with deep expertise in statistics, machine learning, optimization, and/or building data products...."
Data Scientist,"Grammarly, Inc.","San Francisco, CA",,"By month three, you will take over management of current data scientists and independently work on medium- to high-complexity data projects (including A/B tests..."
DATA SCIENTIST,Ultimate Software,"San Francisco, CA",,Work with other data scientists and engineers to develop the core predictive analytics and other statistical functionality of our enterprise software platform....
Data Scientist,Eaze,"San Francisco, CA",,"As a Data Scientist at Eaze, you'll report to the Director of Analytics and work as the primary stakeholder and lead in the department's proactive data research..."
Data Scientist,ThirdLove,"San Francisco, CA",,We’re seeking an experienced Data Scientist who can unlock the power of customer data to drive innovation and testing in our size/style recommendation...
