position,company,location,salary,summary
Research Internship,Lockheed Martin,"Cherry Hill, NJ 08002",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Data Analytics Research Intern,Lockheed Martin,"Cherry Hill, NJ 08002",,"Exposure to advanced Informatics-relevant technologies such as Data Science, Artificial Intelligence, Machine Learning, Data Analytics, -Computational..."
Data Engineer - Machine Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use your software development and data mining skills to build data sets, data quality metrics, and automation tools to enhance our research and system..."
"Sr. Analyst, Data Science Integration",Comcast,"Philadelphia, PA 19103 (Belmont area)",,"The Senior Analyst, Data Science Integration will join a growing team team of data scientists, data engineers, and software developers to create, operationalize..."
Senior Data Scientist - Center for Analytics and Insights,Vanguard,"Malvern, PA",,"If you’re interested in being considered for future Data Scientist openings within Vanguard, please submit your information to Vanguard’s Senior Data Scientist..."
"Associate, Data Scientist",KPMG,"Philadelphia, PA",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Supervisor of Applied Data Science,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",,"This may include, but is not limited to, efforts that provide feature extraction from unstructured data, information query and retrieval, data annotation and..."
Data Engineer,Sidecar,"Philadelphia, PA 19107 (City Center East area)",,Support our data scientists by scaling EMR jobs. We’re looking for a Data Engineer to join our rapidly growing Data Engineering team....
Data Science/ Analytics Curriculum Developer,Qlik,"Radnor, PA",,Beginning level data scientist. The Data Scientist Curriculum Developer for the Data Literacy Program will have the opportunity to build and expand Qlik’s new...
Clinical Informatics Analyst,University of Pennsylvania Health System,"Philadelphia, PA",,Develop and maintain broad spectrum of analytic capabilities including data scientists. Work with IS across the system to design and develop needed data...
Research & Data Analyst,Community College of Philadelphia,"Philadelphia, PA",,Process and interpret data from specified College data collection systems including predictive analytics. Experience with research statistical techniques and...
Research Analyst,Independence Blue Cross,"Philadelphia, PA",,"The Research Analyst is responsible for the following: Conducts research evaluation on medical devices, drugs, biologicals and procedures in order to evaluate..."
Data Science/ Analytics Curriculum Developer,Qlik,"Radnor, PA",,Beginning level data scientist. The Data Scientist Curriculum Developer for the Data Literacy Program will have the opportunity to build and expand Qlik’s new...
Quantitative Research Analyst,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"In this role, you will examine global markets, utilize terabytes of trading data, and leverage your statistical analytic skills to build models and strategies..."
Data Science Developer - Intermediate,Vanguard,"Malvern, PA","Estimated salary: $89,000 - $113,000 a year","Knowledge of data engineering and experience with big data. Experience in designing, developing, integrating and running business, big data and/or data science..."
Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)","Estimated salary: $103,000 - $131,000 a year","We are looking for a Senior Data Scientist to join our analytics team. Our team works cross-functionally with the program, product and engineering teams.The..."
Data Statistician,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,"Philadelphia, PA",,"Strong technical data analytical skills. Apply data management and statistical methods and the use of data management, computational, and analytic software...."
"Sr. Director, Data Science",Comcast,"Philadelphia, PA 19103 (Belmont area)",,Work closely with data warehouse architects and software developers to generate seamless data science solutions....
Senior Data Scientist,Sidecar,"Philadelphia, PA 19102 (City Center West area)",,We’re seeking an experienced Senior Data Scientist who likes to get deep in the trenches – tackling the hardest data processing problems and delivering the most...
Senior Research Scientist,AIG,"Philadelphia, PA",,"Develop vulnerability functions for structural and non-structural components subjected to wind based on engineering analysis, information from the scientific..."
STATISTICAL PROGRAMMER,University of Pennsylvania,"Philadelphia, PA",,"The programmer will work collaboratively and interface with faculty, research scientists, and trainees forming a diverse imaging and data science team that will..."
Bioinformatics Scientist I,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,"Data Analysis (10%):. Provides efficient data management support including file transfers, data formatting and manipulation, and basic integration of data from..."
Sr. Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Mentors and train junior team members.- Improve products and services or solve problems using best practice and knowledge of internal and or external business...
Summer Internship for Research Department - Data Sourcing Analyst,Federal Reserve Bank of Philadelphia,"Philadelphia, PA",,Summer Internship for Research Department - Data Sourcing Analyst-253288. Clean up the archival source data that trace the labor markets experiences of...
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"West Chester, PA",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
