position,company,location,salary,summary
Senior Data Scientist,L3 Technologies,"Tempe, AZ",,Senior Data Scientist. Work with and analyze large amounts of data. The Senior Data Scientist will be responsible for performing sophisticated analytics and...
Research Associate I,TGen,"Phoenix, AZ",,"Analyze and organize test data. Participate in planning experiments, evaluating/interpreting test results, developing conclusions, and devising solutions to..."
DATA ANALYST STOPS,Camris International,"Phoenix, AZ",,Participates in the developmental design of databases for tracking and statistical purposes that incorporate multiple data fields required by scientists....
Entry Level Facilities Contracts Analyst,BOEING,"Mesa, AZ 85215 (Northeast area)",,Scientists and thinkers. Perform market & data. Boeing Shared Services Group (SSG) has....
"Analyst, Research",JLL,"Phoenix, AZ 85016 (Camelback East area)",,"This team member will enhance our offerings in the areas of business intelligence, data visualization, and graphical output...."
Benefits Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",,"Skilled scientists and thinkers. Required competencies include data and analytics, communication, leadership, Human Resource policies, supplier contracting, and..."
Operations Research Analyst (Recent Graduate),Department of the Army,"Phoenix, AZ","$40,896 - $66,671 a year",Data Entry and Analysis. Civilian employees serve a vital role in supporting the Army mission....
Research Scientist Trainee II,Phoenix Children's Hospital,"Phoenix, AZ 85002 (Central City area)",,"Collects, analyzes, and interprets data. Designs, performs, and/or oversees experiments and data collection to ensure data integrity, quality control, and..."
Senior Quantitative Researcher in Education - REMOTE,Pearson,"Chandler, AZ 85226",,"+ Proficiency in data processing, data mining, and data visualization. + Build data expertise and own data quality for allocated areas of efficacy data...."
"Manager, Business Insights (Data Analytics and Analysis)",TriWest Healthcare Alliance,"Phoenix, AZ",,Provide input into the development of business intelligence and data analysis tools. Oversee analysis which supports the business in identifying and resolving...
Bioinformatics Scientist,Caris Life Sciences,"Phoenix, AZ",,Conduct analysis on biomarker discovery and clinical diagnostics data. Consult on experiment design and data interpretation for laboratory research....
Senior Quantitative Analyst/Risk Modeler,Western Alliance Bank,"Phoenix, AZ",,"Data Analysis with large complex data sets and data warehouses. Participate in data analytics, statistical model development, statistical testing, requirement..."
CHEMICAL INFORMATICS SCIENTIST,Camris International,"Phoenix, AZ",,Experience with data mining. Provides statistical support on research data. Manages large volumes of data obtained from scientific experiments....
Associate,Exponent,"Phoenix, AZ 85027",,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
Research Analyst,Arizona State University,"Tempe, AZ","$43,920 a year",Assist with data collection and verification; Experience conducting survey-based data collection and research....
Research Remediation Analyst 1,Wells Fargo,"Phoenix, AZ",,"Job Description At Wells Fargo, our vision is to satisfy our customers’ financial needs and help them succeed financially. In this role, you will help us..."
