position,company,location,salary,summary
Statistical Data Analyst,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
Data Scientist,Intellect Design Arena,"Piscataway, NJ",,"Process, cleanse and verify integrity of data for the data analysis. Analyze, identify, and assess data attributes using R, Python, SQL, Hive, Tableau & D3.js...."
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"Somerville, NJ",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
Clinical Data Associate III,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",,"Assisting in the developing the data transfer specifications, the data mapping specifications, the data quality review plan and the data validation..."
Associate Research Scientist,Bristol-Myers Squibb,"New Brunswick, NJ",,"The position involves a mixture of laboratory science and experimentation, modeling, data analysis, process documentation, and technical support during scale-up..."
Research Scientist II,Amneal Pharmaceuticals,"Piscataway, NJ",,Support DPI and MDI formulation and process through data generation with in Amneal laboratories. The Research Scientist II will provide scientific and technical...
Research Internship,Lockheed Martin,"Arlington, NJ",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Group Head Clinical Data Sciences Team (H/F),Sanofi US,"Bridgewater, NJ",,"Global Medical Affairs & Data Sciences team , The Head of the Clinical Data Sciences Team leads a team of clinical data scientists (France and US) working in..."
SAS Programmer/Statistical Analyst,Insmed Incorporated,"Bridgewater, NJ 08807",,This position will be responsible for SAS programming and statistical analytics for clinical study and other data....
Machine Learning Engineer,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",,"Engineers and Data Scientists. Engineering and data science; Mathematics, Operations Research, Data Science). Expertise in application, data and infrastructure..."
Entry-level Environmental Scientist,Wood,"Somerset, NJ",,"Responsibilities for this position include assisting with all aspects of environmental and natural resource investigations, including but not limited to data..."
Lead Statistician,"Frontage Laboratories, LLC","Somerset, NJ",,"Have in depth knowledge of FDA, EMEA, and ICH guidelines and regulations and in industry data standards, e.g., CDISC SDTM and ADAM...."
Data Scientist IT Analyst 1 of 2,Johnson & Johnson Family of Companies,"Somerville, NJ",,"There are many ways to explore and analyze data, and this drives the excitement and passion of data scientists at J&J as many business units are eager to..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
Statistician/Consult Predictive Analytics,Dun & Bradstreet,"Short Hills, NJ",,Drive timely retrieval of risk analytics data from existing systems to create algorithms that meet business needs....
Statistician - TS/MS,Eli Lilly,"Branchburg, NJ",,"Interact with development scientists and molecule stewards, within and across Lilly sites. Develop statistical models and data analysis/visualization tools as..."
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Sr. Staff/Staff Engineer - Data Analytics/Machine Learning,Huawei,"Bridgewater, NJ",,"Staff/Staff Engineer - Data Analytics/Machine Learning. Prototyping and validation using statistical and data mining tools, and big data processing platform..."
"Senior Scientist, Quantitative Pharmacology and Pharmacometrics",Merck,"Rahway, NJ",,"Data management and analysis. Senior Scientists work in collaborative teams with more experienced scientists, and are expected to have or develop expertise in..."
Postdoctoral Research Scientist Fellowship (1 Year),Veeco,"Somerset, NJ",,"Veeco currently has a 1 year Postdoctoral Research Scientist fellowship opportunity in Somerset, NJ. Needs to be experienced in DOE and experimental data..."
Statistical Programmer,Wuxi AppTec,"Plainsboro, NJ",,They also liaise with other departments to properly implement data models (e.g. Demonstrates a good understanding of tabulation and analysis data structure...
Data Scientist,Wipro Limited,"East Brunswick, NJ",,"Skills - Hands On With Statistical Modeling, Data Prep, Soft Skills, Visualization Experience, Domain, Process Experience, R, Python, SAS, SQL, Data Scientist –..."
Sr. Staff/Staff Engineer - Data Analytics/Machine Learning,Huawei,"Bridgewater, NJ",,"Staff/Staff Engineer - Data Analytics/Machine Learning. Prototyping and validation using statistical and data mining tools, and big data processing platform..."
Sr. Research Investigator - Specialty Analytical Sciences,Bristol-Myers Squibb,"New Brunswick, NJ",,Experience with Empower data systems highly desired. Demonstrated ability to accept and adapt to change and proactively manage ambiguity and risk and make...
Postdoctoral Research Scientist Fellowship (1 Year),Veeco,"Somerset, NJ",,"Veeco currently has a 1 year Postdoctoral Research Scientist fellowship opportunity in Somerset, NJ. Needs to be experienced in DOE and experimental data..."
Data Analyst,iCIMS,"Holmdel, NJ",,"Investigate data quality issues, root causes and remedies to be implemented by the data scientists and engineers...."
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
Program Manager with strong Data analysis/BFS domain skills,L&T Infotech,"Edison, NJ",,"Program Manager with strong Data analysis, BFS domain skills. Around 15 years of experience in Program Management with strong Data analysis / domain skills...."
Machine Learning Software Engineer,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",,"Advanced knowledge of application, data and infrastructure architecture disciplines. In 14 technology hubs worldwide, our team of 40,000+ technologists design,..."
"Data Scientist, Clinical Data Sciences Team",Sanofi US,"Bridgewater, NJ",,"Data Scientist, Clinical Data Sciences Team. The Data Scientist main responsibility is to address research questions using advanced analytics and data sciences,..."
LIMS Data Analyst,Bristol-Myers Squibb,"Hopewell, NJ",,"Test new functionality, support scientists as the scientists test new templates, and make necessary changes, in an iterative manner...."
Quantitative Analyst(US Equity and Quant Strategy),TransReach,"Jersey City, NJ",,"Must enjoy working with complex data, and compiling new datasets. The candidate will work for the US Equity and Quant Strategy research working alongside Senior..."
Project Scientist,Weston Solutions,"Edison, NJ",,"Given results desired, determines best method of data gathering, data base management, and analysis of data to achieve goals...."
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
"Research Scientist, Proteins",Katalyst Healthcares & Life Sciences,"Bridgewater, NJ",,Interpreting and presenting scientific data that contribute to our understanding of macromolecules. A good candidate should have an excellent team oriented...
Staff Research Scientist,Veeco,"Somerset, NJ",,"Needs to be experienced in DOE and experimental data process tools and techniques (JMP, Minitab, etc.). We are currently looking for a hands-on Epitaxial Growth..."
Senior-Inventive Scientist (Labs- Big Data Research),AT&T,"Bedminster, NJ 07921",,Data Scientists will usually have a Master’s; Qualified candidates may be asked to submit a Research Statement (required for Inventive Scientist applicants) and...
Lead Statistician - Genomics and Biomarkers Oncology,Bayer,"Whippany, NJ",,"Your tasks and responsibilities The primary responsibilities of this role, Lead Statistician, are to: Take the statistical lead for projects regarding..."
Data Research Analyst,InventiveSMi,"Princeton, NJ",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
Senior Data Scientist,Verizon,"Basking Ridge, NJ 07920","Estimated salary: $116,000 - $147,000 a year",Experience connecting sales/operational/channel data between multiple online and offline data sources. Completing the full analytics journey from stitching data...
Associate Scientist Analytical R&D,Chenoa Information Services,"Bridgewater, NJ 08807",,Associate Scientist – Analytical R&D. The Associate Scientist position will support R&D by testing various samples in support of formulation development;...
Senior Data Scientist,Verizon,"Basking Ridge, NJ 07920",,Experience connecting sales/operational/channel data between multiple online and offline data sources. Completing the full analytics journey from stitching data...
Data Research Analyst,InventiveSMi,"Princeton, NJ",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
Lead Statistician - Genomics and Biomarkers Oncology,Bayer,"Whippany, NJ",,"Your tasks and responsibilities The primary responsibilities of this role, Lead Statistician, are to: Take the statistical lead for projects regarding..."
Quantitative Risk Analyst,AXA,"Jersey City, NJ",,"The mission of the Hedging team is to enable the company to deliver its promises to our policyholders, by mitigating the risks that arise from the economic..."
Fellowship - Real World Data Analytics - HEOR Job,Novo Nordisk,"Plainsboro, NJ 08536",,The Fellow works closely with MDA Data Scientists as a member of the study team on select research project....
Postdoctoral Research Scientist,Colgate-Palmolive,"Piscataway, NJ 08854",,"Colgate-Palmolive invites applications to a postdoctoral research Scientist (PDRS) position located in Piscataway, NJ...."
Associate Professional Specialist (Statistician/Quantitative Analyst),Princeton University,"Princeton, NJ",,"Familiarity with big data analysis, computational statistics, data mining, and/or econometrics is highly desirable...."
Bioinformatics Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,Identify opportunities for improvement of analytical pipelines and data management tools that can enhance data analysis strategies....
Associate Scientist-Instrumental Evaluation,L'Oreal USA,"Clark, NJ 07066",,"Experience in processing data and statistical analysis is required; Analyzes instrumental test data and prepares reports, memos, and presentations to clearly..."
Statistician,Global Pharmatek,"Jersey City, NJ 07302 (Downtown area)",,"Title: Statistician Duration: 06 Months Location: Durham, NC 27709 Job Description: Provide statistical support and conduct statistical analysis for Seed ..."
Data Scientist / Sr. Data Scientist,EXL,"Jersey City, NJ",,"Data Scientist / Sr. We are looking for Data Scientists who can develop state of the art, scalable, and self-learning systems for enterprises...."
Data Scientist,Honeywell,"Morris Plains, NJ 07950",,Data science methods promotion. Understanding of best-in-class model and data configuration and development processes....
Postdoctoral Research Scientist,Colgate-Palmolive,"Piscataway, NJ 08854",,"Colgate-Palmolive invites applications to a postdoctoral research Scientist (PDRS) position located in Piscataway, NJ...."
Business Intelligence – Data Analyst,Conduent,"Florham Park, NJ",,"To make this possible, they are looking for data analysts / data scientists to help answer questions across a broad range of business functions and industry..."
Data Scientist,Munich Re America,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Data Scientist,Hartford Steam Boiler,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Business Consultant - Statistical Bureau Reporting,Verisk Analytics,"Jersey City, NJ",,"Work closely with ETL team for implementing data transformation rules, data validations in to the data warehouse...."
Senior Quantitative Analyst,Prudential,"Newark, NJ",,"Working with large sets of data and live data consumption, the standard quant databases, in fast-paced environments including data feeds from the morning result..."
Software Architect - Machine Learning,Siemens AG,"Princeton, NJ",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 200090 Primary Location: United States-New Jersey-Princeton Assignment...
Data Scientist,Hartford Steam Boiler,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Senior Quantitative Analyst,Prudential,"Newark, NJ",,"Working with large sets of data and live data consumption, the standard quant databases, in fast-paced environments including data feeds from the morning result..."
Software Architect - Machine Learning,Siemens AG,"Princeton, NJ",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 200090 Primary Location: United States-New Jersey-Princeton Assignment...
Business Consultant - Statistical Bureau Reporting,Verisk Analytics,"Jersey City, NJ",,"Work closely with ETL team for implementing data transformation rules, data validations in to the data warehouse...."
Senior Statistician,Bed Bath & Beyond,"Union, NJ 07083",,Experience with various data types (e.g. Answer key business questions by using analytical & statistical techniques on data....
Business Intelligence – Data Analyst,Conduent,"Florham Park, NJ",,"To make this possible, they are looking for data analysts / data scientists to help answer questions across a broad range of business functions and industry..."
Postdoctoral Research Fellow – Biologics Process Development,Merck,"Kenilworth, NJ",,"Strong skills in critical thinking, laboratory experimentation and data analysis. Experience with interpreting data generated from HPLC, NMR, mass spectroscopy,..."
"Head, Statistical Programming & Analysis",Johnson & Johnson Family of Companies,"Raritan, NJ",,"Establishing Janssen Data Analysis team as an industry. High-end programming solutions for data exploration, design evaluation etc...."
Marketing Research Analyst,Prudential,"Newark, NJ 07102 (Central Business District area)",,"Proficiency in data analysis using Excel. Assist with data merging, cleaning, tabulation and synthesis...."
Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,The candidate is expected to be able to integrate multi-omic data from preclinical data or clinical. Experience working with clinical trial data is a plus....
