position,company,location,salary,summary
Associate Data Scientist,Highmark Inc,"Pittsburgh, PA 15222 (Strip District area)",,"Asse mble the data set using knowledge of where the required data exist within Organization's source data system, derived production sets or publicly available..."
Associate Data Scientist,Highmark Health,"Pittsburgh, PA",,"Asse mble the data set using knowledge of where the required data exist within Organization's source data system, derived production sets or publicly available..."
Machine Learning Research Scientist - 2007236,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"We have access to a wide variety of cyber-related data, including malware samples, netflow data, cybersecurity training runs and tests, incident tickets, and..."
Machine Learning Intern,Qeexo,"Pittsburgh, PA",,"We are looking for a machine learning intern who loves working with sensor data, loves developing novel algorithms, is not afraid of challenging, open-ended..."
Quantitative Analytics & Model Development Analyst,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,Data Gathering and Reporting - Working Experience. Works with large data to create models. Working with complex data to monitor and assess models....
"Multimedia and Communications Specialist, Machine Learning Department",Carnegie Mellon University,"Pittsburgh, PA",,"Machine Learning is about machines improving from data, knowledge, experience, and interaction. You should have a deep understanding of industry trends and..."
Data Scientist,Matrix Solutions,"Pittsburgh, PA 15212",,To manipulate data and draw insights from large data sets. Develop custom data models and algorithms to apply to data sets....
Sr. Assoc Machine Learning Modeler / Data Scientist,ZestFinance,"Pittsburgh, PA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Sr. Data Scientist,Matrix Solutions,"Pittsburgh, PA 15212",,Data Scientist to join our team. To manipulate data and draw insights from large data sets. Develop custom data models and algorithms to apply to data sets....
Data Scientist,Highmark Health,"Pittsburgh, PA",,"We're searching for a Data Scientist to help us drive audit innovation using Analytics, Machine Learning, and Data Engineering;..."
Machine Learning Engineer (Natural Language),Duolingo,"Pittsburgh, PA",,"Apply ML and NLP methods to massive data sets. You will work with a diverse team to come up with new and interesting hypotheses, test them, and then scale them..."
Statistician,UPMC,"Pittsburgh, PA 15213 (North Oakland area)",,Write new programs for data analysis and conduct new data analysis as needed. Clinical data entry and the application of....
Machine Learning Research Engineer,Qeexo,"Pittsburgh, PA",,"Data Structures and Algorithms (familiar). Comfortable working in a terminal environment, writing scripts (Bash/Python) to process data and implement algorithms..."
Research Intelligence Analyst,Allegheny Singer Research Institute,"Pittsburgh, PA 15212",,"Delivers ad hoc data and report requests, analyzes data needs for both users and projects, investigates and analyzes data discrepancies, and assists in..."
Machine Learning Engineer (Vision & Speech),Duolingo,"Pittsburgh, PA",,"Apply ML and image/video/speech processing methods to massive data sets. You will work with a diverse team to come up with new and interesting hypotheses, test..."
Senior Data Scientist,Omnicell,"Cranberry Township, PA",,"Senior Data Scientist. Perform data validation, preparation and exploration with various data structures and formats...."
"Research Intern, Machine Learning (PhD University Student)",Facebook,"Pittsburgh, PA",,Multiview Data Compression for Machine Perception ; Careers at Oculus....
Predictive Analytics Graduate Intern Summer 2018,Highmark Inc,"Pittsburgh, PA 15222 (Strip District area)",,"Assemble the data set using the Organization's source data system, derived production sets or publicly available sources...."
Business Analyst,ZestFinance,"Pittsburgh, PA",,Work closely with our team of data scientists who build machine learning models; Applies its unique credit-decisioning technology platform — based on data...
Information Scientist,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,"Data Architecture - Working Experience. Data, Process, Events, Objects - Basic Experience. Providing data analysis for our various lines of businesses...."
Quantitative Analytics & Model Development Analyst Sr,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,Data Gathering and Reporting - Working Experience. Analyzes complex data and associated quantitative analysis. Makes recommendations based on findings from data...
Predictive Analytics Graduate Intern Summer 2018,Highmark Health,"Pittsburgh, PA",,"Assemble the data set using the Organization's source data system, derived production sets or publicly available sources...."
Research Scientist - 2007249,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"As a research scientist on our team, you will identify, shape, conduct, and apply research that matches critical U.S...."
Principal Data Management & Quantitative Analysis,BNY Mellon,"Pittsburgh, PA 15219 (Middle Hill area)",,"Oversees the development of statistical, financial and/or econometric models for analyzing asset performance, client reference data, securities data, derivative..."
"Research Scientist-Therapeutic Tumor Microenvironment Strategies, NewCo2",UPMC,"Pittsburgh, PA 15206 (Larimer area)",,"And conduct laboratory experiments, and evaluate and interpret data. Description Under the direction from the Program Coordinator, the candidate applies his/her..."
Market Research Analyst Sr,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,Data visualization tools such as Tableau. Ability to use this knowledge and data to assist in making business decisions....
