position,company,location,salary,summary
Data Science/ Analytics Curriculum Developer,Qlik,"Radnor, PA",,Beginning level data scientist. The Data Scientist Curriculum Developer for the Data Literacy Program will have the opportunity to build and expand Qlik’s new...
Statistical Programmer,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
"Business Analyst, Scientific Business Units",Merck,"West Point, PA",,"Understand of data flow relationships and experience with driving data stewardship initiatives. Experience with completing risk, regulatory, and data security..."
Data Scientist,QuintilesIMS,"Plymouth Meeting, PA",,"DATA SCIENTIST (PREDICTIVE ANALYTICS/ MACHINE LEARNING). Experience with patient-level, longitudinal data...."
Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience with large data sets and basic knowledge of SAS programming languages in both PC and mainframe environments is preferred....
Senior Statistician,QuintilesIMS,"Plymouth Meeting, PA",,Experience analyzing very large amounts of data. Experience working with Patient-level and/or medical claims-level data....
Senior Data Scientist - Center for Analytics and Insights,Vanguard,"Malvern, PA",,"If you’re interested in being considered for future Data Scientist openings within Vanguard, please submit your information to Vanguard’s Senior Data Scientist..."
"Specialist, Regulatory Affairs (CMC Data Management)",Merck,"West Point, PA",,Support CMC scientists in collection of Health Registration Management information to support change assessments....
Data Engineer - Machine Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use your software development and data mining skills to build data sets, data quality metrics, and automation tools to enhance our research and system..."
Automation Informatics & Data Analyst,GlaxoSmithKline,"Collegeville, PA 19426",,Experience with imaging data analysis preferred. Experience with bioactivity data analysis and molecular profiling is desired....
R&D Scientist - Glass Expert,Heraeus Holding GmbH,"Conshohocken, PA",,R&D Scientist - Glass Expert 1. Location Conshohocken - Pennsylvania....
Senior Data Scientist - Center for Analytics and Insights,Vanguard,"Malvern, PA",,"If you’re interested in being considered for future Data Scientist openings within Vanguard, please submit your information to Vanguard’s Senior Data Scientist..."
Data Engineer - Machine Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use your software development and data mining skills to build data sets, data quality metrics, and automation tools to enhance our research and system..."
Data Scientist (Predictive Analytics/Machine Learning),QuintilesIMS,"Plymouth Meeting, PA",,"Experience using big data technology. Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry...."
Market Research & Portfolio Analyst,Johnson Matthey,"Conshohocken, PA",,Generates data for use in new product launch planning. Generates data that drives business-case analysis and which allows to make appropriate recommendations...
Data Scientist - Health Data Sciences,Symphony Health Solutions,"Conshohocken, PA",,HDS is hiring a Data Scientist to join our team. Experience in large volume data analysis and big data (RDBMS/HDFS)....
Data Scientist,CSL Behring,"King of Prussia, PA",,The Data Scientist will accomplish this by utilizing processes and systems to extract knowledge or insights from either structure or unstructured data....
2018 Image Data Scientist Intern,Merck,"West Point, PA",,"Knowledge in mathematical algorithms in areas such as machine learning, deep learning, pattern recognition, data mining, image processing, signal processing,..."
Statistical Programmer - PL/SQL Developer,QuintilesIMS,"Plymouth Meeting, PA",,"Devoted to applying big data to clinical trials, this high-profile team aims to be a global leader in the application of big data within the drug development..."
Data Science Developer - Intermediate,Vanguard,"Malvern, PA",,"Knowledge of data engineering and experience with big data. Experience in designing, developing, integrating and running business, big data and/or data science..."
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"West Chester, PA",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
Quantitative Research Analyst,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"In this role, you will examine global markets, utilize terabytes of trading data, and leverage your statistical analytic skills to build models and strategies..."
Supervisor of Applied Data Science,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Point Breeze area)",,"This may include, but is not limited to, efforts that provide feature extraction from unstructured data, information query and retrieval, data annotation and..."
Statistical Programmer (Associate),Pfizer Inc.,"Collegeville, PA",,Working knowledge of clinical data. Will be learning in the space of programming and data standards. This role is a hands on statistical programmer supporting...
"Sr. Analyst, Data Science Integration",Comcast,"Philadelphia, PA 19103 (Belmont area)",,"The Senior Analyst, Data Science Integration will join a growing team team of data scientists, data engineers, and software developers to create, operationalize..."
"Analyst 2, Mktg Research & Planning",Comcast,"West Conshohocken, PA 19428",,"And/or syndicated data (Scarborough, Experian, Polk, Kantar, etc.)- Understands fundamentals media measurement, research and local cable advertising.-..."
Research Scientist - Deep Learning,Susquehanna International Group,"Bala-Cynwyd, PA 19004",,"You will use data mining, statistical analysis, and deep learning methods to enhance our research and system development...."
"Associate, Data Scientist",KPMG,"Philadelphia, PA",,"Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
Sr Statistical Modeler,Risk Solutions,"King of Prussia, PA",,"Experience processing large data sets. Develop, code, and implement analyses and models using medical claims data, as well as additional related databases such..."
Associate Principal Scientist - GMP Laboratories,Merck,"West Point, PA",,"Possess strong scientific skills including sound experimental design, data processing and interpretation skills...."
Associate Principle Scientist,Merck,"Upper Gwynedd, PA",,"Working knowledge of statistical and data processing software e.g. SAS and/or R. Interacts with Clinical, Regulatory, Statistical Programming, Data Management,..."
Clinical Informatics Analyst,University of Pennsylvania Health System,"Philadelphia, PA",,Develop and maintain broad spectrum of analytic capabilities including data scientists. Work with IS across the system to design and develop needed data...
Research & Data Analyst,Community College of Philadelphia,"Philadelphia, PA",,Process and interpret data from specified College data collection systems including predictive analytics. Experience with research statistical techniques and...
Process Analytics Scientist,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",,"Document laboratory activities electronically and enter process data into database. Process Analytical Scientist responsibilities include, but are not limited..."
Predictive Analytics Manager,Piper Companies,"Plymouth Meeting, PA",,Oversee multiple work streams within projects involving Data Scientists and Clinical Experts. Collaborate with software engineers and data scientists to improve...
"Senior Scientist, Computational Chemistry",Johnson & Johnson Family of Companies,"Spring House, PA",,"Janssen Research & Development, a Johnson & Johnson Company is recruiting for a Senior Scientist, Computational Chemistry to be located Spring House,..."
"Senior Scientist, Computational Biology",Johnson & Johnson Family of Companies,"Spring House, PA",,A background in integrative data analysis approaches of high-dimensional biological data is preferred. Perform data analysis of a variety of omics platforms...
Research Analyst,Independence Blue Cross,"Philadelphia, PA",,"The Research Analyst is responsible for the following: Conducts research evaluation on medical devices, drugs, biologicals and procedures in order to evaluate..."
Data Engineer,SAINT-GOBAIN,"Malvern, PA 19355",,"Working with Architects, business stakeholders, Data Visualization Specialists and/or Data Scientists, determine semantic data access requirements, design..."
Data Engineer,Sidecar,"Philadelphia, PA 19107 (City Center East area)",,Support our data scientists by scaling EMR jobs. We’re looking for a Data Engineer to join our rapidly growing Data Engineering team....
Process Analytics Scientist,Eurofins Lancaster Laboratories Professional Scien...,"West Point, PA",,"Document laboratory activities electronically and enter process data into database. Process Analytical Scientist responsibilities include, but are not limited..."
Scientist / Research Scientist - Chromatography / Mass Spectrometry Job,Arkema Americas,"King of Prussia, PA",,"Analyze and interpret data, and perform additional experiments as needed. Based at Arkema's Corporate Offices and R&D Center in King of Prussia, PA, the..."
ANALYTICAL R&D SCIENTIST II (2 positions),Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST II (2 positions). Key responsibilities are to support the senior analytical scientists for method development, method..."
Associate Research Scientist - Biopharm - cGMP - qPCR,PPD,"King of Prussia, PA",,Associate Research Scientist - Biopharm - cGMP - qPCR - 143465. You would often need to review and compile results for data comparison....
ANALYTICAL R&D SCIENTIST I,Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST I. Key responsibilities are to support the senior analytical scientists for daily analytical activities, including..."
Data Statistician,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,"Philadelphia, PA",,"Strong technical data analytical skills. Apply data management and statistical methods and the use of data management, computational, and analytic software...."
Associate Research Scientist,Charles River Laboratories,"King of Prussia, PA 19406",,"An Associate Research Scientist will serve as a scientist in the conduct of assigned nonclinical research studies of basic complexity, to include study..."
"Sr. Director, Data Science",Comcast,"Philadelphia, PA 19103 (Belmont area)",,Work closely with data warehouse architects and software developers to generate seamless data science solutions....
Senior Data Scientist,Sidecar,"Philadelphia, PA 19102 (City Center West area)",,We’re seeking an experienced Senior Data Scientist who likes to get deep in the trenches – tackling the hardest data processing problems and delivering the most...
STATISTICAL PROGRAMMER,University of Pennsylvania,"Philadelphia, PA",,"The programmer will work collaboratively and interface with faculty, research scientists, and trainees forming a diverse imaging and data science team that will..."
"Sr. Director, Data Science",Comcast,"Philadelphia, PA 19103 (Belmont area)",,Work closely with data warehouse architects and software developers to generate seamless data science solutions....
Senior Data Scientist,Sidecar,"Philadelphia, PA 19102 (City Center West area)",,We’re seeking an experienced Senior Data Scientist who likes to get deep in the trenches – tackling the hardest data processing problems and delivering the most...
Research Scientist Sr Stf,Lockheed Martin,"King of Prussia, PA 19406",,"Manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources combined with empirical research and finding answers to hard..."
Senior Research Scientist,AIG,"Philadelphia, PA",,"Develop vulnerability functions for structural and non-structural components subjected to wind based on engineering analysis, information from the scientific..."
"Senior Scientist, Neurophysiology",Merck,"West Point, PA",,"Experience generating and analyzing functional imaging data including 2 photon imaging. This Senior Scientist will employ whole cell patch clamp, high speed..."
Senior Scientist - GMP Laboratories,Merck,"West Point, PA",,"Possess strong scientific skills including sound experimental design, data processing and interpretation skills...."
"Senior Scientist, Target Protein Design",Merck,"West Point, PA",,"Requisition ID: MOL000379 Merck & Co., Inc. Kenilworth, N.J., U.S.A. known as Merck in the United States and Canada, is a global health care leader with a..."
Bioinformatics Scientist I,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,"Data Analysis (10%):. Provides efficient data management support including file transfers, data formatting and manipulation, and basic integration of data from..."
Sr. Data Scientist,Comcast,"Philadelphia, PA 19103 (Belmont area)",,Mentors and train junior team members.- Improve products and services or solve problems using best practice and knowledge of internal and or external business...
STATISTICAL PROGRAMMER,University of Pennsylvania,"Philadelphia, PA",,"The programmer will work collaboratively and interface with faculty, research scientists, and trainees forming a diverse imaging and data science team that will..."
