position,company,location,salary,summary
Data Scientist Entry Level,Intel,"Hillsboro, OR 97124",,"Data Scientists influence how Intel does business, one data-driven decision at a time! In this role, you may assist business units with casual inferences and..."
Data Analyst,NIKE INC,"Portland, OR",,"The Analytics team needs support for its three lead sustainability experts / data scientists. Data handling (cleansing, manipulation, testing);..."
Data Scientist Intern,NIKE INC,"Beaverton, OR",,"As a Data Science Intern, you will collaborate with a team of data scientists and business analytics managers to enhance and execute high-impact advanced..."
Graduate Machine Learning Security Intern,Intel,"Hillsboro, OR 97124",,"Job Description You will join the Secure Intelligence Team, which is part of Security and Privacy Research SPR in Intel Labs. The mission of SPR is to drive..."
R&D Business Analyst Internship- Portland,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Environmental Data Analyst,"GSI Water Solutions, Inc.","Portland, OR 97204 (Downtown area)",,"Experience with Enviro Data, EqulS, or other environmental data management solutions. Develop and utilize data validation tools in Excel, Access and SQL to..."
Capital Planning Modeler/Quantitative Analyst - Portland,Umpqua Bank,"Portland, OR",,"3-5 years in banking or financial services as a Data Scientist, Statistician, Quantitative Risk Analyst, Model Developer, Model Validator, or similar...."
Senior Data Scientist-Marketplace Analytics - DSM,NIKE INC,"Portland, OR",,"As a Senior Data Scientist, you will play a lead role on a team of cross-functional partners and analytics professionals to identify, scope, suggest new..."
Data Scientist,Cambia Health,"Portland, OR",,Data Scientist - Deep Learning. We are always looking for talented and qualified Data Scientist individuals for future opportunities....
Data Production & Analysis II,Kaiser Permanente,"Portland, OR",,Experience reporting from large databases or data warehouses and understanding of the data relationships within these....
Research Evaluation Scientist,"Multnomah County, OR","Portland, OR","$53,802 - $80,702 a year",Overview Are you a senior-level researcher with experience evaluating criminal justice or related social services? The Department of Community Justice is...
Research Analyst,CBRE,"Portland, OR",,Ability to handle and manipulate large amounts of data. Reviews and evaluates data results collected by themselves and others within the research team to ensure...
Statistician,Genesis Financial Solutions,"Beaverton, OR",,"5+ years of experience managing data scientists, predictive modelers and statisticians. Assess the quality of model methodologies, data sources, software tools,..."
INTERN - Print Supplies Big Data,HP,"Vancouver, WA",,"""Big Data"" is more than a buzzword, it's a growing industry made up of data analysts and data scientists that work through complexity to drive insight and..."
Data Scientist,Cognizant,"Beaverton, OR",,"The Advanced Analytics & Data Science expert will assess information from a range of data stored in disparate systems, integrating data and providing data..."
"Research Analyst (PR0019, 515)","Concordia University, Oregon","Portland, OR",,"Strong technical and analytical skills, creative problem-solving, and high-level understanding of data attributes/structures, data definitions, data sourcing,..."
OHIT Research Analyst (Research Analyst 4),State of Oregon,"Portland, OR",,"In this role, the analyst will work with Meaningful Use attestation data, Electronic Health Record adoption and utilization data, survey data, clinical quality..."
Research Software Developer (Senior Research Associate),Oregon Health & Science University,"Portland, OR","$52,255 - $104,282 a year","The Developer will work together with a diverse team of engineers, scientists, and medical professionals to develop control software for a drug delivery..."
Data Scientist- Advanced Analytics-N. America Analytics,NIKE INC,"Portland, OR",,"As a Data Scientist, you will collaborate with a team of data scientists, solutions delivery managers, engineers, and business stakeholders to enhance and..."
Research Marketing Analyst - New Business Development,Fujimi Corporation,"Tualatin, OR 97062",,This position is responsible for the synthesis of data and marketplace information to determine the appropriate marketing strategy and execution for new...
Research Scientist Internship,Intel,"Hillsboro, OR 97124",,"Background in deep learning, machine learning, big data or Data Science. An important part of this research involves generating new concepts, implementing them..."
Software Engineer - Machine Learning / Data Science,eBay Inc.,"Portland, OR",,Be able to extract patterns from large sets of data in order to deliver business insights from data Basic Qualifications:....
Data Scientist,eBay Inc.,"Portland, OR",,"Help eBay take data to the next level. Hadoop, Hive, Pig, Spark, H2O, etc. -A data miner. Be able to extract patterns from large sets of data in order to..."
"Director, Data Products – Nike Direct",NIKE INC,"Beaverton, OR",,"The products can involve instrumentation of consumer facing solutions, ingestion of data flowing from these systems, curation and management of this data into..."
Data Architect,Willamette Dental Group,"Hillsboro, OR 97124",,"Master Data Management, Enterprise Information Management and Data Governance Framework. Create data monitoring solutions to maintain quality, integrity and..."
Fishery Technician II,Columbia River Inter-Tribal Fish Commission (CRITF...,"Portland, OR",$15.78 - $16.83 an hour,This position reports to the Fisheries Scientist. An interest in fisheries science and experience collecting natural resource data in the field....
Interdisciplinary,Department of the Army,"Portland, OR","$63,815 - $99,439 a year",Physical Scientist (1301). Develop and/or have a strong understanding of water quality models and simulated data....
Expert Data Scientist- Marketplace Analtics- DSM,NIKE INC,"Beaverton, OR",,"As an Expert Data Scientist, you will play a lead role on a team of cross-functional partners and analytics professionals to identify, scope, suggest new..."
Director- Marketplace and Planning Analytics- APLA- DSM,NIKE INC,"Portland, OR",,"Partnering with engineering to drive data enablement as part of an agile team, leading teams of data scientists tackling weighty problem and driving the..."
Research Scientist - New Business Development,Fujimi Corporation,"Tualatin, OR 97062",,"Conduct experiments, instrumental analysis, interpret data, recommend and prepare statistical and narrative reports and report on findings...."
Research Scientist - New Business Development,Fujimi Corporation,"Tualatin, OR 97062",,"Conduct experiments, instrumental analysis, interpret data, recommend and prepare statistical and narrative reports and report on findings...."
Post Doc -- Mass Spectrometry Scientist,Thermo Fisher Scientific,"Hillsboro, OR 97124",,"Performing experiments including working with standard electronics equipment, mass spectrometry instruments, and data acquisition systems...."
Post Doc -- Source Scientist,Thermo Fisher Scientific,"Hillsboro, OR 97124",,"Post-Doc – Source Scientist. Performing experiments including working with standard electronics equipment, high voltage, ultrahigh vacuum equipment, and data..."
Mid-Level Environmental Biologist / Scientist,Wood,"Portland, OR",,Wood Environment & Infrastructure Solutions has an opportunity for a Mid-Level Environmental Biologist or Scientist to fill an on-call position with our natural...
Clinical Research Compliance Policies & Education Analyst,Providence Health & Services,"Beaverton, OR 97005 (Central Beaverton area)",,"Description: Providence is calling a Clinical Research Compliance Policies & Education Analyst. This role can sit in Providence Southgate II in Renton, WA or..."
Model Risk Analyst - Portland,Umpqua Bank,"Portland, OR",,"3-5 years in banking or financial services as a Data Scientist, Statistician, Quantitative Risk Analyst, Model Developer, Model Validator, or similar...."
Nike Direct Product Manager-Nike Direct Analytics-DSM,NIKE INC,"Portland, OR",,Ruthlessly prioritize the work to align with Nike Direct business opportunities • Become a subject matter expert across the entire Nike data & analytics...
Hydrogeologist Job,Golder Associates,"Portland, OR",,Interpretation of hydrogeologic and hydrologic data using data manipulation tools (such as Excel and Access)....
Corporate Research Analyst - 5:00AM Start Time,DiscoverOrg,"Vancouver, WA",,"Verify entered data by reviewing, deleting, or modifying data. Prepare source data for entry by compiling and organizing data and researching incomplete or..."
Corporate Research Analyst,DiscoverOrg,"Vancouver, WA",,"Verify entered data by reviewing, deleting, or modifying data. Prepare source data for entry by compiling and organizing data and researching incomplete or..."
Director Predictive Analytics,Mentor Graphics,"Wilsonville, OR 97070",,"Ongoing sophisticated data mining and ad hoc analysis. The role requires running and transforming the business in partnership with data scientists, architects,..."
Clinical Labratory Research Associate,Centrillion,"Hillsboro, OR",,"Implement quality management procedures, LIMS tracking, data entry, protocol/process deviation documentation...."
Senior Director Global Product Analytics,NIKE INC,"Portland, OR",,"You will lead a team of highly skilled analysts and data scientists who are adept at working with large data sets, advanced algorithms, and big data..."
Postdoctoral Researcher,Oregon Health & Science University,"Portland, OR",,"Molecular/cell biology, genetics, cancer biology, and/or computational biology/bioinformatics/NGS data analyses...."
Principal Software Engineer I,Ixia,"Beaverton, OR",,"Algorithm and data structures expertise are required. Keysight helps scientists and engineers address their toughest challenges with precision and confidence,..."
BUYER II,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Sr. Software Engineer - Machine Learning,Thermo Fisher Scientific,"Hillsboro, OR 97124",,"If you are machine learning scientist with a background in computer vision algorithm development, have great communication skills and you enjoy working with..."
Columbia River Fishery Manager *10787-17,State of Washington,"Ridgefield, WA","$4,706 - $6,417 a month","Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences...."
Principal Windows System Engineer,CDK Global,"Portland, OR","Estimated salary: $90,000 - $114,000 a year","From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Career Seasonal Fish Biologist 1 *11475-17,State of Washington,"Ridgefield, WA","$2,984 - $3,883 a month",Extensive data entry and QA/QC. Oversee the use of electronic data collection media such as I-Pads and other hand-held data collection hardware....
Product Manager,CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Clinical Research Coordinator,Oregon Health & Science University,"Portland, OR","$40,000 - $60,291 a year","Conducting different phases of projects, including data collection and 3-5 years of clinical trial experience...."
Software Engineer,Renaissance,"Vancouver, WA 98662",,"Founded by parents, upheld by educators, and enriched by data scientists, Renaissance knows learning is a continual journey------from year to year and for a..."
Software Product Manager (Content Management),CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
"Sr. Product Mgr, Growth Hacking Innov.",eBay Inc.,"Portland, OR",,You have an intense data orientation. 5+ years consumer product management experience Experience with PM efforts and small self-contained agile development...
Environmental Department Manager I,Terracon,"Portland, OR 97222 (Milwaukie Business-Industry area)",,"Mentor, supervise, and oversee staff environmental scientists and technicians. Experienced in evaluating, and synthesizing complex laboratory and field data,..."
"Manager, Development",CDK Global,"Portland, OR",,"From data scientists to sales and client service experts, we’re hiring to support your growth and ours - Green light your career...."
Chemistry Manager,NIKE INC,"Portland, OR",,This Senior Scientist role is in the Chemistry Center of Excellence and will report to the Director of Chemistry....
Regional Hatchery Operations and Reform Manager *11053-17,State of Washington,"Ridgefield, WA","$5,416 - $7,083 a month","Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences...."
Advanced Technology - Principal Investigator in Semiconductor Lasers,nLIGHT,"Vancouver, WA",,"Provide mentorship to junior engineers and scientists throughout the company. Solid analytical and problem-solving skills, including problem identification,..."
Site Reliability Engineer,"Lithium Technologies, Inc.","Portland, OR 97209 (Pearl District area)",,Helping our engineers and data scientists build software that scales in terms of performance and stability. Site Reliability Engineer (Tooling)....
Model Governance Manager - Portland,Umpqua Bank,"Portland, OR",,"8 years in banking, financial services, or consulting as a Data Scientist, Statistician, Quantitative Risk Analyst, Model Developer, Model Validator, or similar..."
Advanced Technology - Principal Investigator in Semiconductor Lasers,nLIGHT,"Vancouver, WA",,"Provide mentorship to junior engineers and scientists throughout the company. Solid analytical and problem-solving skills, including problem identification,..."
