position,company,location,salary,summary
Statistical Data Analyst,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
LIMS Data Analyst,Bristol-Myers Squibb,"Hopewell, NJ",,"Test new functionality, support scientists as the scientists test new templates, and make necessary changes, in an iterative manner...."
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
Bioinformatics Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,Identify opportunities for improvement of analytical pipelines and data management tools that can enhance data analysis strategies....
Machine Learning,Exxon Mobil,"Clinton, NJ",,"Research will include developing methods for statistical inference on complex systems with uncertainty and missing data, developing deep neural networks for..."
Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,The candidate is expected to be able to integrate multi-omic data from preclinical data or clinical. Experience working with clinical trial data is a plus....
Data Research Analyst,InventiveSMi,"Princeton, NJ",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
Associate Professional Specialist (Statistician/Quantitative Analyst),Princeton University,"Princeton, NJ",,"Familiarity with big data analysis, computational statistics, data mining, and/or econometrics is highly desirable...."
Statistical Programmer,Wuxi AppTec,"Plainsboro, NJ",,They also liaise with other departments to properly implement data models (e.g. Demonstrates a good understanding of tabulation and analysis data structure...
Associate Research Scientist,Bristol-Myers Squibb,"New Brunswick, NJ",,"The position involves a mixture of laboratory science and experimentation, modeling, data analysis, process documentation, and technical support during scale-up..."
Data Scientist,Munich Re America,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Data Scientist,Hartford Steam Boiler,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Software Architect - Machine Learning,Siemens AG,"Princeton, NJ",,Division: Corporate Technology Business Unit: Corporate Technology Requisition Number: 200090 Primary Location: United States-New Jersey-Princeton Assignment...
"Research Investigator, Translational Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The scientists in this group analyze real-world health data, design experiments and analyze both pre-clinical and clinical -omics data sets, including RNA-Seq,..."
Data Analyst,iCIMS,"Holmdel, NJ",,"Investigate data quality issues, root causes and remedies to be implemented by the data scientists and engineers...."
Fellowship - Real World Data Analytics - HEOR Job,Novo Nordisk,"Plainsboro, NJ 08536",,The Fellow works closely with MDA Data Scientists as a member of the study team on select research project....
Molecular Analytics Scientist,Bristol-Myers Squibb,"Princeton, NJ 08540",,"Machine learning and data mining models for leveraging matched molecular pairs, assay data, crystallographic databases, etc...."
Molecular Analytics Scientist,Bristol-Myers Squibb,"Princeton, NJ 08540",,"Machine learning and data mining models for leveraging matched molecular pairs, assay data, crystallographic databases, etc...."
Research Associate,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Oversee data collection, data entry and check work. Design data analysis plans; Research Design, Data Collection and Analysis:...."
"Senior Data Scientist, R&D Technology & Advanced Analytics",Johnson & Johnson Family of Companies,"Somerville, NJ",,The Senior Data Scientist will:. The Data Sciences department is focused on unleashing the value from data and enable data driven applications and innovation...
Data Science Programming Manager,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
Analytical Development Scientist - PNJ2016-051,Patheon Inc.,"Princeton, NJ",,Present and discuss data at project and department meetings. These are entry or intermediate level scientist positions in the Analytical Development group...
US HEOR RESEARCH SCIENTIST,Bristol-Myers Squibb,"Princeton, NJ 08540",,Previous experience in publishing scientific data. Support the development of an aligned strategy for US Health Economics and Outcomes Research (HEOR) to...
"Director Research, Next Generation Psychometrics and Data Science",Educational Testing Service (ETS),"Princeton, NJ 08541",,"The Psychometrics, Statistics & Data Sciences (PSDS) area of Research & Development seeks a Director for its Next Generation Psychometrics & Data Science (NGP..."
Postdoctoral Research Associate - Statistical Analysis,Princeton University,"Princeton, NJ",,"The Department of Astrophysical Sciences, Princeton University has as an open postdoctoral or more senior research position in the area of statistical analysis..."
External Data Specifications Manager (eDSM),Bristol-Myers Squibb,"Hopewell, NJ",,"Reviews transferred data for quality and validity. Proactively resolves data, vendor and investigative site issues...."
External Protocol Data Manager (ePDM),Bristol-Myers Squibb,"Hopewell, NJ",,"Reviews transferred data for quality and validity. Proactively resolves data, vendor and investigative site issues...."
Principal Scientist,Bristol-Myers Squibb,"Princeton, NJ 08540",,"The responsibilities of the scientist will include:. Experience with general programming and data analysis tools/languages such as Python, R, Matlab, Spotfire,..."
Research Scientist - Data Science,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Data scientist, data analysis, quantitative research, qualitative research, computer science, statistics, theory, technical leadership, conceptualization,..."
Sr. Research Investigator - Specialty Analytical Sciences,Bristol-Myers Squibb,"New Brunswick, NJ",,Experience with Empower data systems highly desired. Demonstrated ability to accept and adapt to change and proactively manage ambiguity and risk and make...
Principal Scientist - QCP,Bristol-Myers Squibb,"Princeton, NJ 08540",,The Clinical Pharmacology & Pharmacometrics (CP&P) department is searching for a scientist with expertise in Pharmacometrics (Pm) and Model-Based Meta-Analysis...
"Market Data Scientist fo QT Fund Ltd, Asset Management",Credit Suisse,"Princeton, NJ 08540",,"Market Data Scientist for QT Fund Ltd, Asset Management. Lead for data set development from raw data into trading/research solution, including understanding of..."
Acoustic Emissions Research Scientist,"MISTRAS Group, Inc.","Princeton Junction, NJ 08550",,He/She will be in charge of setup of data bases for customer data management and archive. Hands-on experience in NDE data management....
Acoustic Emissions Research Scientist,Mistras Métaltec Inc,"Princeton Junction, NJ",,He/She will be in charge of setup of data bases for customer data management and archive. Hands-on experience in NDE data management....
RESEARCH SCIENTIST: IN VITRO PHARMACOLOGY,Bristol-Myers Squibb,"Princeton, NJ 08540",,"Demonstrated independence in experimental design, execution, and data analysis. BMS Immuno-Oncology Small Molecule Discovery is seeking a highly motivated..."
