position,company,location,salary,summary
Researcher,Microsoft,"Redmond, WA 98052",,"Experience in working with biological data a plus; We are a diverse team of engineers, scientists and medical doctors who are working to empower individuals,..."
Machine Learning Scientist,Microsoft,"Redmond, WA 98052",,"Opportunities include user modeling, NLP, data insight generation and many more. The OXO Machine Learning team leverages machine learning and the vast..."
Economic Data Analyst,Zillow,"Seattle, WA 98101 (Downtown area)",,Experience with data visualization software such as Tableau is an advantage. Our mission is to leverage Zillow’s unique proprietary data on American housing –...
Junior Data Analyst (3+ months),SEIU 775 Benefits Group,"Seattle, WA",,A genuine passion for data science and drive to communicate using data. You will join a dynamic business analytics team and work closely with the data...
Data Analyst II,Microsoft,"Redmond, WA 98052",,"Partner with analytics, data science, and data engineering partners for data structures, data availability, and model development...."
Data Engineer,Classy,"Seattle, WA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Reporting and Analytics Leader,"iSpot.tv, Inc.","Bellevue, WA 98008 (Crossroads area)",,"Data warehousing/data mart development support). Hands-on experience with data analysis (e.g. Building and managing a team of analysts, data scientists,..."
SDE-Machine Learning,Posh Technologies,"Redmond, WA",,Someone who is/was a Data scientist and has deployed AI based web services to the cloud. The person should at least have experience with Machine Learning on...
Data Scientist,Microsoft,"Redmond, WA 98052",,"Experience with data mining using SQL, ETL and Data Warehouses. The team is looking for a passionate, creative, analytical and experienced data scientist who..."
Senior Data Scientist - Marketplace Health,HomeAway,"Bellevue, WA",,"As a Data Scientist on the Marketplace Health team,you’ll work with an amazing group of Data Scientists who play a major role inhow we architect, visualize, and..."
Marketing Analyst,Groupon,"Seattle, WA",,"You will develop new data requirements, maintain automated dashboards and reports, analyze marketing performance data and will support the implementation of new..."
Business Insights (BI) Developer,Limeade,"Bellevue, WA 98004 (Downtown area)",,Work closely with data engineers and data scientists to develop reporting and analytics products and tools end-to-end....
Data Scientist,Prifender,"Bellevue, WA 98004 (Downtown area)",,"Experience with data processing in the cloud (e.g. Experience manipulating large data sets from multiple sources (SQL, Hadoop, Teradata, AWS)...."
Data Scientist,BSQUARE,"Bellevue, WA 98004 (Downtown area)",,The Data Scientist will have the opportunity to work closely with the sales and delivery team to provide data products and insight....
Data Analyst,Groupon,"Seattle, WA 98101 (Downtown area)",,"Experience in database analytics, data infrastructure development, and data mining. Proven ability to perform data driven analyses including problem statement,..."
Data Scientist,Beyondsoft Consulting,"Redmond, WA",,"As part of this process, and with support from our data platform and engineering team, you will be working with huge volumes of data to solve real-world data..."
Senior Data Scientist,Pokemon Company International,"Bellevue, WA",,"We are looking for an experienced and creative Senior Data Scientist interested in building, defining and pushing the boundaries of games analytics within the..."
Data Scientist Lead,Microsoft,"Redmond, WA 98052",,"At least 2 years of managing and growing data scientists. Identifies data sources, integrates multiple sources or types of data, and applies expertise within a..."
Machine Learning/Data Engineer Intern,Zillow,"Seattle, WA 98101 (Downtown area)",,"Work closely with business stake holders for data engineering and research scientists on prediction models. Design and code highly scalable, data engineering..."
Data Scientist Engineer Intern,Accolade Inc.,"Seattle, WA",,Come implement algorithms and services to expose machine intelligence in a service-oriented architecture! Your work will enable Accolade’s members to make the...
Statistician,Microsoft,"Redmond, WA 98052",,"While many businesses collect data, few can compete with the breadth and depth of Microsoft’s products and resulting data...."
Data Analyst,Socrata,"Seattle, WA",,"Do you have a passion for solving problems using data, data analysis, and data visualizations? Our data platform and cloud-based solutions support the world’s..."
Principal Data Scientist,Microsoft,"Redmond, WA 98052",,Recruit & develop data scientists. 10+ years of work experience managing data scientist projects. The team is looking for a data scientist that has management...
Principal Data Scientist Lead,Microsoft,"Redmond, WA 98052",,Recruit & develop data scientists. 10+ years of work experience managing data scientist projects. The team is looking for a data scientist that has management...
"Research Scientist, Edge Intelligence",Axon,"Seattle, WA 98103 (Green Lake - Wallingford area)",,Ideal Scientist would have done original deep learning research pertaining to real-time video or audio....
Senior Data Scientist,ServiceNow,"Kirkland, WA",,"Senior Data Scientist - Automation Core. Real passion for data. Flexibility and ability to live with imperfect data, problem definitions, and solutions...."
Principal Data and Applied Scientist Lead,Microsoft,"Redmond, WA 98052",,The Microsoft Malware Protection Center (MMPC) is looking for an experienced manager and data scientist to lead a team of data scientists and researchers in our...
Research Scientist ��� Cognitive Modeling,Facebook,"Redmond, WA",,Test models against existing data and refine as needed. We are looking for a cognitive scientist with expertise in computational modeling....
Data Scientist,Concur,"Bellevue, WA",,We’re looking for a data scientist who will lead our full-stack machine learning research efforts. Work will require meeting with customers to understand their...
Data Scientist,Efinancial,"Bellevue, WA",,Demonstrated knowledge of applying data mining techniques (i.e. Identify the necessary data and equations to answer business questions....
"Research Scientist, Edge Intelligence",Axon,"Seattle, WA 98103 (Green Lake - Wallingford area)",,Ideal Scientist would have done original deep learning research pertaining to real-time video or audio....
Senior Data Scientist,"iSpot.tv, Inc.","Bellevue, WA 98008 (Crossroads area)",,ISpot.tv is seeking a Senior Data Scientist to join our growing team. Keen aptitude for large scale data analysis with a penchant for identifying key insights...
Research Project Interviewer I,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",,"Working within the Collaborative Data Services (CDS) team, Interviewers are responsible for collecting data through telephone interviews or in person with study..."
Applied Machine Learning Engineer II,Microsoft,"Redmond, WA 98052",,2+ years of education or professional experience in applying machine learning and data mining techniques to real problems with copious amounts of data....
Data Scientist/Technical Writer(position 1),Posh Technologies,"Redmond, WA",,Data Scientist/Technical Writer. Perform and interpret data studies and product experiments concerning new data sources or new uses for existing data sources....
"Research Intern, Machine Perception",Facebook,"Redmond, WA",,Oculus Research's Surreal Vision team is looking for the next generation of scientists and engineers to tackle the most ambitious problems in machine perception...
"Research Scientist, Machine Perception and Learning (PhD University Grad)",Facebook,"Redmond, WA",,Analysis of computing data hierarchy from cloud to mobile device client. Formulation of new ML and data analysis approaches that harness always on device...
"Postdoctoral Research Scientist, Imaging Systems (PhD University Grad)",Facebook,"Redmond, WA",,"We are currently seeking an innovative postdoctoral research scientist in our research location in Redmond, WA...."
Data Research Analyst - Intern,Trupanion,"Seattle, WA",,Analyze and interpret data; Gather and clean transaction data from veterinary hospitals. We need a motivated individual with experience mining and analyzing...
"Associate, Data Scientist",KPMG,"Seattle, WA 98104 (First Hill area)",,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. A minimum of one year of professional experience working as a..."
Research Analyst,Health Perspectives Group,"Seattle, WA 98101 (Downtown area)",,Monitor the data collection process. The Analyst is responsible for interpreting data. Conduct in-depth data analyses using traditional and advanced methods....
