position,company,location,salary,summary
Research Analyst I,Center for Sustainable Energy,"San Diego, CA",,"Data Visualization and Reporting. Data visualization software (e.g., Tableau). Generate web-based data visualization, maps and reporting tools...."
Data Scientists,Cymer,"San Diego, CA",,"Design data applications, logic flows, and derive work estimates. Utilize TIBCO Spotfire and Denodo Data Virtualization to generate production level business..."
Machine Learning - Software Engineer / Scientist,Brain Corporation,"San Diego, CA",,We are looking for candidates with advanced knowledge in the fields of machine learning and adaptive data processing....
Data Engineer,Classy,"San Diego, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Machine Learning Graduate Intern,Mitre Corporation,"San Diego, CA 92121",,"Machine Learning Graduate Intern - (00048640) Description Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both...."
Clinical Research Data Analyst,USC,"San Diego, CA",,"Under leadership of the Data Manager, perform data review, data cleaning, query generation and follow-up, documentation and ad hoc reporting Database testing..."
Principal Data Scientist / Machine Learning Engineer,Intel,"San Diego, CA 92121",,"Background in deep learning, machine learning, reinforcement learning & big data. Harnessing silicon designed specifically for AI, end-to-end solutions that..."
Statistician (SAS experienced required),ENCORE CAPITAL GROUP,"San Diego, CA",,"Logit models, generalized linear models, categorical data analyses, ANOVA and regression. Responsible for the collection, management and analysis of internal..."
Bioinformatics Engineer 1,Illumina,"San Diego, CA 92122",,This role is to provide Bioinformatics verification and validation support for Illumina’s data analysis software....
Sr Data Analyst,Cymer,"San Diego, CA",,Train service personnel in use and interpretation of trend data. Update metric data collection systems for changes to key system metrics....
RESEARCH ASSISTANT,San Diego Zoo,"San Diego, CA",,Data collection and data entry. Experience with GIS and data management. Collects and records data utilizing spreadsheet and database systems....
Data Engineer,ViaSat,"San Diego, CA",,"As a software engineer, you'll build the systems and tools that the data scientists use to perform their analysis...."
Clinical Research Data Analyst,UC San Diego,"San Diego, CA",,"The Clinical Research Data Analyst is responsible for the ongoing collection, quality assurance, and analysis of data for all of the Center’s research protocols..."
"Research Scientist, Computational","Genomatica, Inc.","San Diego, CA",,"Research Scientist, Systems Biology - #201708-390-18. Perform integrative data analytics and interpretation of multiple omics data (genomics, transcriptomics,..."
Data Scientist Senior,EXPERIAN,"San Diego, CA",,Description Experian islooking for a Data Scientist to join the Fraud and Identity Solutions (FIS)Analytics team....
"Senior Data Scientist, Think Big Analytics",Teradata,"San Diego, CA",,"Senior Data Scientist, Think Big Analytics-174504. As a Senior Data Scientist, you will:. Ideal Senior Data Scientist candidates have this additional experience..."
Data Scientist,Teradata,"San Diego, CA",,"O Data mining:. On a daily basis, you will work with massive datasets, which includes data integration, data cleansing, exploratory analysis, predictive..."
Data Scientist,Becton Dickinson & Company,"San Diego, CA",,"Create tools and processes to download data, parse it for relevant content, and store it in existing data management systems...."
Data scientist,HP,"San Diego, CA",,"As a data scientist, you will join an industry-leading organization and work on developing and implementing analytical models to identify optimal marketing,..."
Data Scientist,General Dynamics Information Technology,"San Diego, CA",,"The Data Analyst, also referred to as the Data Scientist, shall be proficient at entering, cleaning, and conducting basic data manipulation and analysis...."
Data Scientist,Approgence Inc.,"San Diego, CA",,"Providing technical input to internal teams regarding data discovery, planning and processing. Data mining, predictive models, machine learning, data-drive..."
Senior Data Scientist,Hookit,"San Diego, CA",,"Senior Data Scientist. Support the design and continued evolution of the data model, data storage schemes and infrastructure for efficient data manipulation and..."
