position,company,location,salary,summary
Research Analyst,"TrueCar, Inc.","Santa Monica, CA",,"Collect, manipulate and analyze large data sets from primary research, secondary data suppliers and internal sources...."
Summer Internship - Data Science,Tala,"Santa Monica, CA",,"We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set...."
Data Engineer,Classy,"Los Angeles, CA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Senior Data Scientist,Hulu,"Santa Monica, CA",,We are looking for data scientists who are passionate about using data to drive strategy and product recommendations....
Data Engineer,Retention Science,"Santa Monica, CA 90405",,We are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models...
Junior Research Analyst,Sinclair Broadcast Group,"Santa Monica, CA",,"Aid in analysis and storytelling using qualitative and quantitative data gathered using Nielsen, Ipsos, comScore, MRI and other data sources...."
Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are..."
Data Science Developer,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Radar Signal Processing Scientist,NeoHire South,"Santa Monica, CA",,"Radar Signal Processing Scientist. Experience in using radar raw I/Q data to estimate range, Doppler, and direction of arrival (DOA)...."
Lead Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Geospatial Analysts are the core of the new Analytics Solutions service...."
Lead Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Geospatial Analysts are the core of the new Analytics Solutions service...."
Research Analyst,BGC Partners,"Los Angeles, CA",,"Overseeing data collection, data input/verification, and review. For addressing issues of data quality and will maintain a policy of data...."
Model Risk Quantitative Analyst,MUFG,"Los Angeles, CA",,"And data analytics using Excel, VBA, SQL, and Bloomberg Excel API. And programming with statistical programming language “R” and performing data analytics using..."
Data Science Intern,CrowdStrike,"El Segundo, CA",,"Data Scientists, helping to create predictive machine learning models that help detect and stop today’s most sophisticated threats...."
Quantitative Analyst I,Bank of Hope,"Los Angeles, CA",,"Data transformation (if needed) and interactive variables. An ability to analyze and interpret large data sets, identify insights, and synthesize how these..."
Computer Scientist - Artificial Intelligence,USC,"Marina del Rey, CA",,ISI welcomes applications from computer scientists in any of the following areas:. ISI scientists have the opportunity to spend the majority of their time doing...
Data Scientist,Tala,"Santa Monica, CA",,We are looking for a Data Scientist who is interested in solving one of the world's largest problems:. We are looking for someone to add diversity of thought to...
"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",,Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....
Data Scientist,Hulu,"Santa Monica, CA",,We are looking for data scientists who are passionate about using data to drive strategy and product recommendations....
Research Analyst,SEIU United Healthcare Workers - West,"Los Angeles, CA",,"Position: Research Analyst Classification: Full-time, Exempt Position Summary : Our Research Department is responsible for providing strategic support for..."
Senior Data Scientist,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA SCIENCE ENGINEER will work in the Data Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster Computing at DSC..."
Data Scientist,Riot Games,"Santa Monica, CA 90404",,Work closely with fellow data scientists and engineers to identify opportunities and improve our data ecosystem. Big data passionate:....
Data Leadership,Riot Games,"Los Angeles, CA",,The Data Discipline improves player experience through world class data processing and machine learning....
Senior NLP Data Scientist,Capital Group,"Los Angeles, CA 90071",,"Based in Irvine or Los Angeles, as a Senior Data Scientist, you will be experienced with and passionate about using data to drive business strategy, tactical..."
"Senior Data Analyst, Operations Analytics",The Black Tux,"Santa Monica, CA",,Collaborate with data scientists to help build advanced analytical models. Collaborate with data engineering team to help define business metrics and to close...
POST DOC RESEARCH STAFF - Adaptive Signal Processing & Machine Learning,"HRL Laboratories, LLC","Malibu, CA 90265",,"EDUCATION DESIRED: Ph.D. in Electrical Engineering, Computer Science, Applied Mathematics or related fields. ESSENTIAL JOB FUNCTION: To develop, implement,..."
POST DOC RESEARCH STAFF - Machine Learning and Computer Vision,"HRL Laboratories, LLC","Malibu, CA 90265",,"EDUCATION DESIRED: MS or Ph.D. in EE, Computer Science, Applied Math or related fields. ESSENTIAL JOB FUNCTIONS: Primary job function is to perform R & D in..."
Research Associate,USC,"Los Angeles, CA","$44,662 - $74,434 a year","The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and..."
Analyst,Riot Games,"Los Angeles, CA",,"As an Analyst, you’ll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving problems and..."
Research Analyst,TechStyle Fashion Group,"El Segundo, CA",,Analyze quantitative and qualitative research data results including pulling data and proofing data tables accurately....
"Senior Data Analyst, Operations Analytics",The Black Tux,"Santa Monica, CA",,Collaborate with data scientists to help build advanced analytical models. Collaborate with data engineering team to help define business metrics and to close...
Data Scientist I,Jet Propulsion Laboratory,"Pasadena, CA",,"Experience with cloud infrastructures for data processing, data management, and data movement. The EAO’s Engineering Tools and Data Management Group currently..."
Research Associate I,CEDARS-SINAI,"Los Angeles, CA",,"Participation in laboratory meetings, keeping laboratory notebooks, performing calculations, tabulating data, summarizing methods and results of related..."
Senior Data Scientist,Classy,"Los Angeles, CA",,We’re looking for a data scientist who is a self-starter and has experience driving their own data science project....
Business Analyst,ZestFinance,"Los Angeles, CA",,Work closely with our team of data scientists who build machine learning models; Applies its unique credit-decisioning technology platform — based on data...
Research Scientist,USC,"Playa Vista, CA",,Analyzes research data and provides interpretations. The opening is for a Research Scientist (with opportunity to become Research Assistant Professor in...
Senior Statistician,UCLA HEALTH,"Los Angeles, CA",,"Under the supervision of the Manager of the Data Analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student..."
Senior Data Scientist,Ticketmaster,"Hollywood, CA 90028",,Carry out tasks encompassing data cleansing and data normalization. Be collecting and analyzing very large data sets....
Data Scientist,Neural Analytics,"Los Angeles, CA 90064",,"Neural Analytics, a medical device company, is seeking a Data Scientist to support development of innovative, data-driven brain health diagnostics...."
Statistician,"First Capitol Consulting, Inc.","Los Angeles, CA",,The Workforce Statistician is responsible for designing and presenting pay equity analysis to our clients. Be accountable for pay equity analysis by...
Statistician,"First Capitol Consulting, Inc.","Los Angeles, CA",,The Workforce Statistician is responsible for designing and presenting pay equity analysis to our clients. Be accountable for pay equity analysis by...
Postdoctoral Scholar–Research Associate,USC,"Playa Vista, CA",,"Analyzes research data and provides interpretations. Physiological data collection, such as EEG, is a desirable...."
Data Scientist I,Jet Propulsion Laboratory,"Pasadena, CA",,"Experience with cloud infrastructures for data processing, data management, and data movement. The EAO’s Engineering Tools and Data Management Group currently..."
Data Scientist,Neural Analytics,"Los Angeles, CA 90064",,"Neural Analytics, a medical device company, is seeking a Data Scientist to support development of innovative, data-driven brain health diagnostics...."
Data Infrastructure Engineer,"TrueCar, Inc.","Santa Monica, CA",,"Work with software engineers, data engineers, data scientists, and infrastructure engineers (DevOps) to help define, build, optimize, and support the..."
Data Scientist,Sony Pictures Entertainment Inc.,"Culver City, CA 90232",,Must have experience with big data and standardizing/ appending variables across disparate data sets. Managing the ingestion and cleansing of large data sets...
Research Assistant,Exponent,"Los Angeles, CA 90066",,Collecting and managing data. Supporting data collection efforts for a large user study conducted on behalf of a Fortune 50 company....
Sr. Data Engineer,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA ENGINEER will be a member of the Data Science & Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster..."
"Scientist, Flow Cytometry","Kite Pharma, Inc.","Santa Monica, CA",,"Excellent skill in Microsoft word, Excel and flow cytometry data analysis. You will also be assisting in planning and executing laboratory studies, analyze..."
"Scientist, Microbiology","Kite Pharma, Inc.","Santa Monica, CA",,"Monitor and trend data. Strong data integrity knowledge and practices. Complete routine record review of test data and related documents for in-process testing,..."
RESEARCH STAFF - Semiconductor Device Scientist,"HRL Laboratories, LLC","Malibu, CA 90265",,"Able to pursue difficult technical subjects independently, design experiment, analyze data, and provide solutions...."
Machine Learning Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Participation in extracurricular activities related to data science (e.g. Desire to learn the vast and expanding field of data science and machine learning....
Operations Research Analyst,Southern California Gas Company,"Los Angeles, CA","Estimated salary: $76,000 - $97,000 a year","Write software, set up functions, enter data, or process information. Define data requirements and gather and validate information, applying judgment and..."
Senior Machine Learning Scientist,Disney Consumer Products and Interactive Media,"Glendale, CA",,"As a Machine Learning Scientist, you will design and develop models that advance Disney’s applications of spoken language understanding...."
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA","Estimated salary: $121,000 - $154,000 a year","The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying..."
Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience with data engineering, data science or machine learning techniques. Serve as data analyst with an emphasis on providing data science, natural..."
Principal Data Scientist,System1,"Venice, CA",,System1 is an organization centered around data and data products. System1 is hiring a Principal Data Scientist!...
"Scientist, Analytical Development","Kite Pharma, Inc.","Santa Monica, CA",,"Train technical staff, assign duties, and review data. Excellent skill in Microsoft Office, data analysis software, and other applications...."
Data Engineer,Chef'd,"El Segundo, CA 90245",,"Provide our data scientists needed data through ad hoc queries and data wrangling. As a data engineer, you will collect and transform data by building streaming..."
Senior Data Scientist,Factual,"Los Angeles, CA 90067",,"Willingness and ability to wrangle messy data. As a Data Scientist, you will have the opportunity to shape and influence the direction of our products and..."
Data Scientist,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Research Analyst,The Expert Institute,"Los Angeles, CA 90067",,Overview: The Expert Institute is a high growth tech start-up that has been disrupting the legal space since 2010. We are the fastest growing platform for...
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
