position,company,location,salary,summary
Economic Data Analyst,Zillow,"Seattle, WA 98101 (Downtown area)",,Experience with data visualization software such as Tableau is an advantage. Our mission is to leverage Zillow’s unique proprietary data on American housing –...
Junior Data Analyst (3+ months),SEIU 775 Benefits Group,"Seattle, WA",,A genuine passion for data science and drive to communicate using data. You will join a dynamic business analytics team and work closely with the data...
Research Project Interviewer I,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",,"Working within the Collaborative Data Services (CDS) team, Interviewers are responsible for collecting data through telephone interviews or in person with study..."
Data Engineer,Classy,"Seattle, WA",,"Prefer individuals who have completed one or more self-led data science projects, from data aggregation to publishing text and visualizations (the more diverse..."
Research Analyst,Health Perspectives Group,"Seattle, WA 98101 (Downtown area)",,Monitor the data collection process. The Analyst is responsible for interpreting data. Conduct in-depth data analyses using traditional and advanced methods....
Data Analyst,Groupon,"Seattle, WA",,"Manipulate data in. Campaigns through data analysis. End-to-end knowledge of data warehousing and BI systems. As a Data Analyst, you will be working on...."
"Research Scientist, Edge Intelligence",Axon,"Seattle, WA 98103 (Green Lake - Wallingford area)",,Ideal Scientist would have done original deep learning research pertaining to real-time video or audio....
Machine Learning Scientist,Microsoft,"Redmond, WA 98052",,"Opportunities include user modeling, NLP, data insight generation and many more. The OXO Machine Learning team leverages machine learning and the vast..."
Machine Learning Scientist,Amazon Corporate LLC,"Seattle, WA",,"Experience in the real-time processing of high-velocity time series data. Experience working with big data and relevant techniques, e.g. unsupervised learning...."
Marketing Analyst,Groupon,"Seattle, WA",,"You will develop new data requirements, maintain automated dashboards and reports, analyze marketing performance data and will support the implementation of new..."
Research Analyst,BGC Partners,"Seattle, WA",,"Maintains the market data integrity used in the research function, which includes overseeing data collection, data input/verification and review, by salespeople..."
Machine Learning/Data Engineer Intern,Zillow,"Seattle, WA 98101 (Downtown area)",,"Work closely with business stake holders for data engineering and research scientists on prediction models. Design and code highly scalable, data engineering..."
HEALTH RESEARCH ANALYST,University of Washington Medical Center,"Seattle, WA",,Comprehends and interprets complex data files using data field codes and data dictionaries; Serves as a liaison between the project team and data vendor/sources...
Machine Learning Engineer,zulily,"Seattle, WA 98121 (Belltown area)",,zulily is a retailer obsessed with bringing our customers something special every day. Unique products from up-and-coming brands are featured alongside...
Data Analyst/Research Specialist (Contract),Zillow,"Seattle, WA 98101 (Downtown area)",,2-5 years experience managing data and/or analytics. Work with other analysts to ensure that insights data integrity is checked and verified....
"decision scientist, people analytics - SSC - Seattle, WA",Starbucks,"Seattle, WA 98134 (Industrial Complex area)",,"This role requires performing advanced analytics and synthesizing employee (including survey data), customer (including survey data), and financial data to tell..."
"Senior Data Scientist, Machine Learning","ExtraHop Networks, Inc.","Seattle, WA",,"Demonstrate and share your passion and understanding of data science. Big Data , the cloud, elastic computing, SaaS, AWS, BYOD, HPC, SDN—we do it all...."
Data Analyst,Socrata,"Seattle, WA",,"Do you have a passion for solving problems using data, data analysis, and data visualizations? Our data platform and cloud-based solutions support the world’s..."
Data Engineer,ViaSat,"Seattle, WA",,"As a software engineer, you'll build the systems and tools that the data scientists use to perform their analysis...."
"data scientist senior, Pricing and Testing Analytics - Seattle, WA",Starbucks,"Seattle, WA 98134 (Industrial Complex area)",,"Performs exploratory data analysis, cleanses, massages, and aggregates data. Extracts data from various databases;..."
INSTITUTIONAL RESEARCH & DATA ANALYST,University of Washington,"Seattle, WA",,Ability to quickly learn new data models and data management systems; The Institutional Research and Data Analyst is an integral member of the Institutional...
Machine Learning Engineer - SEATTLE,Businessolver,"Seattle, WA",,"Experience with large data sets. Skilled at data visualization and presentation. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a..."
Researcher,Microsoft,"Redmond, WA 98052",,"Experience in working with biological data a plus; We are a diverse team of engineers, scientists and medical doctors who are working to empower individuals,..."
"Data Analyst, Research Operations ��� Business Integrity",Facebook,"Seattle, WA",,"Data analysis skills. Data Analysts leverage Integrity data and tools to identify and communicate key metrics, insights, and information...."
Statistical Geneticist,Adaptive Biotechnologies,"Seattle, WA 98102 (Capitol Hill area)",,"Experience collaborating with wet lab scientists on data generation and analysis. Statistics, Biostatistics, Computational Biology, Programming, Data..."
AIMS – Machine Learning Mgr K,BOEING,"Seattle, WA",,"Database management systems, data warehouse (e.g., Teradata), big data. Skilled scientists and thinkers...."
Machine Learning Engineer,Zillow Group,"Seattle, WA",,"Expertise with data analysis languages such as Python, Scala, or R. We build highly parallelized, big data, machine-learning applications in the cloud...."
Machine Learning Engineer,Adobe,"Seattle, WA",,"Solid understanding of algorithms, data structures, object-oriented design, and user experience fundamentals...."
Senior Data Scientist,Nordstrom,"Seattle, WA",,"Senior Data Scientist. Mentoring junior level Data Scientists and Analysts. As an integral part of a new Advanced Analytics team, the Senior Data Scientist will..."
Senior Data Scientist,Redfin,"Seattle, WA",,"As a Senior Data Scientist, focused on marketing, you'll help Redfin make big and crucial decisions about how to use our marketing firepower as efficiently as..."
Scientific Data / Metadata Specialist,"Earth Resources Technology, Inc","Seattle, WA",,Will also help design and perform data quality measures on the accompanying data to ensure that the data meets a set of quality assurance criteria....
Applied Machine Learning Engineer II,Microsoft,"Redmond, WA 98052",,2+ years of education or professional experience in applying machine learning and data mining techniques to real problems with copious amounts of data....
Data Scientist,zulily,"Seattle, WA 98121 (Belltown area)",,"We are fast-paced, innovative, data- and metric-driven. A Master's Degree with a concentration in Data Science / Analytics...."
"Frontend/UI Engineer, AWS AmazonAI Machine Learning Platform",Amazon Corporate LLC,"Seattle, WA",,Computer Science fundamentals in data structures. Amazon Web Service's (AWS) Machine Learning platform team is building customer-facing services to catalyze...
Advanced Research Analyst,Qualtrics,"Seattle, WA",,"Qualtrics is a rapidly growing software as a service company backed by three of the top venture capital firms in the world, Sequoia Capital, Accel Partners..."
"Senior Data Scientist - Imagination Data Science, Business Insurance",Liberty Mutual,"Seattle, WA","$111,500 - $160,000 a year",Imagination Data Science. (IDS) is seeking a Senior Data Scientist at the Assistant Director or Director. Help interpret insurance data....
"Sr. Engineer, Machine Learning",Adobe,"Seattle, WA",,"Solid understanding of algorithms, data structures, object-oriented design, and user experience fundamentals...."
"Senior Data Scientist, Placed",Snap Inc.,"Seattle, WA",,"We’re looking for a Senior Data Scientist to join Placed, a subsidiary of Snap Inc! Experiences with large scale data processing (e.g...."
CMC Quantitative Scientist / Statistician,Juno Therapeutics,"Seattle, WA 98109 (Westlake area)",,"The CMC Quantitative Scientist / Statistician works collaboratively with Tech R&D, Process Development, Manufacturing Operations, Life Cycle Management,..."
Data Scientist Engineer Intern,Accolade Inc.,"Seattle, WA",,Come implement algorithms and services to expose machine intelligence in a service-oriented architecture! Your work will enable Accolade’s members to make the...
Data Scientist Engineer Intern,Accolade Inc.,"Seattle, WA",,Come implement algorithms and services to expose machine intelligence in a service-oriented architecture! Your work will enable Accolade’s members to make the...
Data Engineer - AWS Artificial Intelligence,Amazon Corporate LLC,"Seattle, WA",,"Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of..."
"Senior Machine Learning Scientist, Personalization",Zillow Group,"Seattle, WA",,You’ll collaborate with and mentor other Data Scientists and Machine Learning Engineers to build and improve data science products with cutting edge research....
Senior Data Scientist,Dito,"Seattle, WA",,"Capability to manage junior Data Scientists, and direct work accordingly. As a Senior Cloud Data Scientist, you will guide customers on how to ingest, store,..."
Senior Data Scientist,Rover,"Seattle, WA",,"What does Data Science mean at Rover? You’re a deeply analytical thinker who is passionate about finding structure in data, and using data to drive real value..."
"Statistical Research Associate, SCHARP",Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",,"Provide input into data collection, data management and analysis systems; Experience collaborating with others to determine what data is needed, what data..."
Data Engineer,PACCAR,"Renton, WA",,"Models physical/application data requirements in a data model tool, such as ERWin data modeler. Support Data Analysts and Research Scientist in analyzing usage..."
Statistical Research Associate II,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",,"This position works closely with scientists, post-docs, and PIs to create publication-ready methods and figures, and public deposition of data and custom..."
"Applied Research Scientist, Core Machine Learning",Facebook,"Seattle, WA",,"(Seattle, WA) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services,..."
RESEARCH SCIENTIST,University of Washington,"Seattle, WA",,Experience with research data management. Code and analyze qualitative interview data; May include data collection and intervention materials....
"Applied Research Scientist, Speech Recognition Acoustic Modeling",Facebook,"Seattle, WA",,Facebook is seeking Speech Recognition Research Scientist to join our Speech Team in Seattle. Optimizing acoustic model training procedures especially...
Data Scientist Lead,Microsoft,"Redmond, WA 98052",,"At least 2 years of managing and growing data scientists. Identifies data sources, integrates multiple sources or types of data, and applies expertise within a..."
Data Scientist,Getty Images,"Seattle, WA 98103 (Green Lake - Wallingford area)",,We’re looking for a data scientist to connect people with striking visuals that fit their project and brand....
Head of Data Science,Microsoft,"Redmond, WA 98052",,"Build a team of highly talented data scientists. 10 years’ experience in data analytics or data sciences. 15+ years of relevant experience in data analytics,..."
Software Engineer - Backend (Engineering Data),Grab Taxi,"Seattle, WA",,"Build data pipelines that clean, transform and aggregate data from many different sources including but not limited to clickstream data, consumer behavior data..."
Senior Data Analyst,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",,"Identify opportunities to reduce data redundancy, and improve data quality. The Senior Database Analyst uses various data sources and software applications to..."
Senior Data Scientist,Pokemon Company International,"Bellevue, WA",,"We are looking for an experienced and creative Senior Data Scientist interested in building, defining and pushing the boundaries of games analytics within the..."
Data Scientist,Microsoft,"Redmond, WA 98052",,"Experience with data mining using SQL, ETL and Data Warehouses. The team is looking for a passionate, creative, analytical and experienced data scientist who..."
"Director, Product Management, Machine Learning",Zillow Group,"Seattle, WA",,Be technically deep and command the respect of the highly talented data scientists and engineers. Our group builds the ETL systems and data marts that enables...
Data Scientist,Infox Consulting,"Seattle, WA",,"As part of Data Scientists, Operations Researchers, Visual. Prepare data for analysis. Optimization, predictive modelling, and big data analytics...."
Data Scientist,Indeed,"Seattle, WA",,"As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Have full stack experience in data collection, aggregation, analysis,..."
Machine Learning Engineer,Avvo,"Seattle, WA 98104 (First Hill area)",,"Help drive optimization, testing and tooling to improve data quality. You preferably have experience with data processing and storage frameworks like Hadoop,..."
RESEARCH SCIENTIST ENGINEER 1,University of Washington,"Seattle, WA",,Data Collection and Management:. Contributing data and/or updates for use in reports and publications. Data organization and compilation into project-specific...
RESEARCH ECONOMIST,Microsoft,"Redmond, WA 98052",,Research Economists work closely with Chief Economist Preston McAfee and his team of economists and data scientists on high-impact projects in a supportive...
Software Engineer- Machine Learning,Belkin,"Seattle, WA",,"What you’re getting into We’ve got big collaborative spaces for your big ideas, so bring an open mind and leave your suit in the closet. We all are committed..."
Senior Data Scientist - Marketplace Health,HomeAway,"Bellevue, WA",,"As a Data Scientist on the Marketplace Health team,you’ll work with an amazing group of Data Scientists who play a major role inhow we architect, visualize, and..."
CONTACT CENTER REPRESENTATIVE 1,University of Washington Medical Center,"Seattle, WA","$3,139 - $4,195 a month",Observe principles of data security and patient confidentiality. High level of skill in entering data into computer while talking with callers....
"Business Intelligence Engineer, GTM",Groupon,"Seattle, WA",,"Collaborate with business stakeholders, software developers, data engineers and data scientists to improve data quality of our data platforms...."
Data Scientist,Amplero,"Seattle, WA 98101 (Downtown area)",,"As an Amplero Data Scientist you would:. You’re an expert with data analysis and visualization tools such as Python (including NumPy, SciPy, Pandas, scikit..."
Data Scientist,Logic20/20,"Seattle, WA 98115 (Wedgwood area)",,"Collaborating with other data scientists and stakeholders on projects. As a Data Scientist, a typical day might include the following:...."
CONTACT CENTER REPRESENTATIVE 1,University of Washington Medical Center,"Seattle, WA","$3,139 - $4,195 a month",Observe principles of data security and patient confidentiality. High level of skill in entering data into computer while talking with callers....
Data Scientist,Logic20/20,"Seattle, WA 98115 (Wedgwood area)",,"Collaborating with other data scientists and stakeholders on projects. As a Data Scientist, a typical day might include the following:...."
Data Scientist,Amplero,"Seattle, WA 98101 (Downtown area)",,"As an Amplero Data Scientist you would:. You’re an expert with data analysis and visualization tools such as Python (including NumPy, SciPy, Pandas, scikit..."
"Business Intelligence Engineer, GTM",Groupon,"Seattle, WA",,"Collaborate with business stakeholders, software developers, data engineers and data scientists to improve data quality of our data platforms...."
"Analyst, Research",JLL,"Seattle, WA",,"This team member will enhance our offerings in the areas of business intelligence, data visualization, and graphical output...."
Research Scientist I/III,Seattle Children's Hospital,"Seattle, WA",,"Follow detailed experimental protocols, make observations, record data and present results; Research Scientist II - Bachelor's Degree in biology, microbiology,..."
"Commerce Trust Analyst, Research Operations ��� Business Integrity",Facebook,"Seattle, WA",,Data analysis skills. Passionate about diving into the world of big data and trends analyses? They will be passionate about using data to enhance and advocate...
Software Engineer II - Azure Machine Learning,Microsoft,"Redmond, WA 98052",,"Experience with cloud and data platforms such as Microsoft Azure, Hadoop, SPARK, etc. is a plus. Experience in systems, networking, data structures, analysis of..."
Senior Data Scientist,ServiceNow,"Kirkland, WA",,"Senior Data Scientist - Automation Core. Real passion for data. Flexibility and ability to live with imperfect data, problem definitions, and solutions...."
Principal Data Scientist/Engineer,HERE Technologies,"Seattle, WA",,"The CTO Data Science team is a mix of hard core data scientists, data architects and software engineering geeks...."
Business Insights (BI) Developer,Limeade,"Bellevue, WA 98004 (Downtown area)",,Work closely with data engineers and data scientists to develop reporting and analytics products and tools end-to-end....
"Research Scientist, Audio",Axon,"Seattle, WA 98103 (Green Lake - Wallingford area)",,"Ideal Scientist would have done original deep learning research pertaining to audio (natural language processing, sound source separation, video diarization,..."
Principal Data Scientist Lead,Microsoft,"Redmond, WA 98052",,Recruit & develop data scientists. 10+ years of work experience managing data scientist projects. The team is looking for a data scientist that has management...
"Senior Manager, Data Science",Porch,"Seattle, WA",,"You will lead a team of data scientists, analysts, and engineers to build scalable solutions to complex problems across the organization...."
Senior Data Scientist,Avvo,"Seattle, WA 98104 (First Hill area)",,"We are seeking a Senior Data Scientist to join our Data Science team. The senior data scientist at Avvo will possess most or all of the above-mentioned skills,..."
Data Analyst II,Microsoft,"Redmond, WA 98052",,"Partner with analytics, data science, and data engineering partners for data structures, data availability, and model development...."
Research Scientist I - EX,Seattle Children's Hospital,"Seattle, WA",,"This position will make detailed observations, record data, and present results. Previous experience with methods in bacteriology, molecular biology and..."
Senior Applied Data Science,Microsoft,"Redmond, WA 98052",,Have led a team of Data Scientists or Analysis. 5+ years' experience working in Data Science OR Applied Science OR Statistical Analysis OR Data Analytics...
