position,company,location,salary,summary
Assistant Scientist in Machine Learning,Brookhaven National Laboratory,"Upton, NY 11973",,CSI’s mission is to provide ‘Leadership in Data Driven Discovery’. DL research experience with large data sets in academia or industry....
Research Analyst,Stony Brook University,"Stony Brook, NY",$12 - $15 an hour,"Research collaboration and preparation of data reports. Collection, input and maintenance of research data, includes obtaining tissue samples from the hospital...."
Biostatistician/ Research Scientist,Stony Brook University,"Stony Brook, NY",,Expertise in the state-of-the-art data manipulation and statistical methodology. Stony Brook University is hiring a Research Scientist position in the...
2018 Canon Insights Summer Internship - Data Science,"Canon U.S.A., Inc.","Melville, NY",,Take on the role of Data Scientist. Support data science initiatives. Explore and analyze new data sources....
Scientific Software Developer,Brookhaven National Laboratory,"Upton, NY 11973",,"The National Synchrotron Light Source II (NSLS-II) is seeking an experienced software scientist to join the Scientific Computing & Data Acquisition, Data..."
Senior Research Support Specialist,Stony Brook University,"Stony Brook, NY","$48,000 - $52,000 a year",Prepare material for data reports of study progress. Utilize EMR systems as needed to extract patient data for research....
Postdoctoral Researcher in Machine Learning,Brookhaven National Laboratory,"Upton, NY 11973",,Must be able to work closely and communicate effectively with other domain scientist and infrastructure scientist....
Research Associate,Brookhaven National Laboratory,"Upton, NY 11973",,"Experience with data analysis. The Laboratory's almost 3,000 scientists, engineers, and support staff are joined each year by more than 4,000 visiting..."
Institutional Research Analyst,Farmingdale State College,"Farmingdale, NY","$58,000 a year","Demonstrated ability to compile data from large relational databases, administer surveys, compile data and interpret the results and statistics...."
Data Scientist,Brookhaven National Laboratory,"Upton, NY 11973",,"The successful candidate will both respond to domain-specific data challenges, and develop independent research ideas for improved scientific data analysis...."
Computer Scientist,Brookhaven National Laboratory,"Upton, NY 11973",,"The successful candidate will both respond to domain-specific data challenges, and develop independent computer science research thrusts for improved scientific..."
Manufacturing Scientist I,Enzo Labs,"Farmingdale, NY",,"The Production Scientist I is also responsible for understanding product specifications, troubleshooting technical problems, and implementing process..."
"Assoc. Editor, Genome Research",Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY 11724",,"An understanding of data reproducibility, deposit and access issues would be helpful. Cold Spring Harbor Laboratory, a world-renowned scientific research..."
Postdoctoral Research Associate,Brookhaven National Laboratory,"Upton, NY 11973",,"Demonstrated experience with large-volume data analysis. The Laboratory's almost 3,000 scientists, engineers, and support staff are joined each year by more..."
Post-Doctoral Research Associate,Brookhaven National Laboratory,"Upton, NY 11973",,"Theory, Data Analysis or Instrument Design relevant to Large Scale Structure Experiments. The Laboratory's almost 3,000 scientists, engineers, and support staff..."
Beamline Scientist,Brookhaven National Laboratory,"Upton, NY 11973",,"Engage in beamline control and data acquisition software development, implementation and testing. The Energy and Photon Sciences Directorate at Brookhaven..."
Postdoctoral Research Associate-Physics,Brookhaven National Laboratory,"Upton, NY 11973",,"Strong background in data processing, data analysis and analytics, knowledge of modern computing technologies and tools in these areas...."
Postdoctoral Research Associate - Nanoprobe BeamlineResearch Associate,Brookhaven National Laboratory,"Upton, NY 11973",,Program skills for image data reduction. The ability to interact effectively in a team environment with a diverse group of scientists and users....
Assistant Scientist (S-1) / Associate Scientist,Brookhaven National Laboratory,"Upton, NY 11973",,"Research experience (as postdoc, research assistant, industrial scientist, or other equivalent work). Sample prep and handling skills, ability to interact..."
Technology Engineer,Brookhaven National Laboratory,"Upton, NY 11973",,Experience with high-performance and/or high-capacity data storage systems. Experience with basic data center infrastructure services such as:....
Ultimate Hoops Statistician,Life Time Fitness,"Syosset, NY",,Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....
"Geologist Env Sci, Hauppauge, NY",Sovereign Consulting Inc.,"Hauppauge, NY",,"Preparation of analytical data tables. Sovereign Consulting Inc., a rapidly growing environmental consulting and remediation firm headquartered in New Jersey,..."
Assoc Physicist,Brookhaven National Laboratory,"Upton, NY 11973",,Significant technical expertise for in-situ or in-operando imaging experiments and data acquisition. Demonstrated experience of having developed advanced...
Physicist,Brookhaven National Laboratory,"Upton, NY 11973",,"Experience in managing a distributed team of SW professionals and scientists. The Laboratory's almost 3,000 scientists, engineers, and support staff are joined..."
Total Scattering,Brookhaven National Laboratory,"Upton, NY 11973",,Strong data analysis skills and experience in using computers for data analysis and modeling. Ability to interact effectively with a diverse group of scientists...
Computing Professional,Brookhaven National Laboratory,"Upton, NY 11973",,"Implement new software to automate data management which includes enhancing existing code, data base schema design, monitoring tools, and developing ML..."
Project Manager – Pharmaceuticals,Contract Pharmacal Corp.,"Hauppauge, NY",,Work closely with AR&D Department to track analytical data for development projects. Schedule day to day activities of development projects with scientists and...
"Quantitative Analyst (Assoc./Sr./Lead/Principal), Advanced Analytics",NATIONAL GRID CO USA (NE POWER),"Hicksville, NY",,"O Data Mining & Analysis :. Do you have the skills, intellect, creativity, and drive to transform, not just a company, but an industry through Big Data and..."
"Sr. Scientist, Product Development",The Nature’s Bounty Co,"Ronkonkoma, NY",,"Modify methodologies to improve the quality, accuracy and usefulness of data. Collect, analyze, interpret, draw conclusions and make recommendations from data..."
Electronic Engineer,Brookhaven National Laboratory,"Upton, NY 11973",,"Ability to lead a team of scientists, engineers and technical staff. The Laboratory's almost 3,000 scientists, engineers, and support staff are joined each year..."
Production Manager and Librarian,Brookhaven National Laboratory,"Upton, NY 11973",,"Experience in documenting work, establishing regression test suites, and with massive data analysis and/or data production in the field...."
Computational Science Developer II,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY 11724",,"Familiarity with scientific data models/formats. Data and statistical analysis using R, Matlab or similar tool...."
Entry Level Geologist,Arcadis,"Melville, NY",,"Data management (compilation, manipulation, and evaluation of data). Conducting project-related research (historical data, regulations, etc.)...."
Advanced Applications Engineer/Senior Applications Engineer,Brookhaven National Laboratory,"Upton, NY 11973",,"Strong background in data processing, data analysis and analytics, knowledge of modern computing technologies and tools in these areas...."
