position,company,location,salary,summary
Junior Research Analyst - Americas Consumer,McKinsey & Company,"San Jose, CA",,You will manage internal data and support in the codification of knowledge. Bachelor Degree completed from a respected institution with strong records of...
"Data Analyst (Fixed Term, 18 months)",Stanford University,"Stanford, CA 94305",,"Clean large datasets of collected data, or publically available data in preparation for data analysis. The incumbent will work closely with senior statisticians..."
Junior Data Scientist,SAP,"Palo Alto, CA",,"As a Data Scientist , you will work in a team of experience experienced researchers and data scientists taking on challenges posed by the SAP customers and..."
Data Science Analyst - Periscope,McKinsey & Company,"San Jose, CA",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
"Junior Data Analyst - Performance Lens, New Ventures",McKinsey & Company,"San Jose, CA",,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)..."
Intern - Machine Learning Performance Metrics,Intel,"Santa Clara, CA 95052",,Experience in researching and applying Data Science and/or Artificial Intelligence algorithms in software development....
Data Analyst,Walmart eCommerce,"Sunnyvale, CA",,"Organized when analyzing data and conducting research. O Experienced working with massive, messy data sets. We are hiring a partner to both Digital Marketing..."
"Statistician, Demand Planning",Tesla Motors,"Fremont, CA",,"ERP/WRP systems, SQL, and data visualization programs such as Tableau are preferred. Communicate with Production, Procurement, Logistics, Reliability..."
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
"2018 Summer Data Science Intern - Mountain View, CA",Atlassian bright blue button,"Mountain View, CA",,You will work closely with our Data Scientists to extract insights from our massive datasets to identify opportunities to develop new features to power the...
Machine Learning / Artificial Intelligence Scientist,Ford Motor Company,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",,Ford Global Data Insight and Analytics (GDI&A) is looking for a data scientist with an emphasis on Machine Learning and scalable computing....
Research Data Analyst 1,Stanford University,"Stanford, CA 94305",,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause..."
Data Science Engineer,Salesforce,"Palo Alto, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
Network Quantitative Analyst,Facebook,"Menlo Park, CA",,"Build cross functional relationships with Data Scientists, Network Planners, Software Engineers and Network Engineers to understand their data needs...."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
"Intern, Machine Learning",Daimler,"Sunnyvale, CA",,"Your internship project can be in the areas of sensor data classification, traffic prediction, behavior planning or a similar topic that matches with our..."
