position,company,location,salary,summary
Data Science Intern,CrowdStrike,"El Segundo, CA",,"Data Scientists, helping to create predictive machine learning models that help detect and stop today’s most sophisticated threats...."
Entry Level Estimating & Pricing Specialist,BOEING,"Seal Beach, CA 90740",,Skilled scientists and thinkers. At least one (1) year experience performing data analysis and/or reporting....
Research Analyst,TechStyle Fashion Group,"El Segundo, CA",,Analyze quantitative and qualitative research data results including pulling data and proofing data tables accurately....
Senior Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA",,"Big Data and Fast Data (i.e.:. Build innovative data products (e.g., Artificial Intelligence, real-time services, such as personalization and commerce graphing..."
Machine Learning Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Participation in extracurricular activities related to data science (e.g. Desire to learn the vast and expanding field of data science and machine learning....
Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience with data engineering, data science or machine learning techniques. Serve as data analyst with an emphasis on providing data science, natural..."
Data Engineer,Chef'd,"El Segundo, CA 90245",,"Provide our data scientists needed data through ad hoc queries and data wrangling. As a data engineer, you will collect and transform data by building streaming..."
Spacecraft Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Analyze data from spacecraft. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....
Business Analyst,NBI Resources,"El Segundo, CA",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Data Scientist,Clicktripz,"Manhattan Beach, CA",,"Clicktripz is looking for a skilled Data Scientist. Excellent communication skills - while the Data Science group is currently located in Los Angeles, we are a..."
Business Analyst,NBI Resources,"El Segundo, CA",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Data Scientist,Clicktripz,"Manhattan Beach, CA",,"Clicktripz is looking for a skilled Data Scientist. Excellent communication skills - while the Data Science group is currently located in Los Angeles, we are a..."
Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are..."
Sr. Data Scientist,SpaceX,"Hawthorne, CA",,"Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data..."
Data Science Developer,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Lead Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Data Engineers, Data Scientists, Scientific Modelers and Programmers as well Geospatial Analysts are the core of the new Analytics Solutions service...."
Researcher,Riot Games,"Los Angeles, CA",,"As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and..."
Research Analyst,BGC Partners,"Los Angeles, CA",,"Overseeing data collection, data input/verification, and review. For addressing issues of data quality and will maintain a policy of data...."
Model Risk Quantitative Analyst,MUFG,"Los Angeles, CA",,"And data analytics using Excel, VBA, SQL, and Bloomberg Excel API. And programming with statistical programming language “R” and performing data analytics using..."
Computer Scientist - Artificial Intelligence,USC,"Marina del Rey, CA",,ISI welcomes applications from computer scientists in any of the following areas:. ISI scientists have the opportunity to spend the majority of their time doing...
Quantitative Analyst I,Bank of Hope,"Los Angeles, CA",,"Data transformation (if needed) and interactive variables. An ability to analyze and interpret large data sets, identify insights, and synthesize how these..."
Senior Data Scientist,The Aerospace Corporation,"El Segundo, CA 90245",,"Experience with complex data manipulation including data parsing, data extraction, and filtering. Hands on experience with data exploration toolsets such as:...."
Research Analyst,"TrueCar, Inc.","Santa Monica, CA",,"Collect, manipulate and analyze large data sets from primary research, secondary data suppliers and internal sources...."
