position,company,location,salary,summary
Statistical Data Analyst,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
LIMS Data Analyst,Bristol-Myers Squibb,"Hopewell, NJ",,"Test new functionality, support scientists as the scientists test new templates, and make necessary changes, in an iterative manner...."
Associate Professional Specialist (Statistician/Quantitative Analyst),Princeton University,"Princeton, NJ",,"Familiarity with big data analysis, computational statistics, data mining, and/or econometrics is highly desirable...."
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
Acoustic Emissions Research Scientist,"MISTRAS Group, Inc.","Princeton Junction, NJ 08550",,He/She will be in charge of setup of data bases for customer data management and archive. Hands-on experience in NDE data management....
Statistical Programmer,Wuxi AppTec,"Plainsboro, NJ",,They also liaise with other departments to properly implement data models (e.g. Demonstrates a good understanding of tabulation and analysis data structure...
Fellowship - Real World Data Analytics - HEOR Job,Novo Nordisk,"Plainsboro, NJ 08536",,The Fellow works closely with MDA Data Scientists as a member of the study team on select research project....
Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,The candidate is expected to be able to integrate multi-omic data from preclinical data or clinical. Experience working with clinical trial data is a plus....
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Molecular Analytics Scientist,Bristol-Myers Squibb,"Princeton, NJ 08540",,"Machine learning and data mining models for leveraging matched molecular pairs, assay data, crystallographic databases, etc...."
Research Associate,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Oversee data collection, data entry and check work. Design data analysis plans; Research Design, Data Collection and Analysis:...."
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
"Sr. Director, Biostatistics and Data Management",Amicus Therapeutics,"Cranbury, NJ",,"Demonstrated expertise in statistical planning, data analysis and reporting of clinical trial data is a must. Senior Director, Biostatistics and Data Management..."
Postdoctoral Research Associate - Statistical Analysis,Princeton University,"Princeton, NJ",,"The Department of Astrophysical Sciences, Princeton University has as an open postdoctoral or more senior research position in the area of statistical analysis..."
PROGRAM RESEARCH ANALYST,Gateway Foundation,"Yardville, NJ",,"Data system, data collection plans and materials, data analysis, quality assurance and performance improvement...."
Data Scientist,Munich Re America,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
Computer Scientist,SRI International,"Princeton, NJ",,"Develop algorithms, software, and applications in areas such as Visual Security and Surveillance, Autonomous Robotics, and Video Data Mining...."
Associate Scientist I,Wuxi AppTec,"Plainsboro, NJ",,"Prepare accurate data summary with minimal supervision. XBL is seeking an Associate Scientist I located in Plainsboro, NJ...."
Data Science Programming Manager,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
Bioanalytical Scientist,Katalyst Healthcares & Life Sciences,"Pennington, NJ 08534",,"Document relevant activities in equipment log books that includes equipment performance using environmental monitoring software (e.g., Rees), and perform review..."
"Director Research, Next Generation Psychometrics and Data Science",Educational Testing Service (ETS),"Princeton, NJ 08541",,"The Psychometrics, Statistics & Data Sciences (PSDS) area of Research & Development seeks a Director for its Next Generation Psychometrics & Data Science (NGP..."
Associate Research Physicist (JET),Princeton Plasma Physics Laboratory,"Princeton, NJ",,Be highly motivated scientist and a team worker who will collaborate closely with the JET team. Applicants should have demonstrated experience on experimental...
Associate Research Physicist (EAST),Princeton Plasma Physics Laboratory,"Princeton, NJ",,Should have demonstrated experience in dealing both with data analysis and experimental interpretation. We are looking for a highly motivated scientist and a...
Associate Research Physicist (EAST),Princeton University,"Princeton, NJ",,Should have demonstrated experience in dealing both with data analysis and experimental interpretation. We are looking for a highly motivated scientist and a...
Associate Research Physicist (JET),Princeton University,"Princeton, NJ",,Be highly motivated scientist and a team worker who will collaborate closely with the JET team. Applicants should have demonstrated experience on experimental...
"Biologics Systems Analyst, Scientific Information Systems",Katalyst Healthcares & Life Sciences,"Princeton, NJ 08540",,Work with scientists to build quick turnaround tools to facilitate generic workflow capabilities of scientific data management....
Senior Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,Help define our bioinformatics strategy to derive actionable knowledge by combing data and analysis over the whole portfolio of existing public and BMS...
External Data Specifications Manager (eDSM),Bristol-Myers Squibb,"Hopewell, NJ",,"Reviews transferred data for quality and validity. Proactively resolves data, vendor and investigative site issues...."
External Protocol Data Manager (ePDM),Bristol-Myers Squibb,"Hopewell, NJ",,"Reviews transferred data for quality and validity. Proactively resolves data, vendor and investigative site issues...."
Graduate Research Internship in Graphics & Visualization,Siemens AG,"Princeton, NJ",,Work closely with scientist and engineer team members in designing graphics and rendering applications to address real world data and problems....
"Head, Statistical Programming & Analysis",Johnson & Johnson Family of Companies,"Titusville, NJ",,"Establishing Janssen Data Analysis team as an industry. High-end programming solutions for data exploration, design evaluation etc...."
Postdoctoral Research Associate,Princeton University,"Princeton, NJ",,(a) a strong background in climate/ocean/sea ice dynamics (b) experience using and analyzing coupled climate models and (c) strong diagnostic skills in...
Software Engineer,Banc3 Inc.,"Princeton, NJ",,"Experience with Linux O/S (Fedora) developing data processing, high-speed data transfer using TCP/IP and UDP, and automated test procedure development...."
Research Scientist - Data Science,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Data scientist, data analysis, quantitative research, qualitative research, computer science, statistics, theory, technical leadership, conceptualization,..."
Manager Data Scientist (Think Team),Otsuka Pharmaceutical,"Princeton, NJ",,"Manager Data Scientist will support technology development for improving clinical trial operational efficiencies, digital assessments and health products, and..."
Research Analyst Manager,New Jersey Judiciary,"Trenton, NJ","$83,621 - $120,050 a year",Conduct statistical analysis of Probation Services and ISP related data. Preform simple to moderately complex statistical analysis of criminal justice and non...
Research Specialist I/II,Princeton University,"Princeton, NJ",,"Laboratory research experience and familiarity with microscopy, basic molecular biology procedures and data analysis...."
