position,company,location,salary,summary
Machine Learning Specialist,Express Scripts,"Franklin Lakes, NJ 07417",,Data Exploratory Analysis. Perform data mining by applying machine learning and supervised learning algorithms....
Statistician 2,Avani Tech Solutions,"Franklin Lakes, NJ",,"Program, document, and validate software code in R and/or SAS to execute data handling tasks, perform standard data analysis, and produce data visualization..."
Research Scientist,Topcon,"Oakland, NJ",,"Demonstrated skills in modeling, statistics, data mining, and computing. The successful Research Scientist is responsible for providing solutions based on..."
Image Analysis Scientist,Canfield Scientific,"Fairfield, NJ",,"Collaborate with Canfield’s image analysis research team in developing and optimizing algorithms for commercialization in the detection, analysis, and grading..."
Research Internship,Lockheed Martin,"Arlington, NJ",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Software Engineer (Machine Learning),Topcon,"Oakland, NJ",,"Experience with cloud computing and big data analysis highly preferred. Keep up with the latest deep learning and big data analysis techniques, especially in..."
Statistician/Consult Predictive Analytics,Dun & Bradstreet,"Short Hills, NJ",,Drive timely retrieval of risk analytics data from existing systems to create algorithms that meet business needs....
Healthcare Data Scientist,Milliman,"Township of Little Falls, NJ",,Hands on advanced data analytics and project management. Do you have the analytic skills to find insight in a pile of healthcare data?...
Decision Scientist,"Avis Budget Group, Inc.","Parsippany, NJ",,Translating data insights into actions and recommendations that will drive better revenue and fleet decisions. The Decision Scientist supports Revenue and Fleet...
Research Scientist,GAF Materials Corporation,"Parsippany, NJ",,(10% ) Conduct engineering analysis of test data and optimize designs. The Solar Research Scientist is responsible for design and development of new and...
Short Term Casual - Computational Technology,Columbia University,"New York, NY",$30 an hour,"These paid interns will be paired with Lamont scientists and will contribute to ongoing research projects involving scientific computing, machine learning, and..."
Senior Quantitative Researcher in Education - REMOTE,Pearson,"Hoboken, NJ",,"+ Proficiency in data processing, data mining, and data visualization. + Build data expertise and own data quality for allocated areas of efficacy data...."
Bell Labs -Data Analytics and Machine Learning,NOKIA,"Murray Hill, NJ",,"Multiple positions are available for full time Research Scientists in the Data Science Research group in Nokia Bell Labs Research, Murray Hill, NJ...."
