position,company,location,salary,summary
Machine Learning Data Analyst,Cognizant,"Denver, CO",,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments...."
Data Science Researcher,National Renewable Energy Laboratory,"Golden, CO",,"Design, implement, and document data workflows. Integrating multiple data sources, models, and software tools with scientific and engineering workflows for..."
Data Engineer,Return Path,"Broomfield, CO 80021",,"As a Data Engineer, you will collaborate with fellow engineers, data scientists and data analysts to support their needs and the needs of the business...."
Business Intelligence Intern (661821),Ball Aerospace,"Lafayette, CO",,"Collect, integrate, analyze and visualize data using a variety of data analytics and visualization tools. Increasingly businesses understand that one of their..."
Postdoctoral: Vehicle Data Analysis Engineer,National Renewable Energy Laboratory,"Golden, CO",,"Solid engineering and technical capabilities in experimental design, on-board data acquisition, data mining and data analysis. Vehicle Data Analysis:...."
Sr. Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
"Faculty Positions in Data Science, Machine Learning, and Security",University of Colorado,"Boulder, CO",,"This is an interdisciplinary search in data science, machine learning, and security, conducted by the Departments of Computer Science, Electrical, Computer and..."
Research Analyst,Denver Investments,"Denver, CO",,"Perform data collection, industry research, analysis, and report conclusions to aid in the investment decision-making process...."
RESEARCH ANALYST,Kroenke Sports & Entertainment,"Denver, CO",,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....
Data Engineer,IMM,"Boulder, CO",,"Data pipeline/workflow management. You will work closely with our solutions architect, data scientists, and analysts to help build out our data aggregation and..."
Environmental Technician/Entry Level Scientist,GHD,"Golden, CO",,"Environmental Technician/Entry Level Scientist - GOL00101. Perform sampling, site inspections and other data collection...."
Data Engineer I,"UNAVCO, Inc.","Boulder, CO",,"The Data Engineer will also play an active role in the development of new data access and processing tools and interfaces, providing expertise on data and end..."
Metric & Data Analyst Stf,Lockheed Martin,"Littleton, CO 80125",,Understanding of back-end data structures. Computer Science or Data Analytics/Science degree. The Quality Enterprise Metrics and Analytics Team is looking for...
Engineer I - Data Strategist (662144),Ball Aerospace,"Broomfield, CO",,"Technical data sourcing, management, and analysis. Open source data sourcing, management, and analysis. Our team of more than 3,000 engineers, scientists,..."
Research Firmware Engineer,Honeywell,"Broomfield, CO 80021",,"Demonstrated understanding of centralized and distributed data storage, managing data access latency, and databases...."
Lead Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
High Dimensional Data Analysis,University of Colorado,"Boulder, CO",,"The position is in the area of high dimensional data analysis (big data), with possible areas of emphasis including nonlinear optimization, analysis in high..."
Data Scientist Snr Manager,Oracle,"Broomfield, CO",,Data Scientist Snr Manager-1700142B. 3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with...
Research Associate,University of Colorado,"Boulder, CO",,And the ability to effectively interact with other scientists and students. Applicants must complete the Faculty/University Staff and EEO Data (application)...
2018 Unidata Summer Internship,UCAR,"Boulder, CO",,"Work to enhance Unidata scientific data access and distribution software products, e.g., THREDDS Data Server (TDS) and netCDF...."
Bioinformatics Analyst I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Complete tasks in a Linux environment including primary analysis of sequence data (read mapping and gene expression...
Malware Threat Research Analyst,Webroot,"Broomfield, CO",,You are an information security/malware professional looking to contribute to an innovative and collaborative environment. You have a passion for the thrill...
Senior Data Scientist,Layer3 TV,"Denver, CO",,Layer3 TV is seeking a data scientist with exceptional technical aptitude and the ability to draw insights from data....
Senior Data Scientist,Comcast,"Denver, CO 80202 (Lodo area)",,Who does the Data Scientist work with? 4+ years working within an enterprise data warehouse environment or big data architecture....
Postdoctoral Researcher – Data Science and Machine Learning,National Renewable Energy Laboratory,"Golden, CO",,"Experience monitoring, mining, synthesizing from and analyzing multiple sources of digital and/or event-based data, such as network traffic and IoT data, is a..."
Software Development Engineer - Machine Learning,Conga,"Broomfield, CO 80021",,Knowledge of industry standards and trends in big data and machine learning. Bachelor’s Degree in Computer Science or equivalent experience and 3+ years of...
Sr. Data Engineer,"Pandora Media, Inc.","Boulder, CO",,"Experience collaborating with data scientists, exposure to machine learning algorithms and/or statistical modeling methods...."
"Research Analyst - Navigant Research - Energy- Boulder, CO",Navigant,"Boulder, CO",,Regularly uses close visual acuity and operates computer equipment to prepare and analyze and transmit data....
Sr. Data Scientist/Data Integration,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Professional Research Asst,University of Colorado,"Boulder, CO",,Experience with modern particle detectors and data analysis techniques. Research Scientist Position on CMS at the University of Colorado Boulder....
Bioinformatics Analyst Trainee,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Writes custom scripts to access databases and analyze data. Bachelors-level training in high-throughput data analysis...
Metric & Data Analyst Sr,Lockheed Martin,"Littleton, CO 80125",,Understanding of back-end data structures. Computer Science or Data Analytics/Science degree. The Quality Assurance Enterprise Metrics and Analytics Team is...
Computer Scientist (DHA),Department of Commerce,"Boulder, CO","$65,228 - $101,641 a year",Computer Research Scientists. Computer And Information Research Scientists. This vacancy may be used to fill other Computer Scientist positions at the Institute...
Project Manager II (661814),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Principal Engineer - Machine Learning,Medtronic,"Boulder, CO",,ESSENTIAL DUTIES AND RESPONSIBILITIES: The principal development engineer in Technology Explorations role is responsible for the application of technology to...
In Process Quality Inspector (660994),Ball Aerospace,"Westminster, CO",,"Familiarity with basic computer usage for data entry and required employee interaction (i.e. Our team of more than 3,000 engineers, scientists, technicians and..."
Postdoctoral Researcher – Data-Driven Power System Analysis,National Renewable Energy Laboratory,"Golden, CO",,Stability analysis and prediction using synchrophasors Interconnection-wide and distribution level synchrophasor measurement data analytics Measurement-based...
2018 SOARS Internship Program,UCAR,"Boulder, CO",,Ability to analyze data and draw conclusions. Participates in technical and career seminars with peers and scientists....
Visualization Scientist,National Renewable Energy Laboratory,"Golden, CO",,"The Data, Analysis and Visualization group in NREL’s Computational Science Center has an immediate opening for a Computational Scientist to pursue a cross..."
Security Data Science Director,Great-West,"Denver, CO",,Experience managing Data Scientists. Great-West Financial is looking for a high-energy Director of Data Science to help build out a centralized security...
Junior Data Scientist/Software Engineer,CCRi,"Aurora, CO",,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills. Data Processing and Analytics:...."
"Analyst, Research",JLL,"Denver, CO",,"Passion for technology, analytics, and data visualization tools. This team member will enhance our offerings in the areas of business intelligence, data..."
Competitive Research Analyst,Layer3 TV,"Denver, CO",,"Strong analytical skills, including ability to analyze large data sets, identify insights, and synthesize how insights impact business decisions...."
Sr. Market Research Analyst,TSYS,"Broomfield, CO",,"Data visualization tools such as Tableau. Works independently to analyze marketing data, interpret it for brand impact and report to management on implications..."
Principal Data Scientist - Audience Target Team,Oracle,"Broomfield, CO",,Principal Data Scientist - Audience Target Team-170017IX. Acting as a source of knowledge and mentorship for junior data scientists....
Sr. Research Associate/Research Scientist/Scientist I - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
"Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Tactical decision-making ability using sound scientific principles and data analytics. Job Description & Requirements....
Scientist I/II - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
Research Associate - Bioinformatics,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Prepares data for utilization by other scientists. Analysis of allele-specific expression data. Writes advanced scripts to access databases and analyze data....
Knowledge Management Analyst,National Ecological Observatory Network Inc,"Boulder, CO",,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers..."
