position,company,location,salary,summary
Statistical Data Analyst,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
Data Science Lead,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
LIMS Data Analyst,Bristol-Myers Squibb,"Hopewell, NJ",,"Test new functionality, support scientists as the scientists test new templates, and make necessary changes, in an iterative manner...."
Associate Professional Specialist (Statistician/Quantitative Analyst),Princeton University,"Princeton, NJ",,"Familiarity with big data analysis, computational statistics, data mining, and/or econometrics is highly desirable...."
Data Science Scientific Programmer,Bristol-Myers Squibb,"Hopewell, NJ",,"As a member of this team, you will integrate data from diverse clinical trial and real-world data sources using SAS, R and other data mining programming tools..."
Data Research Analyst,InventiveSMi,"Princeton, NJ",,Operates effectively as a member of the development team Responsible for meeting expectations and deliverables on time and in high quality. Responsible for...
ANALYTICAL R&D SCIENTIST I,Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST I. Key responsibilities are to support the senior analytical scientists for daily analytical activities, including..."
ANALYTICAL R&D SCIENTIST II (2 positions),Virtus Pharmaceuticals,"Bristol, PA",,"JOB DESCRIPTION –ANALYTICAL R&D SCIENTIST II (2 positions). Key responsibilities are to support the senior analytical scientists for method development, method..."
Research Investigator,Bristol-Myers Squibb,"Hopewell, NJ",,The candidate is expected to be able to integrate multi-omic data from preclinical data or clinical. Experience working with clinical trial data is a plus....
"Research Scientist, Computational Genomics Bioinformatics",Bristol-Myers Squibb,"Hopewell, NJ",,"The candidate is expected to be able to manage, integrate and develop the framework to facilitate access to multi-omic data from preclinical data, clinical..."
Research Associate,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Oversee data collection, data entry and check work. Design data analysis plans; Research Design, Data Collection and Analysis:...."
Postdoctoral Research Associate - Statistical Analysis,Princeton University,"Princeton, NJ",,"The Department of Astrophysical Sciences, Princeton University has as an open postdoctoral or more senior research position in the area of statistical analysis..."
Research Scientist I,Bristol-Myers Squibb,"Hopewell, NJ",,"Skilled use of the central IT platforms for data handling, image analysis, data reduction and data reporting...."
Research Internship,Lockheed Martin,"Cherry Hill, NJ 08002",,"In ACL you will work with engineers and scientists integral to defining, researching, and developing basic and applied solutions...."
Analytical Scientist,Solvay,"Bristol, PA",,Interpret and analyze data. The Analytical Scientist is laboratory based and the candidate will be responsible for operating and maintaining instruments in the...
Data Scientist,Munich Re America,"Princeton, NJ",,Perform data analysis and data mining to support various projects and build complex reports utilizing strong data visualization skills....
"Head, Statistical Programming & Analysis",Johnson & Johnson Family of Companies,"Titusville, NJ",,"Establishing Janssen Data Analysis team as an industry. High-end programming solutions for data exploration, design evaluation etc...."
Molecular Analytics Scientist,Bristol-Myers Squibb,"Princeton, NJ 08540",,"Machine learning and data mining models for leveraging matched molecular pairs, assay data, crystallographic databases, etc...."
Computer Scientist,SRI International,"Princeton, NJ",,"Develop algorithms, software, and applications in areas such as Visual Security and Surveillance, Autonomous Robotics, and Video Data Mining...."
Acoustic Emissions Research Scientist,Mistras Métaltec Inc,"Princeton Junction, NJ",,He/She will be in charge of setup of data bases for customer data management and archive. Hands-on experience in NDE data management....
"Regulatory Affairs Specialist, CMC",Katalyst Healthcares & Life Sciences,"Newtown, PA 18940",,"Support CMC scientists in collection of information to support change assessments and dossier strategy. MS Project for project planning, MS Excel for data..."
"Director Research, Next Generation Psychometrics and Data Science",Educational Testing Service (ETS),"Princeton, NJ 08541",,"The Psychometrics, Statistics & Data Sciences (PSDS) area of Research & Development seeks a Director for its Next Generation Psychometrics & Data Science (NGP..."
Associate Research Physicist (JET),Princeton Plasma Physics Laboratory,"Princeton, NJ",,Be highly motivated scientist and a team worker who will collaborate closely with the JET team. Applicants should have demonstrated experience on experimental...
Associate Research Physicist (EAST),Princeton Plasma Physics Laboratory,"Princeton, NJ",,Should have demonstrated experience in dealing both with data analysis and experimental interpretation. We are looking for a highly motivated scientist and a...
Associate Research Physicist (EAST),Princeton University,"Princeton, NJ",,Should have demonstrated experience in dealing both with data analysis and experimental interpretation. We are looking for a highly motivated scientist and a...
Associate Research Physicist (JET),Princeton University,"Princeton, NJ",,Be highly motivated scientist and a team worker who will collaborate closely with the JET team. Applicants should have demonstrated experience on experimental...
Data Science Programming Manager,Bristol-Myers Squibb,"Hopewell, NJ",,"As key member of Global Biometrics Sciences team, candidate will be part of a cross-functional team of drug development scientists and data scientists focused..."
Data Analytics Research Intern,Lockheed Martin,"Cherry Hill, NJ 08002",,"Exposure to advanced Informatics-relevant technologies such as Data Science, Artificial Intelligence, Machine Learning, Data Analytics, -Computational..."
Graduate Research Internship in Graphics & Visualization,Siemens,"Princeton, NJ 08540",,Work closely with scientist and engineer team members in designing graphics and rendering applications to address real world data and problems....
Bioanalytical Scientist,Katalyst Healthcares & Life Sciences,"Pennington, NJ 08534",,"Document relevant activities in equipment log books that includes equipment performance using environmental monitoring software (e.g., Rees), and perform review..."
"Regulatory Affairs Specialist, CMC",Katalyst Healthcares & Life Sciences,"Newtown, PA 18940",,"Support CMC scientists in collection of information to support change assessments and dossier strategy. MS Project for project planning, MS Excel for data..."
Bioanalytical Scientist,Katalyst Healthcares & Life Sciences,"Pennington, NJ 08534",,"Document relevant activities in equipment log books that includes equipment performance using environmental monitoring software (e.g., Rees), and perform review..."
Statistical Programmer,Wuxi AppTec,"Plainsboro, NJ",,They also liaise with other departments to properly implement data models (e.g. Demonstrates a good understanding of tabulation and analysis data structure...
Postdoctoral Research Associate,Princeton University,"Princeton, NJ",,(a) a strong background in climate/ocean/sea ice dynamics (b) experience using and analyzing coupled climate models and (c) strong diagnostic skills in...
Software Engineer,Banc3 Inc.,"Princeton, NJ",,"Experience with Linux O/S (Fedora) developing data processing, high-speed data transfer using TCP/IP and UDP, and automated test procedure development...."
Research Scientist - Data Science,Educational Testing Service (ETS),"Princeton, NJ 08541",,"Data scientist, data analysis, quantitative research, qualitative research, computer science, statistics, theory, technical leadership, conceptualization,..."
Senior Statistical Programmer Analyst,Johnson & Johnson Family of Companies,"Titusville, NJ",,Design and development of statistical programs for the assigned project Perform quality control in support of clinical R&D analysis and reporting Maintain...
Fellowship - Real World Data Analytics - HEOR Job,Novo Nordisk,"Plainsboro, NJ 08536",,The Fellow works closely with MDA Data Scientists as a member of the study team on select research project....
